region,version,ip,prefixlength,org
ripencc,ipv4,5.8.128.0,19,lb.sodetel;SODETEL S.A.L.
ripencc,ipv4,5.45.188.0,22,lb.jl;Computel SAL
ripencc,ipv4,5.57.0.0,24,lb.mic2;Mobile Interim Company no.2 sal
ripencc,ipv4,5.57.1.0,24,n/a
ripencc,ipv4,5.57.2.0,23,n/a
ripencc,ipv4,5.57.4.0,22,n/a
ripencc,ipv4,5.100.240.0,22,lb.energy;Energy Bridge Sarl
ripencc,ipv4,31.170.96.0,22,lb.acs;American Community School
ripencc,ipv4,37.209.248.0,21,n/a
ripencc,ipv4,45.84.36.0,24,lb.prevision;Prevision S.A.R.L
ripencc,ipv4,45.84.37.0,24,lb.beta-teleco;Beta Teleco S.A.R.L
ripencc,ipv4,45.88.224.0,22,n/a
ripencc,ipv4,45.94.52.0,22,n/a
ripencc,ipv4,45.129.136.0,22,n/a
ripencc,ipv4,45.131.20.0,22,lb.tedinet;TediNet S.A.R.L
ripencc,ipv4,45.142.84.0,22,lb.ss-solutions;Smart Secure Solutions S.A.R.L.
ripencc,ipv4,45.142.136.0,22,lb.energy;Energy Bridge Sarl
ripencc,ipv4,45.145.60.0,22,lb.wimax;Wimax Company SARL
ripencc,ipv4,45.155.132.0,22,n/a
ripencc,ipv4,45.159.184.0,22,lb.iconnect;iconnect sarl
ripencc,ipv4,46.19.192.0,21,n/a
ripencc,ipv4,46.20.96.0,20,lb.smartnetworks;Smart Networks S.a.r.l
ripencc,ipv4,46.227.248.0,21,lb.wise;Moscanet SAL
ripencc,ipv4,62.84.64.0,19,n/a
ripencc,ipv4,77.42.128.0,17,lb.libantelecom;LIBANTELECOM
ripencc,ipv4,77.75.88.0,21,lb.farahnet;farahnet
ripencc,ipv4,77.110.64.0,18,lb.pgroup;P-Group S.A.L. (OffShore)
ripencc,ipv4,77.235.128.0,19,lb.broadbandplus;Broadband Plus S.a.l.
ripencc,ipv4,77.246.64.0,20,lb.intrasky;Intrasky Offshore S.A.L.
ripencc,ipv4,78.40.176.0,21,lb.masco;Masco Group LLC
ripencc,ipv4,78.41.56.0,21,n/a
ripencc,ipv4,78.108.160.0,20,n/a
ripencc,ipv4,80.77.176.0,20,lb.zarkanet;Zarka Net SAL
ripencc,ipv4,80.79.144.0,20,n/a
ripencc,ipv4,80.81.144.0,20,lb.cyberia;Transmog Inc S.A.L
ripencc,ipv4,80.83.16.0,20,n/a
ripencc,ipv4,82.112.160.0,21,n/a
ripencc,ipv4,82.146.160.0,19,lb.lunasat;LUNASAT OFF SHORE SAL
ripencc,ipv4,83.171.192.0,22,n/a
ripencc,ipv4,85.112.64.0,19,n/a
ripencc,ipv4,85.202.92.0,22,n/a
ripencc,ipv4,85.208.204.0,22,n/a
ripencc,ipv4,88.218.140.0,22,lb.indevco;INDEVCO SAL
ripencc,ipv4,89.108.128.0,18,lb.sodetel;SODETEL S.A.L.
ripencc,ipv4,89.187.216.0,21,lb.pros-services;Pros-Services S.A.R.L.
ripencc,ipv4,89.249.208.0,20,lb.wise;Moscanet SAL
ripencc,ipv4,91.151.224.0,20,lb.bcd-bbn;Societe Libanaise pour le developpement et la reconstruction du centre ville de de Beyrouth (Solidere)
ripencc,ipv4,91.188.208.0,22,lb.earthlinks;EarthLinks S.A.R.L
ripencc,ipv4,91.192.176.0,22,lb.azadea;Azadea Group Holding SAL
ripencc,ipv4,91.197.46.0,23,lb.mic1-alfa;Mobile interim company 1 S.A.L.
ripencc,ipv4,91.232.100.0,23,lb.mic1-alfa;Mobile interim company 1 S.A.L.
ripencc,ipv4,91.245.248.0,22,lb.lunasat;LUNASAT OFF SHORE SAL
ripencc,ipv4,92.62.160.0,20,lb.cyberia;Transmog Inc S.A.L
ripencc,ipv4,92.118.20.0,22,n/a
ripencc,ipv4,92.242.168.0,22,lb.intrasky;Intrasky Offshore S.A.L.
ripencc,ipv4,93.126.128.0,17,lb.sodetel;SODETEL S.A.L.
ripencc,ipv4,93.185.80.0,20,lb.lb-actel;ACTEL S.A.L.
ripencc,ipv4,93.185.224.0,20,lb.wise;Moscanet SAL
ripencc,ipv4,94.187.0.0,17,lb.libantelecom;LIBANTELECOM
ripencc,ipv4,94.231.193.0,24,n/a
ripencc,ipv4,95.141.48.0,20,lb.wise;Moscanet SAL
ripencc,ipv4,95.214.212.0,22,n/a
ripencc,ipv4,109.75.64.0,20,n/a
ripencc,ipv4,109.110.96.0,19,n/a
ripencc,ipv4,109.233.16.0,21,n/a
ripencc,ipv4,141.105.80.0,20,lb.cyberia;Transmog Inc S.A.L
ripencc,ipv4,141.138.176.0,20,lb.wise;Moscanet SAL
