region,version,ip,prefixlength
ripencc,ipv4,91.199.39.0,24
ripencc,ipv4,91.208.96.0,24
ripencc,ipv4,91.212.1.0,24
ripencc,ipv4,91.223.215.0,24
ripencc,ipv4,91.236.236.0,24
ripencc,ipv4,91.240.69.0,24
ripencc,ipv4,91.240.80.0,22
ripencc,ipv4,185.1.108.0,24
ripencc,ipv4,193.105.8.0,24
ripencc,ipv4,193.187.54.0,24
ripencc,ipv4,193.188.128.0,22
ripencc,ipv4,193.188.135.0,23
ripencc,ipv4,194.146.152.0,22
ripencc,ipv4,195.5.173.0,24
ripencc,ipv6,2001:7f8:52::,48
ripencc,ipv6,2001:7f8:c2::,48
ripencc,ipv6,2001:67c:1150::,48
