region,ip,prefixlength,org
ripencc,5.34.248.0,21,n/a
ripencc,31.10.16.0,20,li.tv-com-ag;TV-COM AG
ripencc,45.81.12.0,22,n/a
ripencc,45.90.8.0,22,n/a
ripencc,46.18.111.0,24,li.rheintal-ix;Verein Rheintal IX
ripencc,80.66.224.0,20,n/a
ripencc,80.72.48.0,20,n/a
ripencc,80.76.0.0,21,li.openoffice;Bacher EDV-Beratung AG
ripencc,80.241.112.0,20,li.vpb;Verwaltungs- und Privat Bank AG
ripencc,80.248.192.0,20,n/a
ripencc,82.117.0.0,19,n/a
ripencc,85.31.152.0,21,n/a
ripencc,88.82.96.0,19,n/a
ripencc,88.218.24.0,22,n/a
ripencc,89.248.144.0,20,n/a
ripencc,149.255.176.0,21,n/a
ripencc,176.119.216.0,24,n/a
ripencc,185.27.64.0,22,n/a
ripencc,185.34.148.0,22,li.gmg-net;GMG AG
ripencc,185.44.156.0,22,n/a
ripencc,185.70.80.0,22,n/a
ripencc,185.73.156.0,22,li.kpms;Kaiser Partner Management Services Anstalt
ripencc,185.77.44.0,22,n/a
ripencc,185.77.52.0,22,n/a
ripencc,185.101.8.0,22,li.3it;Drei IT AG
ripencc,185.101.48.0,22,n/a
ripencc,185.112.48.0,22,n/a
ripencc,185.117.164.0,22,li.cryptoshell;Cryptoshell AG
ripencc,185.170.216.0,22,li.gmg-net;GMG AG
ripencc,185.170.220.0,22,li.gmg-net;GMG AG
ripencc,185.174.32.0,22,li.li-life;li-life web + it establishment
ripencc,185.197.181.0,24,n/a
ripencc,185.208.120.0,22,li.speedcom;Speedcom AG
ripencc,185.236.220.0,22,n/a
ripencc,185.246.232.0,22,li.lgtfinancial;LGT Financial Services AG
ripencc,185.251.164.0,22,n/a
ripencc,185.251.184.0,22,n/a
ripencc,193.32.84.0,24,li.tagsystems;TAG Systems AG
ripencc,193.168.168.0,22,n/a
ripencc,194.31.128.0,23,n/a
ripencc,194.56.144.0,22,li.lgtfinancial;LGT Financial Services AG
ripencc,194.124.188.0,22,li.lgtfinancial;LGT Financial Services AG
ripencc,194.147.68.0,23,li.lgtfinancial;LGT Financial Services AG
ripencc,195.225.200.0,22,li.li-life;li-life web + it establishment
ripencc,212.77.32.0,19,n/a
ripencc,217.173.224.0,20,n/a
