region,version,ip,prefixlength
apnic,ipv4,43.224.124.0,22
apnic,ipv4,43.228.108.0,22
apnic,ipv4,43.250.240.0,22
apnic,ipv4,43.252.12.0,22
apnic,ipv4,45.121.88.0,22
apnic,ipv4,61.245.160.0,20
apnic,ipv4,101.2.176.0,20
apnic,ipv4,103.1.176.0,22
apnic,ipv4,103.2.148.0,22
apnic,ipv4,103.2.152.0,22
apnic,ipv4,103.11.32.0,22
apnic,ipv4,103.21.164.0,22
apnic,ipv4,103.77.64.0,22
apnic,ipv4,103.84.160.0,22
apnic,ipv4,103.87.12.0,22
apnic,ipv4,103.87.124.0,22
apnic,ipv4,103.96.226.0,23
apnic,ipv4,103.227.244.0,22
apnic,ipv4,103.247.48.0,22
apnic,ipv4,111.223.128.0,18
apnic,ipv4,112.134.0.0,15
apnic,ipv4,113.59.192.0,19
apnic,ipv4,116.12.64.0,18
apnic,ipv4,116.204.212.0,22
apnic,ipv4,116.206.20.0,22
apnic,ipv4,116.206.180.0,22
apnic,ipv4,116.206.244.0,22
apnic,ipv4,119.235.0.0,20
apnic,ipv4,122.255.0.0,18
apnic,ipv4,123.231.0.0,17
apnic,ipv4,124.6.240.0,20
apnic,ipv4,124.43.0.0,16
apnic,ipv4,125.214.160.0,19
apnic,ipv4,175.157.0.0,16
apnic,ipv4,182.161.0.0,19
apnic,ipv4,192.248.0.0,17
apnic,ipv4,194.140.200.0,21
apnic,ipv4,202.69.192.0,20
apnic,ipv4,202.124.160.0,20
apnic,ipv4,202.124.176.0,20
apnic,ipv4,202.129.232.0,22
apnic,ipv4,203.81.96.0,20
apnic,ipv4,203.94.64.0,19
apnic,ipv4,203.94.96.0,19
apnic,ipv4,203.96.160.0,22
apnic,ipv4,203.115.0.0,19
apnic,ipv4,203.115.32.0,19
apnic,ipv4,203.143.0.0,22
apnic,ipv4,203.143.4.0,22
apnic,ipv4,203.143.8.0,21
apnic,ipv4,203.143.16.0,20
apnic,ipv4,203.143.32.0,19
apnic,ipv4,203.153.220.0,22
apnic,ipv4,203.189.64.0,20
apnic,ipv4,203.189.184.0,21
apnic,ipv4,212.104.224.0,20
apnic,ipv4,220.247.192.0,18
apnic,ipv4,222.165.128.0,18
apnic,ipv4,223.224.0.0,19
apnic,ipv6,2406:c00::,32
apnic,ipv6,2407:c00::,32
apnic,ipv6,2400:a240::,32
apnic,ipv6,2400:d040::,32
apnic,ipv6,2400:e2e0::,32
apnic,ipv6,2400:ff00::,32
apnic,ipv6,2401:dd00::,32
apnic,ipv6,2402:4000::,32
apnic,ipv6,2402:cb00::,32
apnic,ipv6,2402:cb01::,32
apnic,ipv6,2402:d000::,32
apnic,ipv6,2404:8a00::,32
apnic,ipv6,2404:f000::,32
apnic,ipv6,2405:4400::,32
apnic,ipv6,2405:5400::,32
apnic,ipv6,2405:6b00::,32
arin,ipv4,192.197.189.0,24
