region,ip,prefixlength,org
ripencc,2a09:80::,29,lv.serverum;SIA Serverum
ripencc,2a00:c68::,32,lv.nano;Sia Nano IT
ripencc,2a01:4e0::,29,lv.balticom;JSC BALTICOM
ripencc,2a02:500::,29,n/a
ripencc,2a02:610::,32,"lv.streamnet;SIA ""BITE Latvija"""
ripencc,2a03:6a0::,32,n/a
ripencc,2a09:dc0::,32,lv.starnet;Starnet LTD
ripencc,2001:1bf8::,29,"lv.streamnet;SIA ""BITE Latvija"""
ripencc,2a00:1780::,32,n/a
ripencc,2a00:17c0::,32,n/a
ripencc,2a00:1810::,32,lv.nano;Sia Nano IT
ripencc,2a00:4080::,29,"lv.sag;Standart AG, LLC"
ripencc,2a00:81e0::,32,"lv.sia-mwtv;SIA ""MWTV"""
ripencc,2a00:8480::,32,"lv.streamnet;SIA ""BITE Latvija"""
ripencc,2a00:9000::,29,n/a
ripencc,2a00:f4a0::,29,n/a
ripencc,2a01:8ca0::,32,lv.telenet;Telenet SIA
ripencc,2a01:a880::,29,n/a
ripencc,2a01:bae0::,32,"lv.lva;SIA ""Datu Tehnologiju Grupa"""
ripencc,2a02:16d8::,32,n/a
ripencc,2a02:2330::,29,n/a
ripencc,2a02:2880::,32,lv.optron;RETN Baltic SIA
ripencc,2a02:70a0::,32,n/a
ripencc,2a02:7aa0::,32,lv.nano;Sia Nano IT
ripencc,2a03:2e20::,32,n/a
ripencc,2a03:3440::,32,n/a
ripencc,2a03:4fe0::,32,n/a
ripencc,2a03:6740::,29,n/a
ripencc,2a03:6820::,32,lv.nano;Sia Nano IT
ripencc,2a03:ec00::,32,lv.lmt;Latvijas Mobilais Telefons SIA
ripencc,2a04:1bc0::,29,"lv.sag;Standart AG, LLC"
ripencc,2a04:4e00::,29,lv.balticom;JSC BALTICOM
ripencc,2a04:5f40::,29,lv.alexomedia;AlexoMedia Ltd.
ripencc,2a04:f0c0::,29,n/a
ripencc,2a05:8700::,29,lv.nano;Sia Nano IT
ripencc,2a06:e8c0::,29,lv.vernet;Versija SIA
ripencc,2a09:2ac0::,29,n/a
ripencc,2a09:e0c0::,29,n/a
ripencc,2a0a:2380::,32,n/a
ripencc,2a0b:3ec0::,29,"lv.it;SIA ""IT Services"""
ripencc,2a0b:4dc0::,29,lv.travelcom;Travel Communication SIA
ripencc,2a0b:f3c0::,29,lv.siamaklaut;SIA Maklaut
ripencc,2a0b:f6c0::,29,n/a
ripencc,2a0c:16c0::,29,n/a
ripencc,2a0c:34c0::,29,n/a
ripencc,2a0c:8d00::,29,lv.nb;NBI SIA
ripencc,2a0d:1740::,32,n/a
ripencc,2a0d:3ec0::,32,lv.cybergroup;Cybergroup SIA
ripencc,2a0e:e300::,29,lv.dsolutions;SIA DHANVANTARI SOLUTIONS
ripencc,2a0f:a8c0::,29,n/a
ripencc,2a0f:cdc0::,29,"lv.sag;Standart AG, LLC"
ripencc,2a0f:ea80::,29,lv.ua-hosting;UA-Hosting SIA
ripencc,2a10:2000::,29,n/a
ripencc,2a11:7fc0::,29,lv.siaspotrix;SIA Spotrix
ripencc,2a12:9000::,29,n/a
ripencc,2a12:a480::,29,n/a
ripencc,2a12:b9c0::,29,lv.csctelecom;CSC Telecom SIA
ripencc,2a13:2000::,29,"lv.avelacom;SIA ""AVELACOM"""
ripencc,2a13:4ac0::,29,lv.podaon;Podaon SIA
ripencc,2a13:6c40::,29,lv.goodtec;SIA GOOD
