region,ip,prefixlength
ripencc,62.122.16.0,21
ripencc,81.163.72.0,21
ripencc,85.255.64.0,20
ripencc,88.135.128.0,19
ripencc,91.193.64.0,22
ripencc,91.194.176.0,24
ripencc,91.198.91.0,24
ripencc,91.198.156.0,24
ripencc,91.199.86.0,24
ripencc,91.199.126.0,24
ripencc,91.200.64.0,22
ripencc,91.201.12.0,22
ripencc,91.203.68.0,22
ripencc,91.204.64.0,22
ripencc,91.212.63.0,24
ripencc,91.213.105.0,24
ripencc,91.213.106.0,24
ripencc,91.213.251.0,24
ripencc,91.216.1.0,24
ripencc,91.216.2.0,24
ripencc,91.217.153.0,24
ripencc,91.218.52.0,22
ripencc,91.220.43.0,24
ripencc,91.221.20.0,23
ripencc,91.221.62.0,23
ripencc,91.223.165.0,24
ripencc,91.227.101.0,24
ripencc,91.230.106.0,24
ripencc,91.231.68.0,24
ripencc,91.236.188.0,24
ripencc,91.237.42.0,24
ripencc,91.240.246.0,23
ripencc,91.241.64.0,22
ripencc,91.245.194.0,24
ripencc,91.247.72.0,24
ripencc,103.35.160.0,22
ripencc,103.237.44.0,22
ripencc,109.229.192.0,19
ripencc,159.148.0.0,16
ripencc,178.212.252.0,23
ripencc,178.213.48.0,21
ripencc,185.1.236.0,24
ripencc,192.162.104.0,22
ripencc,193.0.136.0,22
ripencc,193.0.140.0,23
ripencc,193.9.120.0,24
ripencc,193.27.72.0,23
ripencc,193.32.52.0,24
ripencc,193.41.33.0,24
ripencc,193.41.45.0,24
ripencc,193.41.195.0,24
ripencc,193.46.236.0,24
ripencc,193.84.184.0,24
ripencc,193.93.62.0,24
ripencc,193.105.155.0,24
ripencc,193.105.166.0,24
ripencc,193.106.80.0,22
ripencc,193.108.29.0,24
ripencc,193.109.211.0,24
ripencc,193.110.8.0,23
ripencc,193.110.164.0,23
ripencc,193.138.77.0,24
ripencc,193.138.188.0,22
ripencc,193.164.210.0,23
ripencc,193.169.12.0,23
ripencc,193.169.166.0,23
ripencc,193.169.194.0,23
ripencc,193.178.150.0,23
ripencc,193.178.176.0,21
ripencc,193.178.192.0,22
ripencc,193.178.232.0,23
ripencc,193.200.131.0,24
ripencc,193.200.201.0,24
ripencc,193.200.224.0,24
ripencc,193.201.66.0,23
ripencc,194.0.8.0,24
ripencc,194.0.48.0,24
ripencc,194.0.49.0,24
ripencc,194.0.50.0,24
ripencc,194.0.242.0,24
ripencc,194.8.5.0,22
ripencc,194.8.9.0,24
ripencc,194.8.10.0,23
ripencc,194.8.16.0,20
ripencc,194.8.32.0,20
ripencc,194.9.170.0,24
ripencc,194.50.105.0,24
ripencc,194.105.56.0,24
ripencc,194.125.240.0,24
ripencc,194.125.241.0,24
ripencc,194.126.199.0,24
ripencc,194.143.152.0,23
ripencc,194.152.32.0,23
ripencc,194.153.79.0,24
ripencc,194.153.171.0,24
ripencc,194.187.68.0,22
ripencc,194.213.9.0,24
ripencc,194.213.100.0,23
ripencc,195.3.144.0,22
ripencc,195.5.102.0,23
ripencc,195.8.115.0,24
ripencc,195.10.204.0,24
ripencc,195.10.216.0,24
ripencc,195.20.126.0,23
ripencc,195.26.20.0,23
ripencc,195.35.107.0,24
ripencc,195.43.82.0,23
ripencc,195.60.248.0,22
ripencc,195.66.64.0,24
ripencc,195.130.205.0,24
ripencc,195.160.170.0,23
ripencc,195.162.74.0,23
ripencc,195.178.96.0,23
ripencc,195.182.47.0,24
ripencc,195.211.156.0,22
ripencc,195.216.236.0,24
ripencc,195.234.131.0,24
ripencc,195.234.144.0,24
ripencc,195.245.194.0,24
ripencc,195.246.226.0,23
ripencc,195.246.252.0,23
ripencc,195.248.64.0,24
ripencc,213.110.64.0,19
