region,version,ip,prefixlength
afrinic,ipv4,102.64.4.0,23
afrinic,ipv4,102.165.189.0,24
afrinic,ipv4,102.216.118.0,24
afrinic,ipv4,102.218.131.0,24
afrinic,ipv4,192.12.117.0,24
afrinic,ipv4,193.194.32.0,19
afrinic,ipv4,196.11.103.0,24
afrinic,ipv4,196.13.108.0,24
afrinic,ipv4,196.43.236.0,24
afrinic,ipv4,196.60.74.0,24
afrinic,ipv6,2001:43f8:650::,48
afrinic,ipv6,2001:43f8:b30::,48
afrinic,ipv6,2001:43f8:10a0::,48
afrinic,ipv6,2001:43f8:10c0::,48
afrinic,ipv6,2001:43f8:10f0::,48
afrinic,ipv6,2001:43f8:13f0::,48
afrinic,ipv6,2001:43f8:1670::,48
