region,ip,prefixlength,org
ripencc,37.44.224.0,22,n/a
ripencc,80.94.96.0,20,n/a
ripencc,82.113.0.0,19,n/a
ripencc,87.238.104.0,21,mc.sonema;SOCIETE DE NEGOCE DE MATERIEL SAM
ripencc,87.254.224.0,19,n/a
ripencc,88.209.64.0,18,n/a
ripencc,91.213.192.0,24,mc.idruide;IDRUIDE SARL
ripencc,176.114.96.0,20,mc.a7interactive;A7 Interactive Sarl
ripencc,185.47.116.0,22,mc.a7interactive;A7 Interactive Sarl
ripencc,185.162.120.0,22,mc.a7interactive;A7 Interactive Sarl
ripencc,185.193.108.0,22,mc.sonema;SOCIETE DE NEGOCE DE MATERIEL SAM
ripencc,185.243.3.0,24,n/a
ripencc,185.250.4.0,22,n/a
ripencc,188.191.136.0,21,mc.a7interactive;A7 Interactive Sarl
ripencc,193.34.228.0,23,n/a
ripencc,193.35.2.0,23,n/a
ripencc,195.78.0.0,19,n/a
ripencc,213.133.72.0,21,mc.a7interactive;A7 Interactive Sarl
