region,ip,prefixlength,org
ripencc,31.204.192.0,18,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,37.0.64.0,21,me.telemach;Telemach d.o.o.
ripencc,37.122.160.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,46.33.192.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,46.161.64.0,18,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,62.4.32.0,19,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
ripencc,77.91.96.0,20,n/a
ripencc,77.91.112.0,20,n/a
ripencc,77.222.0.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,78.155.32.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,79.140.144.0,20,me.telemach;Telemach d.o.o.
ripencc,79.143.96.0,20,n/a
ripencc,81.28.248.0,22,me.beenet;ASP Co d.o.o
ripencc,85.94.96.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,89.188.32.0,19,n/a
ripencc,89.207.192.0,21,me.telemach;Telemach d.o.o.
ripencc,94.102.224.0,20,n/a
ripencc,95.155.0.0,18,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,109.72.96.0,20,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
ripencc,109.228.64.0,18,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,185.12.40.0,22,me.telemach;Telemach d.o.o.
ripencc,185.38.184.0,22,n/a
ripencc,185.40.188.0,22,n/a
ripencc,185.64.0.0,22,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
ripencc,185.68.48.0,22,n/a
ripencc,185.80.96.0,22,me.telemach;Telemach d.o.o.
ripencc,185.132.160.0,22,me.ministryofdefence;MINISTRY OF DEFENCE OF MONTENEGRO (MINISTARSTVO ODBRANE CRNE GORE)
ripencc,185.147.200.0,22,me.wireless;Wireless Montenegro D.O.O.
ripencc,185.163.224.0,22,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,185.179.52.0,22,n/a
ripencc,185.179.92.0,22,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
ripencc,185.255.228.0,22,me.infosistemi;Info Sistemi d.o.o.
ripencc,193.32.112.0,22,n/a
ripencc,195.66.160.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,213.133.0.0,19,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
ripencc,213.149.96.0,19,me.crna;Crnogorski Telekom a.d.Podgorica
ripencc,213.196.64.0,19,"me.mtelcg;Drustvo za telekomunikacije ""MTEL"" DOO"
