region,ip,prefixlength,org
ripencc,2a01:5b8::,29,mk.novoperator;Company for communications services A1 Makedonija DOOEL Skopje
ripencc,2a02:e48::,32,"mk.ukim;Univerzitet ""Sv. Kiril i Metodij"""
ripencc,2a00:1218::,32,mk.neotel;NEOTEL DOO export-import Skopje
ripencc,2a00:5c40::,29,n/a
ripencc,2a00:a9c0::,32,mk.novoperator;Company for communications services A1 Makedonija DOOEL Skopje
ripencc,2a00:c8a0::,29,mk.itvnet;Company for interactive technologies ITV DOOEL export-import Skopje
ripencc,2a01:a180::,32,n/a
ripencc,2a01:b780::,32,mk.novoperator;Company for communications services A1 Makedonija DOOEL Skopje
ripencc,2a02:5580::,32,n/a
ripencc,2a02:5720::,32,mk.rilind;Multimedija Netvork L DOOEL Export-Import Gostivar
ripencc,2a02:cbc0::,30,n/a
ripencc,2a03:af40::,32,n/a
ripencc,2a03:e380::,32,mk.inel-internacional;Inel Internacional Dooel Kavadarci
ripencc,2a04:69c0::,29,mk.meganet;Drustvo za telekomunikaciski uslugi TELEKABEL DOOEL Stip
ripencc,2a04:8d00::,29,n/a
ripencc,2a04:8e00::,29,mk.deltabet;Delta Bet D.O.O.E.L Skopje
ripencc,2a05:5bc0::,29,mk.mol;Company for Computer Services and Trade MOL KOMUNIKACII DOOEL Skopje LLC
ripencc,2a05:a100::,29,n/a
ripencc,2a05:d800::,29,mk.novoperator;Company for communications services A1 Makedonija DOOEL Skopje
ripencc,2a07:d8c0::,32,n/a
ripencc,2a0a:b140::,32,mk.kibs;KIBS AD Skopje
ripencc,2a0a:f7c0::,29,mk.telenet-kom;TELENET KOM DOO
ripencc,2a0d:4500::,29,n/a
ripencc,2a0d:5c80::,29,n/a
ripencc,2a0d:5d80::,29,n/a
ripencc,2a0d:5e80::,29,n/a
ripencc,2a0d:5f80::,29,n/a
ripencc,2a0d:6180::,29,n/a
ripencc,2a0d:6280::,29,n/a
ripencc,2a0d:6780::,29,n/a
ripencc,2a0d:6880::,29,n/a
ripencc,2a0d:a340::,29,n/a
ripencc,2a0f:6440::,29,n/a
ripencc,2a10:2580::,29,n/a
ripencc,2a10:66c0::,29,mk.globalsat;GLOBALSAT DOOEL
ripencc,2a10:e340::,29,n/a
