region,ip,prefixlength
apnic,27.109.116.0,22
apnic,37.111.0.0,17
apnic,42.156.32.0,22
apnic,43.224.40.0,22
apnic,43.224.84.0,22
apnic,43.227.12.0,22
apnic,43.231.64.0,22
apnic,43.242.134.0,23
apnic,43.245.44.0,22
apnic,43.252.80.0,22
apnic,45.41.96.0,19
apnic,45.112.44.0,22
apnic,45.112.176.0,22
apnic,45.120.84.0,22
apnic,45.125.4.0,22
apnic,45.250.200.0,22
apnic,45.250.240.0,22
apnic,59.153.88.0,22
apnic,59.153.108.0,22
apnic,61.4.64.0,20
apnic,65.18.112.0,20
apnic,69.160.0.0,19
apnic,74.50.208.0,21
apnic,103.13.32.0,22
apnic,103.23.132.0,22
apnic,103.25.12.0,22
apnic,103.25.76.0,22
apnic,103.27.116.0,22
apnic,103.29.90.0,23
apnic,103.38.8.0,24
apnic,103.42.216.0,22
apnic,103.47.184.0,23
apnic,103.52.12.0,22
apnic,103.52.228.0,22
apnic,103.59.162.0,23
apnic,103.61.8.0,22
apnic,103.65.242.0,23
apnic,103.68.224.0,22
apnic,103.68.234.0,23
apnic,103.69.248.0,22
apnic,103.70.216.0,22
apnic,103.71.248.0,22
apnic,103.73.236.0,22
apnic,103.76.179.0,24
apnic,103.76.184.0,23
apnic,103.77.216.0,23
apnic,103.80.36.0,22
apnic,103.81.113.0,24
apnic,103.81.114.0,23
apnic,103.83.188.0,22
apnic,103.84.100.0,23
apnic,103.85.104.0,22
apnic,103.88.48.0,22
apnic,103.89.48.0,22
apnic,103.89.176.0,22
apnic,103.89.180.0,22
apnic,103.94.68.0,22
apnic,103.95.4.0,23
apnic,103.96.230.0,23
apnic,103.96.232.0,24
apnic,103.99.28.0,22
apnic,103.101.16.0,22
apnic,103.105.172.0,22
apnic,103.108.104.0,22
apnic,103.110.196.0,22
apnic,103.113.84.0,22
apnic,103.116.12.0,24
apnic,103.116.56.0,22
apnic,103.116.192.0,23
apnic,103.116.194.0,24
apnic,103.121.224.0,22
apnic,103.121.228.0,22
apnic,103.124.158.0,23
apnic,103.124.184.0,23
apnic,103.129.76.0,22
apnic,103.133.242.0,23
apnic,103.134.204.0,22
apnic,103.135.216.0,22
apnic,103.136.132.0,22
apnic,103.138.252.0,23
apnic,103.139.194.0,24
apnic,103.139.208.0,23
apnic,103.142.144.0,23
apnic,103.143.200.0,23
apnic,103.144.8.0,23
apnic,103.144.224.0,23
apnic,103.145.120.0,23
apnic,103.145.186.0,24
apnic,103.146.48.0,23
apnic,103.146.66.0,23
apnic,103.148.104.0,24
apnic,103.150.58.0,24
apnic,103.151.8.0,23
apnic,103.154.240.0,23
apnic,103.156.154.0,23
apnic,103.157.0.0,23
apnic,103.160.52.0,23
apnic,103.160.146.0,24
apnic,103.162.83.0,24
apnic,103.163.159.0,24
apnic,103.168.220.0,23
apnic,103.171.14.0,24
apnic,103.171.212.0,23
apnic,103.172.180.0,23
apnic,103.176.224.0,23
apnic,103.177.86.0,23
apnic,103.181.26.0,23
apnic,103.182.118.0,23
apnic,103.183.194.0,23
apnic,103.185.222.0,23
apnic,103.186.104.0,23
apnic,103.186.122.0,23
apnic,103.186.240.0,23
apnic,103.188.90.0,24
apnic,103.193.164.0,24
apnic,103.197.196.0,22
apnic,103.198.148.0,22
apnic,103.200.132.0,22
apnic,103.203.132.0,22
apnic,103.204.16.0,22
apnic,103.204.100.0,22
apnic,103.215.192.0,22
apnic,103.217.156.0,22
apnic,103.219.108.0,22
apnic,103.219.156.0,22
apnic,103.233.204.0,22
apnic,103.242.96.0,22
apnic,103.244.188.0,23
apnic,103.250.220.0,23
apnic,103.255.172.0,22
apnic,116.206.136.0,22
apnic,116.206.192.0,22
apnic,117.18.228.0,22
apnic,117.55.248.0,22
apnic,117.55.252.0,23
apnic,121.46.71.0,24
apnic,121.54.164.0,22
apnic,122.248.96.0,19
apnic,123.253.20.0,22
apnic,123.253.228.0,22
apnic,136.228.160.0,20
apnic,157.119.76.0,22
apnic,180.235.116.0,22
apnic,182.255.52.0,22
apnic,185.133.212.0,22
apnic,185.205.140.0,22
apnic,202.53.156.0,22
apnic,202.133.84.0,22
apnic,202.165.80.0,20
apnic,202.191.96.0,20
apnic,203.81.64.0,19
apnic,203.81.160.0,20
apnic,203.96.240.0,22
apnic,203.109.36.0,22
apnic,203.215.60.0,22
apnic,210.14.96.0,20
