region,version,ip,prefixlength
apnic,ipv4,103.25.240.0,22
apnic,ipv4,103.70.249.0,24
apnic,ipv4,103.77.201.0,24
apnic,ipv4,103.82.232.0,24
apnic,ipv4,103.83.34.0,23
apnic,ipv4,103.94.52.0,22
apnic,ipv4,103.94.144.0,22
apnic,ipv4,103.97.110.0,24
apnic,ipv4,103.103.173.0,24
apnic,ipv4,103.103.194.0,24
apnic,ipv4,103.115.4.0,23
apnic,ipv4,103.115.6.0,24
apnic,ipv4,103.115.23.0,24
apnic,ipv4,103.115.214.0,23
apnic,ipv4,103.116.159.0,24
apnic,ipv4,103.116.190.0,23
apnic,ipv4,103.121.158.0,24
apnic,ipv4,103.135.37.0,24
apnic,ipv4,103.137.86.0,24
apnic,ipv4,103.139.100.0,23
apnic,ipv4,103.139.206.0,24
apnic,ipv4,103.142.39.0,24
apnic,ipv4,103.143.246.0,23
apnic,ipv4,103.149.50.0,23
apnic,ipv4,103.150.78.0,23
apnic,ipv4,103.153.13.0,24
apnic,ipv4,103.153.202.0,24
apnic,ipv4,103.155.10.0,23
apnic,ipv4,103.164.145.0,24
apnic,ipv4,103.180.10.0,23
apnic,ipv4,103.187.105.0,24
apnic,ipv4,103.206.173.0,24
apnic,ipv4,103.213.30.0,24
apnic,ipv4,103.213.228.0,24
apnic,ipv4,103.231.92.0,22
apnic,ipv4,203.109.48.0,22
apnic,ipv6,2001:df2:b80::,48
apnic,ipv6,2001:df5:480::,48
apnic,ipv6,2001:df0:5f80::,48
apnic,ipv6,2001:df0:6cc0::,48
apnic,ipv6,2001:df0:8940::,48
apnic,ipv6,2001:df0:9180::,48
apnic,ipv6,2001:df0:9200::,48
apnic,ipv6,2001:df0:9280::,48
apnic,ipv6,2001:df0:9b40::,48
apnic,ipv6,2001:df0:bb40::,48
apnic,ipv6,2001:df1:45c0::,48
apnic,ipv6,2001:df1:4780::,48
apnic,ipv6,2001:df1:5500::,48
apnic,ipv6,2001:df1:7e00::,48
apnic,ipv6,2001:df1:9ac0::,48
apnic,ipv6,2001:df1:a280::,48
apnic,ipv6,2001:df1:c700::,48
apnic,ipv6,2001:df1:e2c0::,48
apnic,ipv6,2001:df1:ea40::,48
apnic,ipv6,2001:df1:f0c0::,48
apnic,ipv6,2001:df2:4e80::,48
apnic,ipv6,2001:df2:ce80::,48
apnic,ipv6,2001:df3:1300::,48
apnic,ipv6,2001:df3:1380::,48
apnic,ipv6,2001:df3:6180::,48
apnic,ipv6,2001:df3:ce00::,48
apnic,ipv6,2001:df4:a880::,48
apnic,ipv6,2001:df5:1b00::,48
apnic,ipv6,2001:df5:7100::,48
apnic,ipv6,2001:df5:ee80::,48
apnic,ipv6,2001:df6:4b80::,48
apnic,ipv6,2001:df6:dc80::,48
apnic,ipv6,2001:df7:3080::,48
apnic,ipv6,2001:df7:c200::,48
apnic,ipv6,2001:df7:e500::,48
