region,ip,prefixlength
apnic,2001:df2:b80::,48
apnic,2001:df5:480::,48
apnic,2001:df0:5f80::,48
apnic,2001:df0:6cc0::,48
apnic,2001:df0:8940::,48
apnic,2001:df0:9180::,48
apnic,2001:df0:9200::,48
apnic,2001:df0:9280::,48
apnic,2001:df0:9b40::,48
apnic,2001:df0:bb40::,48
apnic,2001:df1:45c0::,48
apnic,2001:df1:4780::,48
apnic,2001:df1:5500::,48
apnic,2001:df1:7e00::,48
apnic,2001:df1:9ac0::,48
apnic,2001:df1:a280::,48
apnic,2001:df1:c700::,48
apnic,2001:df1:e2c0::,48
apnic,2001:df1:ea40::,48
apnic,2001:df1:f0c0::,48
apnic,2001:df2:4e80::,48
apnic,2001:df2:ce80::,48
apnic,2001:df3:1300::,48
apnic,2001:df3:1380::,48
apnic,2001:df3:6180::,48
apnic,2001:df3:ce00::,48
apnic,2001:df4:a880::,48
apnic,2001:df5:1b00::,48
apnic,2001:df5:7100::,48
apnic,2001:df5:ee80::,48
apnic,2001:df6:4b80::,48
apnic,2001:df6:dc80::,48
apnic,2001:df7:3080::,48
apnic,2001:df7:c200::,48
apnic,2001:df7:e500::,48
