region,ip,prefixlength,org
arin,104.245.112.0,21,n/a
arin,104.249.191.0,24,n/a
ripencc,80.243.240.0,20,mq.outremer;Outremer Telecom SASU
ripencc,82.197.96.0,19,mq.outremer;Outremer Telecom SASU
ripencc,89.16.0.0,19,mq.outremer;Outremer Telecom SASU
ripencc,92.49.64.0,18,mq.outremer;Outremer Telecom SASU
ripencc,93.176.0.0,18,mq.outremer;Outremer Telecom SASU
ripencc,94.124.216.0,21,n/a
ripencc,94.198.176.0,21,n/a
ripencc,109.62.0.0,17,mq.outremer;Outremer Telecom SASU
ripencc,109.203.224.0,19,n/a
ripencc,185.13.216.0,22,mq.outremer;Outremer Telecom SASU
ripencc,185.14.99.0,24,mq.exodata;Exodata Caraibes SAS
ripencc,185.21.212.0,22,n/a
ripencc,185.60.232.0,22,mq.ctm;Collectivite Territoriale de Martinique
ripencc,188.115.64.0,18,mq.outremer;Outremer Telecom SASU
ripencc,217.175.160.0,20,mq.outremer;Outremer Telecom SASU
ripencc,217.175.176.0,20,mq.outremer;Outremer Telecom SASU
