region,version,ip,prefixlength,org
ripencc,ipv4,2.59.128.0,22,mt.globitell-intl;GLOBITELL INTERNATIONAL LTD
ripencc,ipv4,5.198.248.0,21,n/a
ripencc,ipv4,37.75.32.0,19,mt.vfm;Epic Communications Limited
ripencc,ipv4,37.114.72.0,21,mt.cats;Bellnet Limited
ripencc,ipv4,37.233.120.0,21,mt.mefin;Medifin Leasing Limited
ripencc,ipv4,45.9.100.0,22,n/a
ripencc,ipv4,45.95.80.0,22,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv4,46.11.0.0,16,n/a
ripencc,ipv4,46.54.0.0,17,n/a
ripencc,ipv4,62.173.0.0,19,n/a
ripencc,ipv4,69.6.32.0,19,n/a
ripencc,ipv4,77.25.128.0,17,mt.vfm;Epic Communications Limited
ripencc,ipv4,77.71.128.0,17,n/a
ripencc,ipv4,77.243.64.0,20,mt.vfm;Epic Communications Limited
ripencc,ipv4,78.110.16.0,20,mt.cats;Bellnet Limited
ripencc,ipv4,78.133.0.0,17,n/a
ripencc,ipv4,80.64.208.0,22,n/a
ripencc,ipv4,80.71.48.0,20,n/a
ripencc,ipv4,80.71.96.0,20,n/a
ripencc,ipv4,80.77.192.0,20,n/a
ripencc,ipv4,80.85.96.0,20,mt.vfm;Epic Communications Limited
ripencc,ipv4,80.93.144.0,20,mt.gomobile;GO p.l.c.
ripencc,ipv4,80.245.208.0,20,mt.cats;Bellnet Limited
ripencc,ipv4,80.254.80.0,20,n/a
ripencc,ipv4,84.255.0.0,18,n/a
ripencc,ipv4,85.119.120.0,21,n/a
ripencc,ipv4,85.184.96.0,19,mt.unibet;Unibet Services Limited
ripencc,ipv4,85.232.192.0,19,n/a
ripencc,ipv4,85.236.136.0,21,n/a
ripencc,ipv4,88.203.0.0,17,n/a
ripencc,ipv4,91.103.88.0,21,n/a
ripencc,ipv4,91.190.157.0,24,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv4,92.251.0.0,17,n/a
ripencc,ipv4,94.17.0.0,16,n/a
ripencc,ipv4,94.138.224.0,19,mt.csc;Malta Internet Foundation
ripencc,ipv4,95.131.232.0,21,mt.cats;Bellnet Limited
ripencc,ipv4,109.200.32.0,19,mt.vfm;Epic Communications Limited
ripencc,ipv4,141.8.0.0,17,n/a
ripencc,ipv4,141.138.208.0,21,n/a
ripencc,ipv4,159.20.24.0,21,mt.vfm;Epic Communications Limited
ripencc,ipv4,176.99.32.0,20,mt.vfm;Epic Communications Limited
ripencc,ipv4,185.5.48.0,22,mt.vfm;Epic Communications Limited
ripencc,ipv4,185.9.100.0,22,mt.unibet;Unibet Services Limited
ripencc,ipv4,185.13.40.0,22,n/a
ripencc,ipv4,185.25.168.0,22,mt.aspidersol;ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
ripencc,ipv4,185.27.56.0,22,n/a
ripencc,ipv4,185.36.236.0,22,mt.bmh;Smart IP (SIP) Limited
ripencc,ipv4,185.48.184.0,22,n/a
ripencc,ipv4,185.51.236.0,22,n/a
ripencc,ipv4,185.56.136.0,22,mt.phoenixnap-eu;Phoenix NAP Ltd.
ripencc,ipv4,185.56.252.0,22,mt.cats;Bellnet Limited
ripencc,ipv4,185.62.36.0,22,n/a
ripencc,ipv4,185.63.72.0,22,n/a
ripencc,ipv4,185.64.4.0,24,mt.messaggio;Messaggio Ltd
ripencc,ipv4,185.64.56.0,22,n/a
ripencc,ipv4,185.76.244.0,22,mt.bmh;Smart IP (SIP) Limited
ripencc,ipv4,185.89.136.0,22,n/a
ripencc,ipv4,185.89.236.0,22,n/a
ripencc,ipv4,185.91.0.0,22,mt.bet-at-home;bet-at-home.com International Ltd.
ripencc,ipv4,185.115.12.0,22,n/a
ripencc,ipv4,185.137.16.0,22,mt.relaxgaming;Relax Gaming Ltd
ripencc,ipv4,185.141.248.0,22,n/a
ripencc,ipv4,185.157.36.0,22,n/a
ripencc,ipv4,185.162.152.0,22,mt.aspidersol;ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
ripencc,ipv4,185.176.196.0,22,n/a
ripencc,ipv4,185.177.48.0,22,n/a
ripencc,ipv4,185.179.68.0,22,mt.unibet;Unibet Services Limited
ripencc,ipv4,185.179.102.0,24,mt.easo;European Union Agency for Asylum
ripencc,ipv4,185.222.76.0,22,mt.csc;Malta Internet Foundation
ripencc,ipv4,185.234.109.0,24,n/a
ripencc,ipv4,185.240.104.0,22,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv4,185.242.68.0,22,n/a
ripencc,ipv4,188.65.184.0,21,mt.aspidersol;ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
ripencc,ipv4,188.172.0.0,18,mt.vfm;Epic Communications Limited
ripencc,ipv4,188.172.64.0,19,mt.vfm;Epic Communications Limited
ripencc,ipv4,193.24.232.0,22,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv4,193.28.2.0,23,n/a
ripencc,ipv4,193.28.58.0,23,n/a
ripencc,ipv4,193.29.36.0,23,mt.gomobile;GO p.l.c.
ripencc,ipv4,193.29.40.0,23,mt.gomobile;GO p.l.c.
ripencc,ipv4,193.105.200.0,24,mt.stackinternet;STACK INTERNET LTD
ripencc,ipv4,193.227.99.0,24,n/a
ripencc,ipv4,194.61.20.0,22,mt.genesis;Genesis Cloud Limited
ripencc,ipv4,194.106.64.0,19,n/a
ripencc,ipv4,194.158.32.0,19,n/a
ripencc,ipv4,194.204.96.0,19,n/a
ripencc,ipv4,195.138.224.0,21,n/a
ripencc,ipv4,195.158.64.0,18,n/a
ripencc,ipv4,212.56.128.0,19,n/a
ripencc,ipv4,212.65.96.0,19,n/a
ripencc,ipv4,212.103.44.0,22,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv4,213.165.160.0,19,n/a
ripencc,ipv4,213.217.192.0,18,n/a
ripencc,ipv4,217.15.96.0,20,n/a
ripencc,ipv4,217.22.176.0,20,n/a
ripencc,ipv4,217.30.96.0,20,n/a
ripencc,ipv4,217.71.176.0,20,n/a
ripencc,ipv4,217.145.0.0,20,n/a
ripencc,ipv4,217.168.160.0,20,mt.cats;Bellnet Limited
ripencc,ipv4,217.198.186.0,24,n/a
ripencc,ipv6,2a01:a0::,32,mt.gomobile;GO p.l.c.
ripencc,ipv6,2a01:180::,29,n/a
ripencc,ipv6,2a02:dd0::,32,n/a
ripencc,ipv6,2a03:9a0::,32,n/a
ripencc,ipv6,2a03:bc0::,29,n/a
ripencc,ipv6,2001:1a70::,29,mt.csc;Malta Internet Foundation
ripencc,ipv6,2a00:1060::,32,n/a
ripencc,ipv6,2a00:1cc0::,32,mt.cats;Bellnet Limited
ripencc,ipv6,2a00:5280::,32,mt.aspidersol;ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
ripencc,ipv6,2a00:8de0::,29,n/a
ripencc,ipv6,2a01:9ae0::,32,n/a
ripencc,ipv6,2a01:abc0::,32,n/a
ripencc,ipv6,2a02:5320::,32,mt.phoenixnap-eu;Phoenix NAP Ltd.
ripencc,ipv6,2a02:79a0::,32,n/a
ripencc,ipv6,2a03:3bc0::,32,mt.unibet;Unibet Services Limited
ripencc,ipv6,2a03:50e0::,32,n/a
ripencc,ipv6,2a03:6bc0::,29,mt.relaxgaming;Relax Gaming Ltd
ripencc,ipv6,2a03:8820::,32,mt.bet-at-home;bet-at-home.com International Ltd.
ripencc,ipv6,2a03:cb00::,32,n/a
ripencc,ipv6,2a04:6700::,29,mt.bmh;Smart IP (SIP) Limited
ripencc,ipv6,2a04:8300::,29,n/a
ripencc,ipv6,2a04:8700::,29,n/a
ripencc,ipv6,2a07:2740::,29,n/a
ripencc,ipv6,2a09:7000::,29,mt.genesis;Genesis Cloud Limited
ripencc,ipv6,2a09:f3c0::,29,mt.globitell-intl;GLOBITELL INTERNATIONAL LTD
ripencc,ipv6,2a0c:c280::,29,n/a
ripencc,ipv6,2a0d:1c40::,29,n/a
ripencc,ipv6,2a10:1f00::,31,mt.messaggio;Messaggio Ltd
ripencc,ipv6,2a10:5500::,29,mt.vfm;Epic Communications Limited
ripencc,ipv6,2a11:6480::,29,mt.myfatdigital;MyFatDigital Ltd
ripencc,ipv6,2a11:9540::,32,n/a
