region,ip,prefixlength,org
afrinic,41.72.192.0,19,n/a
afrinic,41.76.40.0,21,n/a
afrinic,41.77.144.0,21,n/a
afrinic,41.79.132.0,22,n/a
afrinic,41.84.128.0,19,n/a
afrinic,41.87.96.0,19,n/a
afrinic,41.136.0.0,16,n/a
afrinic,41.160.0.0,12,n/a
afrinic,41.190.128.0,19,n/a
afrinic,41.191.212.0,22,n/a
afrinic,41.191.224.0,21,n/a
afrinic,41.198.0.0,16,n/a
afrinic,41.206.96.0,19,n/a
afrinic,41.207.128.0,19,n/a
afrinic,41.207.232.0,22,n/a
afrinic,41.211.64.0,19,n/a
afrinic,41.212.128.0,17,n/a
afrinic,41.215.248.0,22,n/a
afrinic,41.216.96.0,19,n/a
afrinic,41.217.212.0,22,n/a
afrinic,41.220.224.0,20,n/a
afrinic,41.220.240.0,20,n/a
afrinic,41.222.0.0,21,n/a
afrinic,41.222.96.0,21,n/a
afrinic,41.223.76.0,22,n/a
afrinic,41.223.220.0,22,n/a
afrinic,41.223.224.0,22,n/a
afrinic,41.242.144.0,21,n/a
afrinic,45.192.0.0,12,n/a
afrinic,80.67.128.0,20,n/a
afrinic,80.240.192.0,20,n/a
afrinic,102.68.112.0,21,n/a
afrinic,102.112.0.0,13,n/a
afrinic,102.131.48.0,21,n/a
afrinic,102.140.176.0,20,n/a
afrinic,102.160.0.0,14,n/a
afrinic,102.176.128.0,19,n/a
afrinic,102.214.100.0,22,n/a
afrinic,102.221.182.0,23,n/a
afrinic,102.222.25.0,24,n/a
afrinic,102.222.104.0,22,n/a
afrinic,102.223.206.0,23,n/a
afrinic,105.16.0.0,12,n/a
afrinic,105.235.144.0,20,n/a
afrinic,152.108.0.0,16,n/a
afrinic,154.65.8.0,22,n/a
afrinic,154.66.228.0,22,n/a
afrinic,154.66.240.0,21,n/a
afrinic,154.71.0.0,19,n/a
afrinic,154.120.192.0,18,n/a
afrinic,154.127.48.0,20,n/a
afrinic,169.239.140.0,22,n/a
afrinic,169.255.160.0,22,n/a
afrinic,196.2.64.0,20,n/a
afrinic,196.12.128.0,19,n/a
afrinic,196.15.8.0,22,n/a
afrinic,196.20.128.0,17,n/a
afrinic,196.22.144.0,20,n/a
afrinic,196.27.64.0,19,n/a
afrinic,196.46.32.0,19,n/a
afrinic,196.47.64.0,19,n/a
afrinic,196.192.0.0,20,n/a
afrinic,196.192.64.0,21,n/a
afrinic,196.192.80.0,22,n/a
afrinic,196.192.96.0,20,n/a
afrinic,196.201.16.0,21,n/a
afrinic,196.201.228.0,22,n/a
afrinic,196.207.48.0,20,n/a
afrinic,196.216.64.0,19,n/a
afrinic,196.251.148.0,22,n/a
afrinic,197.155.64.0,19,n/a
afrinic,197.155.224.0,20,n/a
afrinic,197.211.192.0,18,n/a
afrinic,197.224.0.0,14,n/a
afrinic,197.231.184.0,21,n/a
afrinic,197.242.184.0,21,n/a
afrinic,202.123.0.0,19,n/a
afrinic,217.21.112.0,20,n/a
apnic,202.60.0.0,21,n/a
