region,ip,prefixlength
afrinic,45.221.0.0,22
afrinic,45.221.16.0,22
afrinic,102.69.148.0,24
afrinic,102.215.96.0,24
afrinic,102.218.128.0,24
afrinic,102.218.130.0,24
afrinic,102.219.22.0,24
afrinic,102.220.125.0,24
afrinic,160.0.0.0,17
afrinic,196.1.0.0,24
afrinic,196.1.7.0,24
afrinic,196.3.109.0,24
afrinic,196.13.125.0,24
afrinic,196.49.9.0,24
afrinic,196.49.94.0,24
afrinic,196.50.2.0,24
afrinic,196.60.108.0,24
afrinic,196.192.112.0,23
afrinic,196.192.114.0,23
afrinic,196.192.140.0,22
afrinic,196.216.213.0,24
afrinic,196.223.0.0,24
afrinic,196.250.252.0,22
afrinic,196.251.252.0,22
