region,version,ip,prefixlength
afrinic,ipv4,41.76.0.0,21
afrinic,ipv4,41.76.144.0,21
afrinic,ipv4,41.77.32.0,21
afrinic,ipv4,41.77.128.0,21
afrinic,ipv4,41.79.244.0,22
afrinic,ipv4,41.94.0.0,16
afrinic,ipv4,41.138.224.0,20
afrinic,ipv4,41.191.72.0,22
afrinic,ipv4,41.220.32.0,20
afrinic,ipv4,41.220.160.0,20
afrinic,ipv4,41.221.64.0,20
afrinic,ipv4,41.223.124.0,22
afrinic,ipv4,41.223.152.0,22
afrinic,ipv4,102.67.188.0,22
afrinic,ipv4,102.130.60.0,22
afrinic,ipv4,102.222.88.0,22
afrinic,ipv4,105.235.216.0,21
afrinic,ipv4,160.119.112.0,21
afrinic,ipv4,160.119.156.0,22
afrinic,ipv4,165.90.64.0,19
afrinic,ipv4,169.239.104.0,22
afrinic,ipv4,169.255.132.0,22
afrinic,ipv4,196.22.48.0,20
afrinic,ipv4,196.28.224.0,20
afrinic,ipv4,196.40.112.0,20
afrinic,ipv4,196.46.0.0,20
afrinic,ipv4,196.50.128.0,18
afrinic,ipv4,197.158.0.0,18
afrinic,ipv4,197.218.0.0,15
afrinic,ipv4,197.231.216.0,22
afrinic,ipv4,197.235.0.0,16
afrinic,ipv4,197.242.160.0,20
afrinic,ipv4,197.249.0.0,16
afrinic,ipv6,2001:4378::,32
afrinic,ipv6,2c0f:5580::,32
afrinic,ipv6,2c0f:5d80::,32
afrinic,ipv6,2c0f:e8e8::,32
afrinic,ipv6,2c0f:ea68::,32
afrinic,ipv6,2c0f:eb70::,32
afrinic,ipv6,2c0f:ee18::,32
afrinic,ipv6,2c0f:f140::,32
afrinic,ipv6,2c0f:f308::,32
afrinic,ipv6,2c0f:f3d0::,32
afrinic,ipv6,2c0f:f5e0::,32
afrinic,ipv6,2c0f:fb48::,32
afrinic,ipv6,2c0f:fb90::,32
