region,version,ip,prefixlength
afrinic,ipv4,102.36.146.0,24
afrinic,ipv4,102.176.248.0,23
afrinic,ipv4,160.19.190.0,23
afrinic,ipv4,196.3.96.0,21
afrinic,ipv4,196.10.148.0,24
afrinic,ipv4,196.11.135.0,24
afrinic,ipv4,196.13.101.0,24
afrinic,ipv4,196.43.234.0,24
afrinic,ipv4,196.43.241.0,24
afrinic,ipv4,196.49.34.0,24
afrinic,ipv4,196.223.33.0,24
afrinic,ipv6,2001:43f8:640::,48
afrinic,ipv6,2001:43f8:930::,48
afrinic,ipv6,2001:43f8:931::,48
afrinic,ipv6,2001:43f8:a40::,48
ripencc,ipv4,195.140.248.0,22
