region,version,ip,prefixlength
afrinic,ipv4,41.63.192.0,18
afrinic,ipv4,41.182.0.0,16
afrinic,ipv4,41.190.84.0,22
afrinic,ipv4,41.190.96.0,19
afrinic,ipv4,41.205.128.0,19
afrinic,ipv4,41.218.64.0,18
afrinic,ipv4,41.219.64.0,18
afrinic,ipv4,41.223.80.0,22
afrinic,ipv4,102.69.212.0,22
afrinic,ipv4,102.214.132.0,22
afrinic,ipv4,102.214.212.0,22
afrinic,ipv4,102.215.104.0,22
afrinic,ipv4,105.232.0.0,16
afrinic,ipv4,154.0.192.0,18
afrinic,ipv4,160.242.0.0,17
afrinic,ipv4,164.160.108.0,22
afrinic,ipv4,196.1.28.0,22
afrinic,ipv4,196.20.0.0,19
afrinic,ipv4,196.44.128.0,19
afrinic,ipv4,196.216.32.0,19
afrinic,ipv4,197.188.0.0,16
afrinic,ipv4,197.233.0.0,16
afrinic,ipv4,197.234.64.0,18
afrinic,ipv4,197.243.128.0,17
afrinic,ipv6,2c0f:ef08::,32
afrinic,ipv6,2c0f:f778::,32
afrinic,ipv6,2c0f:f980::,32
