region,version,ip,prefixlength
apnic,ipv4,27.122.0.0,22
apnic,ipv4,43.224.192.0,22
apnic,ipv4,43.245.212.0,22
apnic,ipv4,43.255.236.0,22
apnic,ipv4,45.114.232.0,23
apnic,ipv4,61.5.208.0,20
apnic,ipv4,101.101.0.0,18
apnic,ipv4,103.2.184.0,22
apnic,ipv4,103.17.44.0,22
apnic,ipv4,103.23.52.0,22
apnic,ipv4,103.24.112.0,22
apnic,ipv4,103.29.152.0,22
apnic,ipv4,103.43.156.0,22
apnic,ipv4,103.123.232.0,23
apnic,ipv4,103.152.32.0,24
apnic,ipv4,103.173.58.0,23
apnic,ipv4,113.20.32.0,20
apnic,ipv4,113.20.48.0,20
apnic,ipv4,113.21.96.0,20
apnic,ipv4,113.21.112.0,20
apnic,ipv4,114.69.176.0,20
apnic,ipv4,114.69.192.0,20
apnic,ipv4,114.69.208.0,20
apnic,ipv4,115.126.160.0,20
apnic,ipv4,115.126.176.0,20
apnic,ipv4,118.179.224.0,19
apnic,ipv4,163.47.224.0,22
apnic,ipv4,163.47.248.0,22
apnic,ipv4,175.158.128.0,18
apnic,ipv4,180.214.96.0,19
apnic,ipv4,202.22.128.0,19
apnic,ipv4,202.22.224.0,20
apnic,ipv4,202.87.128.0,19
apnic,ipv4,202.166.176.0,21
apnic,ipv4,202.171.64.0,20
apnic,ipv4,203.80.48.0,21
apnic,ipv4,203.104.48.0,20
apnic,ipv4,203.147.64.0,20
apnic,ipv4,203.147.80.0,21
apnic,ipv4,220.156.160.0,20
apnic,ipv4,223.29.128.0,19
apnic,ipv4,223.29.160.0,20
apnic,ipv6,2401:c00::,32
apnic,ipv6,2403:200::,32
apnic,ipv6,2401:af00::,32
apnic,ipv6,2404:2200::,32
apnic,ipv6,2404:2a00::,32
apnic,ipv6,2404:e400::,32
apnic,ipv6,2404:e9c0::,32
apnic,ipv6,2407:1240::,32
apnic,ipv6,2407:4a00::,32
apnic,ipv6,2407:e2c0::,32
