region,version,ip,prefixlength,org
afrinic,ipv4,41.57.120.0,22,n/a
afrinic,ipv4,41.58.0.0,16,n/a
afrinic,ipv4,41.67.128.0,18,n/a
afrinic,ipv4,41.71.128.0,17,n/a
afrinic,ipv4,41.73.0.0,20,n/a
afrinic,ipv4,41.73.128.0,19,n/a
afrinic,ipv4,41.73.224.0,19,n/a
afrinic,ipv4,41.75.80.0,20,n/a
afrinic,ipv4,41.75.192.0,20,n/a
afrinic,ipv4,41.76.72.0,21,n/a
afrinic,ipv4,41.76.80.0,21,n/a
afrinic,ipv4,41.76.152.0,21,n/a
afrinic,ipv4,41.76.192.0,21,n/a
afrinic,ipv4,41.76.248.0,21,n/a
afrinic,ipv4,41.77.40.0,21,n/a
afrinic,ipv4,41.77.168.0,21,n/a
afrinic,ipv4,41.78.8.0,22,n/a
afrinic,ipv4,41.78.80.0,22,n/a
afrinic,ipv4,41.78.88.0,22,n/a
afrinic,ipv4,41.78.100.0,22,n/a
afrinic,ipv4,41.78.156.0,22,n/a
afrinic,ipv4,41.78.172.0,22,n/a
afrinic,ipv4,41.78.208.0,22,n/a
afrinic,ipv4,41.78.224.0,22,n/a
afrinic,ipv4,41.78.252.0,22,n/a
afrinic,ipv4,41.79.4.0,22,n/a
afrinic,ipv4,41.79.64.0,22,n/a
afrinic,ipv4,41.79.116.0,22,n/a
afrinic,ipv4,41.79.152.0,22,n/a
afrinic,ipv4,41.79.176.0,22,n/a
afrinic,ipv4,41.79.204.0,22,n/a
afrinic,ipv4,41.86.128.0,19,n/a
afrinic,ipv4,41.87.64.0,19,n/a
afrinic,ipv4,41.138.160.0,19,n/a
afrinic,ipv4,41.184.0.0,16,n/a
afrinic,ipv4,41.189.0.0,19,n/a
afrinic,ipv4,41.190.0.0,19,n/a
afrinic,ipv4,41.203.64.0,19,n/a
afrinic,ipv4,41.203.96.0,19,n/a
afrinic,ipv4,41.204.224.0,19,n/a
afrinic,ipv4,41.206.0.0,19,n/a
afrinic,ipv4,41.207.248.0,22,n/a
afrinic,ipv4,41.215.244.0,22,n/a
afrinic,ipv4,41.216.160.0,20,n/a
afrinic,ipv4,41.217.0.0,17,n/a
afrinic,ipv4,41.217.204.0,22,n/a
afrinic,ipv4,41.219.128.0,18,n/a
afrinic,ipv4,41.220.64.0,20,n/a
afrinic,ipv4,41.220.80.0,20,n/a
afrinic,ipv4,41.221.160.0,20,n/a
afrinic,ipv4,41.222.40.0,21,n/a
afrinic,ipv4,41.222.64.0,21,n/a
afrinic,ipv4,41.222.76.0,22,n/a
afrinic,ipv4,41.222.144.0,21,n/a
afrinic,ipv4,41.222.208.0,22,n/a
afrinic,ipv4,41.223.44.0,22,n/a
afrinic,ipv4,41.223.64.0,22,n/a
afrinic,ipv4,41.223.128.0,22,n/a
afrinic,ipv4,41.223.136.0,22,n/a
afrinic,ipv4,41.223.144.0,22,n/a
afrinic,ipv4,41.242.48.0,20,n/a
afrinic,ipv4,41.242.64.0,20,n/a
afrinic,ipv4,45.222.96.0,21,n/a
afrinic,ipv4,62.173.32.0,19,n/a
afrinic,ipv4,80.248.0.0,20,n/a
afrinic,ipv4,82.101.128.0,18,n/a
afrinic,ipv4,102.22.96.0,22,n/a
afrinic,ipv4,102.22.216.0,21,n/a
afrinic,ipv4,102.23.96.0,22,n/a
afrinic,ipv4,102.23.128.0,22,n/a
afrinic,ipv4,102.23.164.0,22,n/a
afrinic,ipv4,102.36.132.0,22,n/a
afrinic,ipv4,102.36.148.0,22,n/a
afrinic,ipv4,102.36.160.0,22,n/a
afrinic,ipv4,102.36.176.0,22,n/a
afrinic,ipv4,102.36.228.0,22,n/a
afrinic,ipv4,102.38.56.0,22,n/a
afrinic,ipv4,102.38.192.0,18,n/a
afrinic,ipv4,102.67.0.0,19,n/a
afrinic,ipv4,102.67.168.0,22,n/a
afrinic,ipv4,102.68.108.0,22,n/a
afrinic,ipv4,102.68.168.0,22,n/a
afrinic,ipv4,102.69.144.0,22,n/a
afrinic,ipv4,102.69.240.0,22,n/a
afrinic,ipv4,102.88.0.0,13,n/a
afrinic,ipv4,102.129.36.0,22,n/a
afrinic,ipv4,102.130.0.0,21,n/a
afrinic,ipv4,102.130.52.0,22,n/a
afrinic,ipv4,102.131.36.0,22,n/a
afrinic,ipv4,102.134.16.0,21,n/a
afrinic,ipv4,102.134.112.0,22,n/a
afrinic,ipv4,102.135.192.0,19,n/a
afrinic,ipv4,102.140.96.0,21,n/a
afrinic,ipv4,102.141.212.0,22,n/a
afrinic,ipv4,102.164.32.0,21,n/a
afrinic,ipv4,102.164.44.0,22,n/a
afrinic,ipv4,102.165.124.0,22,n/a
afrinic,ipv4,102.165.184.0,22,n/a
afrinic,ipv4,102.176.240.0,22,n/a
afrinic,ipv4,102.176.244.0,22,n/a
afrinic,ipv4,102.212.232.0,22,n/a
afrinic,ipv4,102.212.240.0,22,n/a
afrinic,ipv4,102.213.18.0,23,n/a
afrinic,ipv4,102.213.84.0,22,n/a
afrinic,ipv4,102.213.88.0,22,n/a
afrinic,ipv4,102.213.243.0,24,n/a
afrinic,ipv4,102.214.14.0,24,n/a
afrinic,ipv4,102.214.15.0,24,n/a
afrinic,ipv4,102.214.56.0,22,n/a
afrinic,ipv4,102.214.60.0,22,n/a
afrinic,ipv4,102.214.91.0,24,n/a
afrinic,ipv4,102.214.124.0,23,n/a
afrinic,ipv4,102.214.240.0,22,n/a
afrinic,ipv4,102.214.248.0,22,n/a
afrinic,ipv4,102.215.56.0,22,n/a
afrinic,ipv4,102.215.176.0,22,n/a
afrinic,ipv4,102.215.204.0,22,n/a
afrinic,ipv4,102.216.8.0,22,n/a
afrinic,ipv4,102.216.32.0,22,n/a
afrinic,ipv4,102.216.96.0,22,n/a
afrinic,ipv4,102.216.134.0,23,n/a
afrinic,ipv4,102.216.152.0,23,n/a
afrinic,ipv4,102.216.180.0,22,n/a
afrinic,ipv4,102.216.192.0,22,n/a
afrinic,ipv4,102.216.200.0,22,n/a
afrinic,ipv4,102.216.236.0,23,n/a
afrinic,ipv4,102.217.0.0,22,n/a
afrinic,ipv4,102.217.8.0,22,n/a
afrinic,ipv4,102.217.180.0,22,n/a
afrinic,ipv4,102.217.204.0,22,n/a
afrinic,ipv4,102.217.208.0,24,n/a
afrinic,ipv4,102.217.212.0,22,n/a
afrinic,ipv4,102.217.236.0,22,n/a
afrinic,ipv4,102.218.76.0,22,n/a
afrinic,ipv4,102.218.80.0,22,n/a
afrinic,ipv4,102.218.100.0,22,n/a
afrinic,ipv4,102.218.116.0,22,n/a
afrinic,ipv4,102.218.200.0,22,n/a
afrinic,ipv4,102.219.4.0,22,n/a
afrinic,ipv4,102.219.52.0,22,n/a
afrinic,ipv4,102.219.152.0,22,n/a
afrinic,ipv4,102.219.188.0,23,n/a
afrinic,ipv4,102.219.212.0,22,n/a
afrinic,ipv4,102.219.220.0,22,n/a
afrinic,ipv4,102.220.44.0,22,n/a
afrinic,ipv4,102.220.96.0,22,n/a
afrinic,ipv4,102.220.160.0,22,n/a
afrinic,ipv4,102.220.172.0,22,n/a
afrinic,ipv4,102.220.188.0,22,n/a
afrinic,ipv4,102.220.204.0,22,n/a
afrinic,ipv4,102.220.212.0,22,n/a
afrinic,ipv4,102.221.16.0,22,n/a
afrinic,ipv4,102.221.44.0,22,n/a
afrinic,ipv4,102.221.75.0,24,n/a
afrinic,ipv4,102.221.84.0,22,n/a
afrinic,ipv4,102.221.88.0,22,n/a
afrinic,ipv4,102.221.136.0,22,n/a
afrinic,ipv4,102.221.148.0,22,n/a
afrinic,ipv4,102.221.164.0,22,n/a
afrinic,ipv4,102.221.184.0,22,n/a
afrinic,ipv4,102.221.236.0,22,n/a
afrinic,ipv4,102.222.96.0,22,n/a
afrinic,ipv4,102.222.116.0,22,n/a
afrinic,ipv4,102.223.1.0,24,n/a
afrinic,ipv4,102.223.36.0,22,n/a
afrinic,ipv4,102.223.52.0,22,n/a
afrinic,ipv4,102.223.180.0,23,n/a
afrinic,ipv4,105.112.0.0,12,n/a
afrinic,ipv4,105.235.192.0,20,n/a
afrinic,ipv4,129.18.0.0,16,n/a
afrinic,ipv4,129.56.0.0,16,n/a
afrinic,ipv4,129.205.96.0,19,n/a
afrinic,ipv4,154.65.4.0,22,n/a
afrinic,ipv4,154.66.0.0,18,n/a
afrinic,ipv4,154.68.192.0,18,n/a
afrinic,ipv4,154.72.32.0,21,n/a
afrinic,ipv4,154.73.8.0,22,n/a
afrinic,ipv4,154.113.0.0,16,n/a
afrinic,ipv4,154.117.64.0,18,n/a
afrinic,ipv4,154.118.0.0,17,n/a
afrinic,ipv4,154.120.64.0,18,n/a
afrinic,ipv4,155.93.0.0,17,n/a
afrinic,ipv4,156.0.248.0,22,n/a
afrinic,ipv4,160.119.124.0,22,n/a
afrinic,ipv4,160.119.196.0,22,n/a
afrinic,ipv4,160.152.0.0,16,n/a
afrinic,ipv4,160.226.0.0,17,n/a
afrinic,ipv4,165.90.240.0,20,n/a
afrinic,ipv4,168.253.112.0,21,n/a
afrinic,ipv4,168.253.208.0,21,n/a
afrinic,ipv4,169.159.64.0,18,n/a
