region,ip,prefixlength,org
afrinic,2c0f:180::,32,n/a
afrinic,2c0f:480::,32,n/a
afrinic,2001:4270::,32,n/a
afrinic,2001:43b0::,32,n/a
afrinic,2c0f:1080::,32,n/a
afrinic,2c0f:1f00::,32,n/a
afrinic,2c0f:1f80::,32,n/a
afrinic,2c0f:2000::,32,n/a
afrinic,2c0f:2280::,32,n/a
afrinic,2c0f:2300::,32,n/a
afrinic,2c0f:2980::,32,n/a
afrinic,2c0f:2a80::,32,n/a
afrinic,2c0f:3b80::,32,n/a
afrinic,2c0f:3d80::,32,n/a
afrinic,2c0f:3e80::,32,n/a
afrinic,2c0f:4180::,32,n/a
afrinic,2c0f:4380::,32,n/a
afrinic,2c0f:4800::,32,n/a
afrinic,2c0f:5380::,32,n/a
afrinic,2c0f:5480::,32,n/a
afrinic,2c0f:6200::,32,n/a
afrinic,2c0f:6400::,32,n/a
afrinic,2c0f:6d00::,32,n/a
afrinic,2c0f:6e00::,32,n/a
afrinic,2c0f:6e80::,28,n/a
afrinic,2c0f:6f80::,32,n/a
afrinic,2c0f:7000::,32,n/a
afrinic,2c0f:7c80::,32,n/a
afrinic,2c0f:7f00::,32,n/a
afrinic,2c0f:e830::,32,n/a
afrinic,2c0f:e878::,32,n/a
afrinic,2c0f:e888::,32,n/a
afrinic,2c0f:e8b8::,32,n/a
afrinic,2c0f:e8f0::,32,n/a
afrinic,2c0f:e920::,32,n/a
afrinic,2c0f:e980::,32,n/a
afrinic,2c0f:ea38::,32,n/a
afrinic,2c0f:ea40::,32,n/a
afrinic,2c0f:ea98::,32,n/a
afrinic,2c0f:eaa8::,32,n/a
afrinic,2c0f:eab8::,32,n/a
afrinic,2c0f:eac0::,32,n/a
afrinic,2c0f:eae0::,32,n/a
afrinic,2c0f:eb50::,32,n/a
afrinic,2c0f:ebb8::,32,n/a
afrinic,2c0f:ec10::,32,n/a
afrinic,2c0f:ec38::,32,n/a
afrinic,2c0f:ed20::,32,n/a
afrinic,2c0f:eec0::,32,n/a
afrinic,2c0f:eee8::,32,n/a
afrinic,2c0f:ef68::,32,n/a
afrinic,2c0f:ef90::,32,n/a
afrinic,2c0f:eff8::,32,n/a
afrinic,2c0f:f098::,32,n/a
afrinic,2c0f:f128::,32,n/a
afrinic,2c0f:f270::,32,n/a
afrinic,2c0f:f388::,32,n/a
afrinic,2c0f:f3a8::,32,n/a
afrinic,2c0f:f418::,32,n/a
afrinic,2c0f:f5a0::,32,n/a
afrinic,2c0f:f5c0::,32,n/a
afrinic,2c0f:f638::,32,n/a
afrinic,2c0f:f880::,32,n/a
afrinic,2c0f:f9e0::,32,n/a
afrinic,2c0f:fb98::,32,n/a
afrinic,2c0f:fba8::,32,n/a
afrinic,2c0f:fc60::,31,n/a
afrinic,2c0f:fc90::,32,n/a
afrinic,2c0f:fc98::,32,n/a
afrinic,2c0f:fd28::,32,n/a
afrinic,2c0f:fd38::,32,n/a
afrinic,2c0f:fea0::,32,n/a
afrinic,2c0f:fea8::,32,n/a
afrinic,2c0f:ff20::,32,n/a
afrinic,2c0f:ff88::,32,n/a
afrinic,2c0f:ffb0::,32,n/a
afrinic,2c0f:ffe8::,32,n/a
afrinic,2c0f:fff0::,32,n/a
ripencc,2a06:b940::,29,ng.cobranet;Cobranet Limited
