region,version,ip,prefixlength,org
lacnic,ipv4,45.5.216.0,22,n/a
lacnic,ipv4,45.170.224.0,22,n/a
lacnic,ipv4,45.182.188.0,24,n/a
lacnic,ipv4,45.238.28.0,22,n/a
lacnic,ipv4,131.255.16.0,24,n/a
lacnic,ipv4,138.97.160.0,22,n/a
lacnic,ipv4,138.117.4.0,22,n/a
lacnic,ipv4,138.185.28.0,22,n/a
lacnic,ipv4,138.185.104.0,22,n/a
lacnic,ipv4,143.137.24.0,22,n/a
lacnic,ipv4,143.202.252.0,22,n/a
lacnic,ipv4,152.231.32.0,20,n/a
lacnic,ipv4,161.0.32.0,19,n/a
lacnic,ipv4,170.80.16.0,22,n/a
lacnic,ipv4,170.84.132.0,22,n/a
lacnic,ipv4,170.246.152.0,22,n/a
lacnic,ipv4,186.1.0.0,18,n/a
lacnic,ipv4,186.76.0.0,15,n/a
lacnic,ipv4,190.106.0.0,19,n/a
lacnic,ipv4,190.106.48.0,20,n/a
lacnic,ipv4,190.107.208.0,22,n/a
lacnic,ipv4,190.124.32.0,21,n/a
lacnic,ipv4,190.143.240.0,20,n/a
lacnic,ipv4,190.181.128.0,18,n/a
lacnic,ipv4,190.184.0.0,18,n/a
lacnic,ipv4,190.184.64.0,18,n/a
lacnic,ipv4,190.212.0.0,18,n/a
lacnic,ipv4,190.212.64.0,18,n/a
lacnic,ipv4,190.212.128.0,17,n/a
lacnic,ipv4,191.98.224.0,21,n/a
lacnic,ipv4,191.98.232.0,22,n/a
lacnic,ipv4,191.98.236.0,23,n/a
lacnic,ipv4,191.98.238.0,24,n/a
lacnic,ipv4,191.98.240.0,20,n/a
lacnic,ipv4,191.102.48.0,21,n/a
lacnic,ipv4,191.103.112.0,20,n/a
lacnic,ipv4,200.62.64.0,19,n/a
lacnic,ipv4,200.62.96.0,19,n/a
lacnic,ipv4,200.85.160.0,20,n/a
lacnic,ipv6,2800:8c0::,32,n/a
lacnic,ipv6,2803:180::,32,n/a
lacnic,ipv6,2803:800::,32,n/a
lacnic,ipv6,2803:a40::,32,n/a
lacnic,ipv6,2803:1040::,32,n/a
lacnic,ipv6,2803:14a0::,32,n/a
lacnic,ipv6,2803:1640::,32,n/a
lacnic,ipv6,2803:1c40::,32,n/a
lacnic,ipv6,2803:1e00::,32,n/a
lacnic,ipv6,2803:2410::,32,n/a
lacnic,ipv6,2803:2d60::,32,n/a
lacnic,ipv6,2803:6a80::,32,n/a
lacnic,ipv6,2803:8610::,32,n/a
lacnic,ipv6,2803:8880::,32,n/a
lacnic,ipv6,2803:9140::,32,n/a
lacnic,ipv6,2803:9840::,32,n/a
lacnic,ipv6,2803:b780::,32,n/a
lacnic,ipv6,2803:dfa0::,32,n/a
lacnic,ipv6,2803:ed60::,32,n/a
