region,version,ip,prefixlength
lacnic,ipv4,45.182.142.0,24
lacnic,ipv4,165.98.0.0,16
lacnic,ipv4,192.107.104.0,24
lacnic,ipv4,192.136.42.0,23
lacnic,ipv4,192.136.44.0,22
lacnic,ipv4,200.1.152.0,24
lacnic,ipv4,200.6.55.0,24
lacnic,ipv4,200.9.187.0,24
lacnic,ipv4,200.9.188.0,22
lacnic,ipv4,200.9.192.0,24
lacnic,ipv4,200.10.205.0,24
lacnic,ipv4,200.11.30.0,24
lacnic,ipv4,200.106.247.0,24
lacnic,ipv4,201.131.66.0,24
lacnic,ipv4,201.131.115.0,24
lacnic,ipv4,207.248.86.0,24
lacnic,ipv6,2800:10::,32
lacnic,ipv6,2801:14:5000::,48
lacnic,ipv6,2801:15:8800::,48
lacnic,ipv6,2801:1b:e000::,48
lacnic,ipv6,2801:1d:6000::,48
