region,version,ip,prefixlength
apnic,ipv4,182.50.176.0,21
apnic,ipv4,182.50.184.0,21
apnic,ipv6,2402:d00::,32
apnic,ipv6,2406:4a80::,32
arin,ipv4,153.44.0.0,16
arin,ipv4,204.79.159.0,24
arin,ipv4,204.79.192.0,23
arin,ipv4,204.79.219.0,24
arin,ipv4,204.79.232.0,23
arin,ipv4,204.79.234.0,24
ripencc,ipv4,2.58.24.0,22
ripencc,ipv4,2.148.0.0,14
ripencc,ipv4,5.44.64.0,21
ripencc,ipv4,5.45.152.0,21
ripencc,ipv4,5.83.224.0,21
ripencc,ipv4,5.100.176.0,20
ripencc,ipv4,5.145.152.0,21
ripencc,ipv4,5.152.136.0,21
ripencc,ipv4,5.153.104.0,21
ripencc,ipv4,5.158.192.0,21
ripencc,ipv4,5.172.182.0,24
ripencc,ipv4,5.226.160.0,21
ripencc,ipv4,5.249.224.0,19
ripencc,ipv4,5.252.244.0,22
ripencc,ipv4,31.25.216.0,21
ripencc,ipv4,31.45.0.0,17
ripencc,ipv4,31.169.48.0,21
ripencc,ipv4,31.185.24.0,21
ripencc,ipv4,31.186.88.0,21
ripencc,ipv4,31.204.72.0,21
ripencc,ipv4,31.211.168.0,21
ripencc,ipv4,37.18.48.0,21
ripencc,ipv4,37.18.64.0,21
ripencc,ipv4,37.26.208.0,20
ripencc,ipv4,37.28.128.0,21
ripencc,ipv4,37.32.48.0,21
ripencc,ipv4,37.44.128.0,18
ripencc,ipv4,37.143.48.0,22
ripencc,ipv4,37.148.144.0,21
ripencc,ipv4,37.191.128.0,17
ripencc,ipv4,37.200.0.0,18
ripencc,ipv4,37.202.24.0,21
ripencc,ipv4,37.202.56.0,21
ripencc,ipv4,37.228.104.0,21
ripencc,ipv4,37.252.112.0,21
ripencc,ipv4,37.252.208.0,21
ripencc,ipv4,37.253.0.0,16
ripencc,ipv4,45.8.8.0,22
ripencc,ipv4,45.13.124.0,22
ripencc,ipv4,45.14.52.0,22
ripencc,ipv4,45.15.108.0,22
ripencc,ipv4,45.67.8.0,22
ripencc,ipv4,45.67.160.0,22
ripencc,ipv4,45.80.144.0,22
ripencc,ipv4,45.86.236.0,22
ripencc,ipv4,45.88.116.0,22
ripencc,ipv4,45.88.200.0,22
ripencc,ipv4,45.89.192.0,22
ripencc,ipv4,45.90.36.0,22
ripencc,ipv4,45.93.140.0,22
ripencc,ipv4,45.134.208.0,22
ripencc,ipv4,45.135.156.0,22
ripencc,ipv4,45.136.80.0,22
ripencc,ipv4,45.138.236.0,22
ripencc,ipv4,45.140.0.0,22
ripencc,ipv4,45.144.76.0,22
ripencc,ipv4,45.152.48.0,22
ripencc,ipv4,45.153.104.0,22
ripencc,ipv4,45.154.52.0,22
ripencc,ipv4,45.154.232.0,22
ripencc,ipv4,45.158.92.0,22
ripencc,ipv4,46.9.0.0,16
ripencc,ipv4,46.15.0.0,16
ripencc,ipv4,46.16.48.0,21
ripencc,ipv4,46.17.16.0,21
ripencc,ipv4,46.19.16.0,21
ripencc,ipv4,46.29.216.0,21
ripencc,ipv4,46.31.184.0,21
ripencc,ipv4,46.46.192.0,18
ripencc,ipv4,46.66.0.0,15
ripencc,ipv4,46.156.0.0,15
ripencc,ipv4,46.183.168.0,21
ripencc,ipv4,46.212.0.0,16
ripencc,ipv4,46.226.24.0,21
ripencc,ipv4,46.227.192.0,21
ripencc,ipv4,46.228.48.0,20
ripencc,ipv4,46.230.128.0,19
ripencc,ipv4,46.230.160.0,21
ripencc,ipv4,46.249.224.0,19
ripencc,ipv4,46.250.192.0,19
ripencc,ipv4,46.255.16.0,21
ripencc,ipv4,62.16.128.0,17
ripencc,ipv4,62.24.32.0,19
ripencc,ipv4,62.50.160.0,19
ripencc,ipv4,62.63.0.0,18
ripencc,ipv4,62.70.0.0,16
ripencc,ipv4,62.73.192.0,18
ripencc,ipv4,62.89.32.0,19
ripencc,ipv4,62.92.0.0,16
ripencc,ipv4,62.97.160.0,19
ripencc,ipv4,62.97.192.0,18
ripencc,ipv4,62.101.192.0,18
ripencc,ipv4,62.102.160.0,19
ripencc,ipv4,62.113.128.0,19
ripencc,ipv4,62.128.224.0,19
ripencc,ipv4,62.141.128.0,19
ripencc,ipv4,62.148.32.0,19
ripencc,ipv4,62.176.192.0,19
ripencc,ipv4,62.209.64.0,18
ripencc,ipv4,62.241.32.0,20
ripencc,ipv4,62.249.160.0,19
ripencc,ipv4,64.28.0.0,19
ripencc,ipv4,77.16.0.0,14
ripencc,ipv4,77.40.128.0,17
ripencc,ipv4,77.70.128.0,17
ripencc,ipv4,77.74.160.0,21
ripencc,ipv4,77.74.200.0,22
ripencc,ipv4,77.74.216.0,21
ripencc,ipv4,77.75.208.0,21
ripencc,ipv4,77.88.64.0,18
ripencc,ipv4,77.94.232.0,21
ripencc,ipv4,77.95.72.0,21
ripencc,ipv4,77.106.128.0,18
ripencc,ipv4,77.110.192.0,18
ripencc,ipv4,77.111.244.0,22
ripencc,ipv4,77.222.160.0,19
ripencc,ipv4,77.222.192.0,19
ripencc,ipv4,77.223.160.0,19
ripencc,ipv4,77.234.48.0,21
ripencc,ipv4,77.241.96.0,20
ripencc,ipv4,77.246.246.0,24
ripencc,ipv4,77.247.144.0,20
ripencc,ipv4,78.24.144.0,21
ripencc,ipv4,78.26.0.0,18
ripencc,ipv4,78.41.44.0,22
ripencc,ipv4,78.41.120.0,21
ripencc,ipv4,78.41.136.0,21
ripencc,ipv4,78.91.0.0,16
ripencc,ipv4,78.156.0.0,19
ripencc,ipv4,78.158.224.0,19
ripencc,ipv4,79.135.0.0,19
ripencc,ipv4,79.141.96.0,20
ripencc,ipv4,79.160.0.0,15
ripencc,ipv4,79.170.80.0,21
ripencc,ipv4,79.171.64.0,21
ripencc,ipv4,79.171.80.0,21
ripencc,ipv4,79.174.16.0,22
ripencc,ipv4,79.174.176.0,21
ripencc,ipv4,80.64.192.0,20
ripencc,ipv4,80.65.48.0,20
ripencc,ipv4,80.67.36.0,22
ripencc,ipv4,80.86.128.0,20
ripencc,ipv4,80.86.208.0,20
ripencc,ipv4,80.89.32.0,20
ripencc,ipv4,80.89.48.0,20
ripencc,ipv4,80.91.32.0,20
ripencc,ipv4,80.202.0.0,16
ripencc,ipv4,80.203.0.0,17
ripencc,ipv4,80.212.0.0,15
ripencc,ipv4,80.232.0.0,17
ripencc,ipv4,80.239.0.0,17
ripencc,ipv4,80.241.80.0,20
ripencc,ipv4,80.254.32.0,20
ripencc,ipv4,81.0.128.0,18
ripencc,ipv4,81.26.32.0,20
ripencc,ipv4,81.26.48.0,20
ripencc,ipv4,81.29.32.0,20
ripencc,ipv4,81.88.64.0,20
ripencc,ipv4,81.93.96.0,20
ripencc,ipv4,81.93.160.0,20
ripencc,ipv4,81.166.0.0,15
ripencc,ipv4,81.173.42.0,23
ripencc,ipv4,81.175.0.0,20
ripencc,ipv4,81.175.16.0,22
ripencc,ipv4,81.175.20.0,22
ripencc,ipv4,81.175.24.0,21
ripencc,ipv4,81.175.32.0,19
ripencc,ipv4,81.191.0.0,16
ripencc,ipv4,82.116.64.0,19
ripencc,ipv4,82.117.32.0,19
ripencc,ipv4,82.134.0.0,17
ripencc,ipv4,82.145.208.0,20
ripencc,ipv4,82.146.64.0,19
ripencc,ipv4,82.147.32.0,19
ripencc,ipv4,82.148.128.0,19
ripencc,ipv4,82.148.160.0,19
ripencc,ipv4,82.164.0.0,17
ripencc,ipv4,82.164.128.0,18
ripencc,ipv4,82.164.192.0,18
ripencc,ipv4,82.194.192.0,19
ripencc,ipv4,82.196.192.0,19
ripencc,ipv4,82.199.0.0,19
ripencc,ipv4,83.108.0.0,15
ripencc,ipv4,83.118.128.0,18
ripencc,ipv4,83.223.208.0,20
ripencc,ipv4,83.243.128.0,17
ripencc,ipv4,84.16.192.0,19
ripencc,ipv4,84.20.96.0,19
ripencc,ipv4,84.38.144.0,20
ripencc,ipv4,84.48.0.0,17
ripencc,ipv4,84.49.0.0,16
ripencc,ipv4,84.52.192.0,18
ripencc,ipv4,84.53.0.0,18
ripencc,ipv4,84.202.0.0,16
ripencc,ipv4,84.208.0.0,13
ripencc,ipv4,84.234.128.0,17
ripencc,ipv4,84.243.128.0,18
ripencc,ipv4,84.247.63.0,24
ripencc,ipv4,84.247.128.0,18
ripencc,ipv4,85.19.0.0,16
ripencc,ipv4,85.88.64.0,19
ripencc,ipv4,85.89.0.0,19
ripencc,ipv4,85.89.192.0,19
ripencc,ipv4,85.93.224.0,19
ripencc,ipv4,85.112.128.0,19
ripencc,ipv4,85.113.72.0,21
ripencc,ipv4,85.113.160.0,19
ripencc,ipv4,85.119.136.0,21
ripencc,ipv4,85.158.80.0,21
ripencc,ipv4,85.164.0.0,14
ripencc,ipv4,85.196.64.0,18
ripencc,ipv4,85.200.0.0,16
ripencc,ipv4,85.208.88.0,22
ripencc,ipv4,85.221.0.0,17
ripencc,ipv4,85.252.0.0,16
ripencc,ipv4,86.62.128.0,18
ripencc,ipv4,86.105.20.0,22
ripencc,ipv4,86.111.48.0,23
ripencc,ipv4,87.118.0.0,18
ripencc,ipv4,87.236.145.0,24
ripencc,ipv4,87.238.32.0,19
ripencc,ipv4,87.238.64.0,21
ripencc,ipv4,87.248.0.0,19
ripencc,ipv4,87.252.64.0,19
ripencc,ipv4,87.254.32.0,19
ripencc,ipv4,88.84.32.0,19
ripencc,ipv4,88.84.160.0,19
ripencc,ipv4,88.87.32.0,19
ripencc,ipv4,88.88.0.0,14
ripencc,ipv4,88.92.0.0,15
ripencc,ipv4,88.94.0.0,16
ripencc,ipv4,88.95.0.0,16
ripencc,ipv4,88.135.71.0,24
ripencc,ipv4,88.151.160.0,21
ripencc,ipv4,89.8.0.0,15
ripencc,ipv4,89.10.0.0,16
ripencc,ipv4,89.11.0.0,17
ripencc,ipv4,89.11.128.0,17
ripencc,ipv4,89.20.224.0,19
ripencc,ipv4,89.32.192.0,23
ripencc,ipv4,89.34.22.0,23
ripencc,ipv4,89.35.36.0,23
ripencc,ipv4,89.45.165.0,24
ripencc,ipv4,89.105.32.0,19
ripencc,ipv4,89.151.192.0,18
ripencc,ipv4,89.162.0.0,17
ripencc,ipv4,89.191.0.0,19
ripencc,ipv4,89.221.96.0,20
ripencc,ipv4,89.233.96.0,21
ripencc,ipv4,89.248.0.0,20
ripencc,ipv4,89.250.112.0,20
ripencc,ipv4,89.251.208.0,20
ripencc,ipv4,89.254.0.0,18
ripencc,ipv4,89.254.64.0,18
ripencc,ipv4,91.90.40.0,21
ripencc,ipv4,91.126.0.0,20
ripencc,ipv4,91.135.32.0,20
ripencc,ipv4,91.135.48.0,20
ripencc,ipv4,91.135.128.0,20
ripencc,ipv4,91.149.0.0,19
ripencc,ipv4,91.149.48.0,20
ripencc,ipv4,91.184.128.0,19
ripencc,ipv4,91.186.64.0,19
ripencc,ipv4,91.188.232.0,22
ripencc,ipv4,91.196.6.0,24
ripencc,ipv4,91.199.193.0,24
ripencc,ipv4,91.201.201.0,24
ripencc,ipv4,91.205.159.0,24
ripencc,ipv4,91.205.184.0,22
ripencc,ipv4,91.205.231.0,24
ripencc,ipv4,91.207.100.0,24
ripencc,ipv4,91.207.196.0,23
ripencc,ipv4,91.207.222.0,23
ripencc,ipv4,91.218.22.0,24
ripencc,ipv4,91.220.196.0,24
ripencc,ipv4,92.42.64.0,21
ripencc,ipv4,92.62.32.0,20
ripencc,ipv4,92.114.96.0,23
ripencc,ipv4,92.220.0.0,15
ripencc,ipv4,93.89.32.0,20
ripencc,ipv4,93.89.112.0,20
ripencc,ipv4,93.91.96.0,20
ripencc,ipv4,93.93.72.0,21
ripencc,ipv4,93.93.96.0,21
ripencc,ipv4,93.94.8.0,21
ripencc,ipv4,93.124.128.0,17
ripencc,ipv4,93.179.0.0,19
ripencc,ipv4,93.184.112.0,20
ripencc,ipv4,93.187.80.0,21
ripencc,ipv4,93.188.88.0,21
ripencc,ipv4,93.188.232.0,21
ripencc,ipv4,93.190.80.0,21
ripencc,ipv4,94.102.32.0,20
ripencc,ipv4,94.124.74.0,24
ripencc,ipv4,94.127.56.0,21
ripencc,ipv4,94.127.120.0,21
ripencc,ipv4,94.139.64.0,19
ripencc,ipv4,94.143.64.0,21
ripencc,ipv4,94.246.0.0,18
ripencc,ipv4,95.34.0.0,16
ripencc,ipv4,95.111.160.0,19
ripencc,ipv4,95.128.104.0,21
ripencc,ipv4,95.130.216.0,21
ripencc,ipv4,95.141.64.0,20
ripencc,ipv4,95.141.80.0,20
ripencc,ipv4,95.169.32.0,19
ripencc,ipv4,109.68.88.0,21
ripencc,ipv4,109.68.176.0,21
ripencc,ipv4,109.70.80.0,21
ripencc,ipv4,109.71.144.0,21
ripencc,ipv4,109.72.160.0,20
ripencc,ipv4,109.74.176.0,20
ripencc,ipv4,109.108.192.0,19
ripencc,ipv4,109.109.64.0,19
ripencc,ipv4,109.122.48.0,21
ripencc,ipv4,109.163.0.0,17
ripencc,ipv4,109.163.200.0,21
ripencc,ipv4,109.169.96.0,19
ripencc,ipv4,109.179.0.0,16
ripencc,ipv4,109.189.0.0,16
ripencc,ipv4,109.199.192.0,19
ripencc,ipv4,109.203.0.0,19
ripencc,ipv4,109.205.8.0,21
ripencc,ipv4,109.233.0.0,21
ripencc,ipv4,109.233.56.0,21
ripencc,ipv4,109.235.100.0,22
ripencc,ipv4,109.235.112.0,21
ripencc,ipv4,109.239.224.0,20
ripencc,ipv4,109.247.0.0,16
ripencc,ipv4,128.0.16.0,21
ripencc,ipv4,134.90.144.0,21
ripencc,ipv4,139.28.124.0,22
ripencc,ipv4,141.0.8.0,21
ripencc,ipv4,141.0.64.0,18
ripencc,ipv4,141.0.128.0,20
ripencc,ipv4,141.0.224.0,19
ripencc,ipv4,143.110.96.0,19
ripencc,ipv4,146.19.60.0,24
ripencc,ipv4,146.19.210.0,24
ripencc,ipv4,146.247.128.0,17
ripencc,ipv4,151.249.112.0,21
ripencc,ipv4,151.249.120.0,21
ripencc,ipv4,151.252.8.0,21
ripencc,ipv4,152.89.184.0,22
ripencc,ipv4,158.58.152.0,21
ripencc,ipv4,159.253.8.0,21
ripencc,ipv4,159.253.122.0,24
ripencc,ipv4,171.22.152.0,22
ripencc,ipv4,176.11.0.0,16
ripencc,ipv4,176.74.208.0,21
ripencc,ipv4,176.75.0.0,16
ripencc,ipv4,176.101.170.0,24
ripencc,ipv4,176.124.60.0,22
ripencc,ipv4,176.125.232.0,22
ripencc,ipv4,176.125.244.0,22
ripencc,ipv4,176.221.88.0,21
ripencc,ipv4,176.241.232.0,21
ripencc,ipv4,178.16.64.0,20
ripencc,ipv4,178.17.144.0,20
ripencc,ipv4,178.20.104.0,21
ripencc,ipv4,178.22.96.0,21
ripencc,ipv4,178.23.96.0,21
ripencc,ipv4,178.72.32.0,19
ripencc,ipv4,178.74.0.0,18
ripencc,ipv4,178.164.0.0,17
ripencc,ipv4,178.232.0.0,16
ripencc,ipv4,178.248.96.0,21
ripencc,ipv4,178.248.120.0,21
ripencc,ipv4,178.249.120.0,21
ripencc,ipv4,178.250.216.0,21
ripencc,ipv4,178.255.144.0,21
ripencc,ipv4,185.3.0.0,22
ripencc,ipv4,185.3.4.0,22
ripencc,ipv4,185.4.36.0,22
ripencc,ipv4,185.4.172.0,22
ripencc,ipv4,185.5.232.0,22
ripencc,ipv4,185.7.132.0,22
ripencc,ipv4,185.7.136.0,22
ripencc,ipv4,185.7.140.0,22
ripencc,ipv4,185.7.192.0,22
ripencc,ipv4,185.7.220.0,22
ripencc,ipv4,185.8.16.0,22
ripencc,ipv4,185.8.248.0,22
ripencc,ipv4,185.9.88.0,22
ripencc,ipv4,185.10.28.0,22
ripencc,ipv4,185.11.0.0,22
ripencc,ipv4,185.11.180.0,24
ripencc,ipv4,185.11.181.0,24
ripencc,ipv4,185.11.182.0,23
ripencc,ipv4,185.12.56.0,22
ripencc,ipv4,185.12.72.0,22
ripencc,ipv4,185.13.92.0,22
ripencc,ipv4,185.13.124.0,22
ripencc,ipv4,185.14.97.0,24
ripencc,ipv4,185.15.152.0,22
ripencc,ipv4,185.15.216.0,22
ripencc,ipv4,185.17.92.0,22
ripencc,ipv4,185.19.64.0,22
ripencc,ipv4,185.20.104.0,22
ripencc,ipv4,185.20.168.0,22
ripencc,ipv4,185.20.244.0,22
ripencc,ipv4,185.22.120.0,22
ripencc,ipv4,185.23.144.0,22
ripencc,ipv4,185.24.188.0,22
ripencc,ipv4,185.26.128.0,22
ripencc,ipv4,185.26.164.0,22
ripencc,ipv4,185.26.180.0,22
ripencc,ipv4,185.27.24.0,22
ripencc,ipv4,185.28.128.0,22
ripencc,ipv4,185.30.224.0,22
ripencc,ipv4,185.32.88.0,22
ripencc,ipv4,185.34.4.0,22
ripencc,ipv4,185.35.80.0,22
ripencc,ipv4,185.35.200.0,22
ripencc,ipv4,185.35.212.0,22
ripencc,ipv4,185.36.28.0,22
ripencc,ipv4,185.36.48.0,22
ripencc,ipv4,185.36.124.0,22
ripencc,ipv4,185.36.212.0,22
ripencc,ipv4,185.36.240.0,22
ripencc,ipv4,185.38.68.0,22
ripencc,ipv4,185.38.120.0,22
ripencc,ipv4,185.38.236.0,22
ripencc,ipv4,185.39.200.0,22
ripencc,ipv4,185.39.212.0,22
ripencc,ipv4,185.41.16.0,22
ripencc,ipv4,185.41.64.0,22
ripencc,ipv4,185.41.240.0,22
ripencc,ipv4,185.44.96.0,22
ripencc,ipv4,185.45.36.0,22
ripencc,ipv4,185.45.176.0,22
ripencc,ipv4,185.46.132.0,22
ripencc,ipv4,185.46.224.0,22
ripencc,ipv4,185.47.40.0,22
ripencc,ipv4,185.47.248.0,22
ripencc,ipv4,185.48.152.0,22
ripencc,ipv4,185.49.4.0,22
ripencc,ipv4,185.49.196.0,22
ripencc,ipv4,185.51.232.0,22
ripencc,ipv4,185.52.40.0,22
ripencc,ipv4,185.53.116.0,22
ripencc,ipv4,185.53.188.0,22
ripencc,ipv4,185.54.28.0,22
ripencc,ipv4,185.55.104.0,22
ripencc,ipv4,185.56.184.0,22
ripencc,ipv4,185.57.252.0,22
ripencc,ipv4,185.58.68.0,22
ripencc,ipv4,185.58.136.0,22
ripencc,ipv4,185.59.212.0,22
ripencc,ipv4,185.59.236.0,22
ripencc,ipv4,185.60.160.0,22
ripencc,ipv4,185.60.172.0,22
ripencc,ipv4,185.62.140.0,22
ripencc,ipv4,185.62.160.0,22
ripencc,ipv4,185.63.208.0,22
ripencc,ipv4,185.65.152.0,22
ripencc,ipv4,185.67.16.0,22
ripencc,ipv4,185.67.40.0,22
ripencc,ipv4,185.67.116.0,22
ripencc,ipv4,185.68.168.0,22
ripencc,ipv4,185.71.208.0,22
ripencc,ipv4,185.72.96.0,22
ripencc,ipv4,185.72.220.0,22
ripencc,ipv4,185.73.12.0,22
ripencc,ipv4,185.73.24.0,22
ripencc,ipv4,185.76.84.0,22
ripencc,ipv4,185.77.116.0,22
ripencc,ipv4,185.78.68.0,22
ripencc,ipv4,185.78.208.0,22
