region,ip,prefixlength,org
apnic,182.50.176.0,21,n/a
apnic,182.50.184.0,21,n/a
arin,153.44.0.0,16,n/a
arin,204.79.159.0,24,n/a
arin,204.79.192.0,23,n/a
arin,204.79.219.0,24,n/a
arin,204.79.232.0,23,n/a
arin,204.79.234.0,24,n/a
ripencc,2.58.24.0,22,n/a
ripencc,2.148.0.0,14,no.telenor;Telenor Norge AS
ripencc,5.44.64.0,21,no.tv2;TV 2 AS
ripencc,5.45.152.0,21,no.sktv;Sortland Elektro AS
ripencc,5.83.224.0,21,no.network;Net-Work AS
ripencc,5.100.176.0,20,no.noneas;NEAS AS
ripencc,5.145.152.0,21,no.increo;Increo AS
ripencc,5.152.136.0,21,no.byfiber;BYFIBER AS
ripencc,5.153.104.0,21,no.istadnett;ELINETT AS
ripencc,5.158.192.0,21,n/a
ripencc,5.172.182.0,24,no.byfiber;BYFIBER AS
ripencc,5.226.160.0,21,n/a
ripencc,5.249.224.0,19,no.inic;DIGITAL GARDEN AS
ripencc,5.252.244.0,22,n/a
ripencc,31.25.216.0,21,no.nhn;Norsk Helsenett SF
ripencc,31.45.0.0,17,no.telenor;Telenor Norge AS
ripencc,31.169.48.0,21,no.blixgroup;Blix Group AS
ripencc,31.185.24.0,21,n/a
ripencc,31.186.88.0,21,n/a
ripencc,31.204.72.0,21,no.telefiberas;Telefiber AS
ripencc,31.211.168.0,21,no.telenor;Telenor Norge AS
ripencc,37.18.48.0,21,n/a
ripencc,37.18.64.0,21,n/a
ripencc,37.26.208.0,20,n/a
ripencc,37.28.128.0,21,n/a
ripencc,37.32.48.0,21,no.enivest;Enivest AS
ripencc,37.44.128.0,18,no.stayon;NORDVEST FIBER AS
ripencc,37.143.48.0,22,no.hedmark-ikt;Hedmark IKT
ripencc,37.148.144.0,21,n/a
ripencc,37.191.128.0,17,n/a
ripencc,37.200.0.0,18,no.telenor;Telenor Norge AS
ripencc,37.202.24.0,21,n/a
ripencc,37.202.56.0,21,no.blixgroup;Blix Group AS
ripencc,37.228.104.0,21,n/a
ripencc,37.252.112.0,21,n/a
