region,version,ip,prefixlength
ripencc,ipv4,31.129.112.0,21
ripencc,ipv4,51.174.0.0,15
ripencc,ipv4,78.31.80.0,21
ripencc,ipv4,83.142.96.0,21
ripencc,ipv4,83.143.80.0,21
ripencc,ipv4,83.242.0.0,19
ripencc,ipv4,84.38.8.0,21
ripencc,ipv4,84.205.32.0,19
ripencc,ipv4,85.255.32.0,20
ripencc,ipv4,91.90.64.0,21
ripencc,ipv4,91.90.104.0,21
ripencc,ipv4,91.123.32.0,20
ripencc,ipv4,91.123.48.0,20
ripencc,ipv4,91.189.120.0,21
ripencc,ipv4,91.189.176.0,21
ripencc,ipv4,91.193.0.0,22
ripencc,ipv4,91.195.8.0,23
ripencc,ipv4,91.198.176.0,24
ripencc,ipv4,91.198.201.0,24
ripencc,ipv4,91.199.63.0,24
ripencc,ipv4,91.199.195.0,24
ripencc,ipv4,91.202.80.0,22
ripencc,ipv4,91.203.96.0,22
ripencc,ipv4,91.203.116.0,22
ripencc,ipv4,91.206.34.0,23
ripencc,ipv4,91.207.158.0,23
ripencc,ipv4,91.207.226.0,23
ripencc,ipv4,91.208.8.0,24
ripencc,ipv4,91.208.24.0,24
ripencc,ipv4,91.208.54.0,24
ripencc,ipv4,91.208.148.0,24
ripencc,ipv4,91.209.30.0,24
ripencc,ipv4,91.209.88.0,24
ripencc,ipv4,91.209.212.0,24
ripencc,ipv4,91.212.92.0,24
ripencc,ipv4,91.213.47.0,24
ripencc,ipv4,91.213.66.0,24
ripencc,ipv4,91.213.127.0,24
ripencc,ipv4,91.213.203.0,24
ripencc,ipv4,91.213.224.0,24
ripencc,ipv4,91.218.184.0,22
ripencc,ipv4,91.220.143.0,24
ripencc,ipv4,91.220.165.0,24
ripencc,ipv4,91.220.217.0,24
ripencc,ipv4,91.221.130.0,23
ripencc,ipv4,91.223.36.0,24
ripencc,ipv4,91.223.100.0,24
ripencc,ipv4,91.223.192.0,24
ripencc,ipv4,91.223.213.0,24
ripencc,ipv4,91.225.60.0,22
ripencc,ipv4,91.227.248.0,22
ripencc,ipv4,91.228.214.0,24
ripencc,ipv4,91.229.21.0,24
ripencc,ipv4,91.229.142.0,23
ripencc,ipv4,91.232.32.0,23
ripencc,ipv4,91.232.83.0,24
ripencc,ipv4,91.233.14.0,24
ripencc,ipv4,91.235.60.0,22
ripencc,ipv4,91.237.34.0,23
ripencc,ipv4,91.239.25.0,24
ripencc,ipv4,91.239.252.0,23
ripencc,ipv4,91.240.195.0,24
ripencc,ipv4,91.240.204.0,22
ripencc,ipv4,91.242.200.0,21
ripencc,ipv4,91.243.69.0,24
ripencc,ipv4,91.247.74.0,24
ripencc,ipv4,91.247.228.0,22
ripencc,ipv4,128.39.0.0,16
ripencc,ipv4,129.177.0.0,16
ripencc,ipv4,129.240.0.0,16
ripencc,ipv4,129.241.0.0,16
ripencc,ipv4,129.242.0.0,16
ripencc,ipv4,130.67.0.0,16
ripencc,ipv4,132.150.0.0,16
ripencc,ipv4,134.47.0.0,16
ripencc,ipv4,136.164.0.0,16
ripencc,ipv4,137.47.0.0,16
ripencc,ipv4,137.93.0.0,16
ripencc,ipv4,137.133.0.0,16
ripencc,ipv4,137.217.0.0,16
ripencc,ipv4,137.221.24.0,21
ripencc,ipv4,138.32.24.0,22
ripencc,ipv4,138.32.168.0,22
ripencc,ipv4,138.62.0.0,16
ripencc,ipv4,139.98.0.0,16
ripencc,ipv4,139.105.0.0,12
ripencc,ipv4,139.145.0.0,16
ripencc,ipv4,139.164.0.0,16
ripencc,ipv4,141.195.8.0,21
ripencc,ipv4,141.195.16.0,20
ripencc,ipv4,141.195.32.0,19
ripencc,ipv4,143.97.0.0,16
ripencc,ipv4,144.84.0.0,16
ripencc,ipv4,144.127.0.0,16
ripencc,ipv4,144.164.0.0,16
ripencc,ipv4,144.176.0.0,16
ripencc,ipv4,144.177.0.0,16
ripencc,ipv4,144.179.0.0,16
ripencc,ipv4,144.180.0.0,16
ripencc,ipv4,144.181.0.0,16
ripencc,ipv4,144.193.0.0,16
ripencc,ipv4,146.2.0.0,16
ripencc,ipv4,146.72.0.0,16
ripencc,ipv4,146.172.0.0,16
ripencc,ipv4,146.192.0.0,17
ripencc,ipv4,146.192.128.0,17
ripencc,ipv4,146.213.0.0,16
ripencc,ipv4,146.224.0.0,16
ripencc,ipv4,147.12.32.0,19
ripencc,ipv4,147.111.0.0,16
ripencc,ipv4,147.112.0.0,16
ripencc,ipv4,147.161.16.0,22
ripencc,ipv4,148.82.0.0,16
ripencc,ipv4,148.83.0.0,16
ripencc,ipv4,148.118.0.0,16
ripencc,ipv4,148.119.0.0,16
ripencc,ipv4,148.120.0.0,16
ripencc,ipv4,148.121.0.0,16
ripencc,ipv4,148.122.0.0,16
ripencc,ipv4,148.123.0.0,16
ripencc,ipv4,148.140.0.0,16
ripencc,ipv4,148.252.64.0,18
ripencc,ipv4,149.209.0.0,16
ripencc,ipv4,150.106.0.0,16
ripencc,ipv4,151.157.0.0,16
ripencc,ipv4,151.187.0.0,16
ripencc,ipv4,152.65.0.0,17
ripencc,ipv4,152.90.0.0,16
ripencc,ipv4,152.93.0.0,16
ripencc,ipv4,152.94.0.0,16
ripencc,ipv4,153.15.0.0,16
ripencc,ipv4,153.110.0.0,16
ripencc,ipv4,155.4.0.0,16
ripencc,ipv4,155.55.0.0,16
ripencc,ipv4,155.209.0.0,16
ripencc,ipv4,155.227.0.0,16
ripencc,ipv4,156.52.0.0,16
ripencc,ipv4,156.116.0.0,16
ripencc,ipv4,157.97.152.0,21
ripencc,ipv4,157.237.0.0,16
ripencc,ipv4,157.249.0.0,16
ripencc,ipv4,158.36.0.0,16
ripencc,ipv4,158.37.0.0,16
ripencc,ipv4,158.38.0.0,16
ripencc,ipv4,158.39.0.0,16
ripencc,ipv4,158.112.0.0,16
ripencc,ipv4,158.149.0.0,16
ripencc,ipv4,158.150.0.0,16
ripencc,ipv4,158.248.0.0,16
ripencc,ipv4,159.58.0.0,16
ripencc,ipv4,159.81.0.0,16
ripencc,ipv4,159.130.0.0,16
ripencc,ipv4,159.162.0.0,16
ripencc,ipv4,159.171.0.0,16
ripencc,ipv4,159.216.0.0,16
ripencc,ipv4,160.67.0.0,15
ripencc,ipv4,161.4.0.0,16
ripencc,ipv4,163.34.0.0,16
ripencc,ipv4,163.174.0.0,16
ripencc,ipv4,171.23.0.0,16
ripencc,ipv4,171.25.160.0,22
ripencc,ipv4,176.103.222.0,23
ripencc,ipv4,176.110.116.0,23
ripencc,ipv4,176.111.192.0,20
ripencc,ipv4,176.111.206.0,23
ripencc,ipv4,176.121.88.0,21
ripencc,ipv4,185.1.12.0,24
ripencc,ipv4,185.1.55.0,24
ripencc,ipv4,185.1.65.0,24
ripencc,ipv4,185.1.174.0,24
ripencc,ipv4,185.1.212.0,24
ripencc,ipv4,185.1.228.0,24
ripencc,ipv4,192.51.0.0,20
ripencc,ipv4,192.68.76.0,19
ripencc,ipv4,192.81.109.0,24
ripencc,ipv4,192.84.32.0,24
ripencc,ipv4,192.84.33.0,24
ripencc,ipv4,192.91.189.0,24
ripencc,ipv4,192.92.216.0,24
ripencc,ipv4,192.100.63.0,24
ripencc,ipv4,192.104.57.0,24
ripencc,ipv4,192.104.58.0,24
ripencc,ipv4,192.107.114.0,24
ripencc,ipv4,192.108.100.0,24
ripencc,ipv4,192.108.101.0,24
ripencc,ipv4,192.111.33.0,24
ripencc,ipv4,192.111.124.0,23
ripencc,ipv4,192.132.11.0,24
ripencc,ipv4,192.133.32.0,24
ripencc,ipv4,192.133.64.0,24
ripencc,ipv4,192.135.46.0,24
ripencc,ipv4,192.135.143.0,24
ripencc,ipv4,192.135.253.0,24
ripencc,ipv4,192.138.105.0,22
ripencc,ipv4,192.138.155.0,24
ripencc,ipv4,192.146.163.0,21
ripencc,ipv4,192.146.193.0,24
ripencc,ipv4,192.146.227.0,24
ripencc,ipv4,192.146.238.0,24
ripencc,ipv4,192.146.239.0,24
ripencc,ipv4,192.149.78.0,24
ripencc,ipv4,192.149.79.0,24
ripencc,ipv4,192.149.100.0,24
ripencc,ipv4,192.149.102.0,24
ripencc,ipv4,192.150.124.0,24
ripencc,ipv4,192.150.188.0,24
ripencc,ipv4,192.150.197.0,24
ripencc,ipv4,192.150.209.0,24
ripencc,ipv4,192.150.223.0,24
ripencc,ipv4,192.150.252.0,24
ripencc,ipv4,192.150.254.0,24
ripencc,ipv4,192.152.6.0,24
ripencc,ipv4,192.152.111.0,24
ripencc,ipv4,192.153.194.0,24
ripencc,ipv4,192.155.1.0,24
ripencc,ipv4,192.155.2.0,24
ripencc,ipv4,192.155.3.0,24
ripencc,ipv4,192.155.4.0,24
ripencc,ipv4,192.155.5.0,24
ripencc,ipv4,192.155.6.0,24
ripencc,ipv4,192.157.1.0,22
ripencc,ipv4,192.157.129.0,24
ripencc,ipv4,192.159.108.0,24
ripencc,ipv4,192.160.23.0,24
ripencc,ipv4,192.160.126.0,24
ripencc,ipv4,192.160.225.0,24
ripencc,ipv4,192.162.4.0,22
ripencc,ipv4,192.188.105.0,24
ripencc,ipv4,192.190.58.0,24
ripencc,ipv4,192.190.59.0,24
ripencc,ipv4,192.190.95.0,24
ripencc,ipv4,192.190.190.0,24
ripencc,ipv4,192.190.191.0,24
ripencc,ipv4,192.190.192.0,24
ripencc,ipv4,192.190.193.0,24
ripencc,ipv4,193.0.222.0,24
ripencc,ipv4,193.0.252.0,24
ripencc,ipv4,193.19.64.0,23
ripencc,ipv4,193.22.94.0,24
ripencc,ipv4,193.22.250.0,24
ripencc,ipv4,193.23.159.0,24
ripencc,ipv4,193.23.229.0,24
ripencc,ipv4,193.26.146.0,23
