region,version,ip,prefixlength
apnic,ipv4,43.246.220.0,22
apnic,ipv4,43.248.12.0,22
apnic,ipv4,45.113.124.0,22
apnic,ipv4,103.5.136.0,22
apnic,ipv4,103.8.14.0,23
apnic,ipv4,103.8.214.0,24
apnic,ipv4,103.8.231.0,24
apnic,ipv4,103.9.23.0,24
apnic,ipv4,103.9.182.0,24
apnic,ipv4,103.13.1.0,24
apnic,ipv4,103.18.8.0,22
apnic,ipv4,103.18.20.0,22
apnic,ipv4,103.28.150.0,23
apnic,ipv4,103.29.182.0,23
apnic,ipv4,103.31.100.0,22
apnic,ipv4,103.31.104.0,22
apnic,ipv4,103.35.208.0,22
apnic,ipv4,103.39.80.0,22
apnic,ipv4,103.51.220.0,24
apnic,ipv4,103.53.44.0,22
apnic,ipv4,103.69.110.0,23
apnic,ipv4,103.73.234.0,24
apnic,ipv4,103.85.152.0,23
apnic,ipv4,103.86.88.0,23
apnic,ipv4,103.87.162.0,24
apnic,ipv4,103.90.7.0,24
apnic,ipv4,103.93.208.0,24
apnic,ipv4,103.94.102.0,24
apnic,ipv4,103.94.186.0,24
apnic,ipv4,103.100.103.0,24
apnic,ipv4,103.100.202.0,23
apnic,ipv4,103.103.112.0,24
apnic,ipv4,103.106.86.0,24
apnic,ipv4,103.109.121.0,24
apnic,ipv4,103.110.52.0,24
apnic,ipv4,103.111.84.0,23
apnic,ipv4,103.119.125.0,24
apnic,ipv4,103.123.75.0,24
apnic,ipv4,103.125.60.0,24
apnic,ipv4,103.137.20.0,23
apnic,ipv4,103.139.62.0,24
apnic,ipv4,103.139.122.0,24
apnic,ipv4,103.140.114.0,23
apnic,ipv4,103.140.123.0,24
apnic,ipv4,103.141.43.0,24
apnic,ipv4,103.141.229.0,24
apnic,ipv4,103.142.126.0,24
apnic,ipv4,103.144.88.0,24
apnic,ipv4,103.145.158.0,24
apnic,ipv4,103.149.216.0,24
apnic,ipv4,103.150.9.0,24
apnic,ipv4,103.150.82.0,23
apnic,ipv4,103.150.105.0,24
apnic,ipv4,103.154.107.0,24
apnic,ipv4,103.154.196.0,23
apnic,ipv4,103.155.145.0,24
apnic,ipv4,103.157.214.0,23
apnic,ipv4,103.158.12.0,24
apnic,ipv4,103.158.35.0,24
apnic,ipv4,103.165.176.0,24
apnic,ipv4,103.167.3.0,24
apnic,ipv4,103.172.140.0,24
apnic,ipv4,103.173.62.0,23
apnic,ipv4,103.173.186.0,24
apnic,ipv4,103.174.239.0,24
apnic,ipv4,103.178.78.0,23
apnic,ipv4,103.178.96.0,24
apnic,ipv4,103.178.216.0,23
apnic,ipv4,103.180.242.0,23
apnic,ipv4,103.183.40.0,24
apnic,ipv4,103.186.76.0,23
apnic,ipv4,103.190.167.0,24
apnic,ipv4,103.191.18.0,24
apnic,ipv4,103.203.88.0,23
apnic,ipv4,103.210.4.0,22
apnic,ipv4,103.226.216.0,23
apnic,ipv4,103.232.225.0,24
apnic,ipv4,103.234.144.0,22
apnic,ipv4,103.244.176.0,22
apnic,ipv4,103.245.132.0,22
apnic,ipv4,103.247.66.0,24
apnic,ipv4,103.247.124.0,23
apnic,ipv4,103.250.222.0,23
apnic,ipv4,196.3.72.0,24
apnic,ipv4,202.0.110.0,24
apnic,ipv4,202.3.130.0,23
apnic,ipv4,202.4.167.0,24
apnic,ipv4,202.14.70.0,23
apnic,ipv4,202.43.118.0,23
apnic,ipv4,202.45.156.0,23
apnic,ipv4,202.47.94.0,24
apnic,ipv4,202.52.32.0,24
apnic,ipv4,202.59.254.0,24
apnic,ipv4,203.16.34.0,24
apnic,ipv4,203.26.77.0,24
apnic,ipv4,203.92.4.0,23
apnic,ipv4,203.119.20.0,24
apnic,ipv4,203.128.252.0,22
apnic,ipv4,203.129.0.0,22
apnic,ipv4,203.133.252.0,22
apnic,ipv4,203.134.252.0,22
apnic,ipv4,203.176.190.0,24
apnic,ipv4,203.176.191.0,24
apnic,ipv4,218.100.85.0,24
