region,version,ip,prefixlength
ripencc,ipv4,2.56.68.0,22
ripencc,ipv4,2.57.8.0,22
ripencc,ipv4,2.57.132.0,22
ripencc,ipv4,2.57.136.0,22
ripencc,ipv4,2.57.208.0,22
ripencc,ipv4,2.58.104.0,22
ripencc,ipv4,2.58.216.0,22
ripencc,ipv4,5.39.192.0,21
ripencc,ipv4,5.57.128.0,18
ripencc,ipv4,5.57.214.0,24
ripencc,ipv4,5.60.0.0,16
ripencc,ipv4,5.63.184.0,21
ripencc,ipv4,5.102.40.0,22
ripencc,ipv4,5.102.44.0,22
ripencc,ipv4,5.102.64.0,21
ripencc,ipv4,5.104.248.0,21
ripencc,ipv4,5.133.8.0,21
ripencc,ipv4,5.133.115.0,24
ripencc,ipv4,5.133.248.0,21
ripencc,ipv4,5.134.64.0,20
ripencc,ipv4,5.134.208.0,21
ripencc,ipv4,5.149.160.0,21
ripencc,ipv4,5.149.192.0,21
ripencc,ipv4,5.152.160.0,21
ripencc,ipv4,5.172.184.0,21
ripencc,ipv4,5.172.224.0,19
ripencc,ipv4,5.173.0.0,16
ripencc,ipv4,5.174.0.0,16
ripencc,ipv4,5.181.188.0,22
ripencc,ipv4,5.182.140.0,22
ripencc,ipv4,5.183.192.0,22
ripencc,ipv4,5.184.0.0,15
ripencc,ipv4,5.187.48.0,21
ripencc,ipv4,5.201.0.0,17
ripencc,ipv4,5.206.240.0,20
ripencc,ipv4,5.226.64.0,18
ripencc,ipv4,5.226.128.0,21
ripencc,ipv4,5.252.108.0,22
ripencc,ipv4,5.252.200.0,22
ripencc,ipv4,5.252.212.0,22
ripencc,ipv4,5.252.228.0,22
ripencc,ipv4,5.253.120.0,22
ripencc,ipv4,31.0.0.0,15
ripencc,ipv4,31.2.0.0,17
ripencc,ipv4,31.6.64.0,21
ripencc,ipv4,31.6.128.0,17
ripencc,ipv4,31.7.40.0,21
ripencc,ipv4,31.11.128.0,17
ripencc,ipv4,31.14.9.0,24
ripencc,ipv4,31.14.76.0,22
ripencc,ipv4,31.14.162.0,24
ripencc,ipv4,31.22.96.0,21
ripencc,ipv4,31.24.83.0,24
ripencc,ipv4,31.25.248.0,21
ripencc,ipv4,31.31.168.0,21
ripencc,ipv4,31.60.0.0,14
ripencc,ipv4,31.172.168.0,22
ripencc,ipv4,31.172.176.0,20
ripencc,ipv4,31.174.0.0,15
ripencc,ipv4,31.178.0.0,15
ripencc,ipv4,31.182.0.0,15
ripencc,ipv4,31.186.80.0,21
ripencc,ipv4,31.186.192.0,19
ripencc,ipv4,31.187.0.0,18
ripencc,ipv4,31.192.216.0,21
ripencc,ipv4,31.193.96.0,21
ripencc,ipv4,31.193.187.0,24
ripencc,ipv4,31.214.137.0,24
ripencc,ipv4,31.214.138.0,24
ripencc,ipv4,31.214.140.0,24
ripencc,ipv4,31.214.145.0,24
ripencc,ipv4,31.220.144.0,24
ripencc,ipv4,31.220.146.0,24
ripencc,ipv4,31.222.16.0,21
ripencc,ipv4,37.7.0.0,16
ripencc,ipv4,37.8.192.0,18
ripencc,ipv4,37.16.75.0,24
ripencc,ipv4,37.26.160.0,21
ripencc,ipv4,37.26.192.0,21
ripencc,ipv4,37.28.152.0,21
ripencc,ipv4,37.30.0.0,15
ripencc,ipv4,37.46.12.0,22
ripencc,ipv4,37.47.0.0,16
ripencc,ipv4,37.60.24.0,21
ripencc,ipv4,37.72.120.0,21
ripencc,ipv4,37.77.152.0,21
ripencc,ipv4,37.98.208.0,20
ripencc,ipv4,37.108.0.0,16
ripencc,ipv4,37.109.0.0,16
ripencc,ipv4,37.123.200.0,21
ripencc,ipv4,37.128.0.0,17
ripencc,ipv4,37.128.152.0,21
ripencc,ipv4,37.128.160.0,21
ripencc,ipv4,37.130.0.0,18
ripencc,ipv4,37.131.128.0,19
ripencc,ipv4,37.131.160.0,20
ripencc,ipv4,37.139.72.0,21
ripencc,ipv4,37.139.144.0,21
ripencc,ipv4,37.140.217.0,24
ripencc,ipv4,37.152.16.0,20
ripencc,ipv4,37.156.32.0,23
ripencc,ipv4,37.156.34.0,24
ripencc,ipv4,37.157.200.0,21
ripencc,ipv4,37.190.128.0,17
ripencc,ipv4,37.202.32.0,20
ripencc,ipv4,37.209.128.0,19
ripencc,ipv4,37.221.100.0,22
ripencc,ipv4,37.225.0.0,16
ripencc,ipv4,37.228.0.0,18
ripencc,ipv4,37.233.96.0,20
ripencc,ipv4,37.247.56.0,21
ripencc,ipv4,37.247.128.0,17
ripencc,ipv4,37.248.0.0,15
ripencc,ipv4,37.251.192.0,21
ripencc,ipv4,45.9.64.0,22
ripencc,ipv4,45.9.136.0,22
ripencc,ipv4,45.9.180.0,22
ripencc,ipv4,45.9.232.0,22
ripencc,ipv4,45.10.136.0,22
ripencc,ipv4,45.11.60.0,22
ripencc,ipv4,45.11.120.0,22
ripencc,ipv4,45.11.199.0,24
ripencc,ipv4,45.66.20.0,22
ripencc,ipv4,45.66.140.0,22
ripencc,ipv4,45.82.144.0,22
ripencc,ipv4,45.85.8.0,22
ripencc,ipv4,45.85.184.0,22
ripencc,ipv4,45.85.208.0,22
ripencc,ipv4,45.86.32.0,24
ripencc,ipv4,45.86.33.0,24
ripencc,ipv4,45.86.34.0,24
ripencc,ipv4,45.86.35.0,24
ripencc,ipv4,45.86.212.0,22
ripencc,ipv4,45.87.32.0,22
ripencc,ipv4,45.88.4.0,24
ripencc,ipv4,45.89.8.0,22
ripencc,ipv4,45.90.0.0,22
ripencc,ipv4,45.90.164.0,22
ripencc,ipv4,45.92.240.0,22
ripencc,ipv4,45.93.160.0,22
ripencc,ipv4,45.93.228.0,22
ripencc,ipv4,45.95.188.0,22
ripencc,ipv4,45.128.108.0,22
ripencc,ipv4,45.128.216.0,22
ripencc,ipv4,45.129.252.0,22
ripencc,ipv4,45.130.28.0,22
ripencc,ipv4,45.130.208.0,22
ripencc,ipv4,45.131.32.0,24
ripencc,ipv4,45.131.33.0,24
ripencc,ipv4,45.131.34.0,23
ripencc,ipv4,45.131.204.0,22
ripencc,ipv4,45.132.56.0,22
ripencc,ipv4,45.132.144.0,22
ripencc,ipv4,45.135.216.0,22
ripencc,ipv4,45.137.224.0,22
ripencc,ipv4,45.138.152.0,22
ripencc,ipv4,45.139.92.0,22
ripencc,ipv4,45.141.0.0,22
ripencc,ipv4,45.141.32.0,22
ripencc,ipv4,45.142.160.0,22
ripencc,ipv4,45.143.72.0,22
ripencc,ipv4,45.144.120.0,22
ripencc,ipv4,45.145.208.0,22
ripencc,ipv4,45.146.44.0,22
ripencc,ipv4,45.147.56.0,22
ripencc,ipv4,45.148.40.0,22
ripencc,ipv4,45.148.148.0,22
ripencc,ipv4,45.149.48.0,22
ripencc,ipv4,45.149.208.0,22
ripencc,ipv4,45.150.151.0,24
ripencc,ipv4,45.151.124.0,22
ripencc,ipv4,45.151.216.0,22
ripencc,ipv4,45.154.140.0,22
ripencc,ipv4,45.154.144.0,22
ripencc,ipv4,45.154.220.0,22
ripencc,ipv4,45.155.0.0,22
ripencc,ipv4,45.155.148.0,22
ripencc,ipv4,45.156.236.0,22
ripencc,ipv4,45.157.12.0,22
ripencc,ipv4,45.158.4.0,22
ripencc,ipv4,45.158.72.0,22
ripencc,ipv4,45.158.108.0,22
ripencc,ipv4,45.159.80.0,22
ripencc,ipv4,45.159.164.0,22
ripencc,ipv4,45.159.236.0,22
ripencc,ipv4,46.17.112.0,21
ripencc,ipv4,46.20.48.0,20
ripencc,ipv4,46.21.208.0,20
ripencc,ipv4,46.22.160.0,20
ripencc,ipv4,46.28.8.0,22
ripencc,ipv4,46.28.12.0,23
ripencc,ipv4,46.28.14.0,24
ripencc,ipv4,46.28.240.0,21
ripencc,ipv4,46.29.16.0,21
ripencc,ipv4,46.29.144.0,21
ripencc,ipv4,46.31.32.0,21
ripencc,ipv4,46.36.224.0,19
ripencc,ipv4,46.41.128.0,18
ripencc,ipv4,46.45.64.0,18
ripencc,ipv4,46.76.0.0,15
ripencc,ipv4,46.102.96.0,22
ripencc,ipv4,46.102.100.0,24
ripencc,ipv4,46.112.0.0,15
ripencc,ipv4,46.134.0.0,16
ripencc,ipv4,46.148.0.0,20
ripencc,ipv4,46.149.208.0,20
ripencc,ipv4,46.168.0.0,15
ripencc,ipv4,46.170.0.0,15
ripencc,ipv4,46.175.112.0,21
ripencc,ipv4,46.182.96.0,21
ripencc,ipv4,46.183.208.0,21
ripencc,ipv4,46.186.0.0,17
ripencc,ipv4,46.187.128.0,17
ripencc,ipv4,46.204.0.0,15
ripencc,ipv4,46.215.0.0,16
ripencc,ipv4,46.227.32.0,21
ripencc,ipv4,46.227.104.0,21
ripencc,ipv4,46.227.240.0,21
ripencc,ipv4,46.228.80.0,20
ripencc,ipv4,46.228.224.0,20
