region,version,ip,prefixlength
ripencc,ipv4,31.41.24.0,21
ripencc,ipv4,31.41.80.0,21
ripencc,ipv4,31.41.136.0,21
ripencc,ipv4,31.41.144.0,22
ripencc,ipv4,31.41.148.0,22
ripencc,ipv4,31.41.168.0,21
ripencc,ipv4,31.41.176.0,21
ripencc,ipv4,31.41.208.0,21
ripencc,ipv4,31.41.232.0,21
ripencc,ipv4,31.42.0.0,20
ripencc,ipv4,31.42.16.0,20
ripencc,ipv4,31.42.176.0,23
ripencc,ipv4,31.43.176.0,23
ripencc,ipv4,31.128.0.0,19
ripencc,ipv4,31.130.96.0,20
ripencc,ipv4,31.130.216.0,21
ripencc,ipv4,31.131.48.0,20
ripencc,ipv4,31.131.168.0,21
ripencc,ipv4,31.132.64.0,21
ripencc,ipv4,31.133.0.0,21
ripencc,ipv4,31.133.16.0,21
ripencc,ipv4,31.134.48.0,20
ripencc,ipv4,31.135.16.0,20
ripencc,ipv4,31.135.160.0,21
ripencc,ipv4,31.135.168.0,21
ripencc,ipv4,31.135.192.0,20
ripencc,ipv4,46.148.64.0,20
ripencc,ipv4,46.148.80.0,20
ripencc,ipv4,46.148.144.0,20
ripencc,ipv4,46.148.160.0,20
ripencc,ipv4,46.149.144.0,20
ripencc,ipv4,46.151.16.0,21
ripencc,ipv4,46.151.72.0,21
ripencc,ipv4,46.151.112.0,21
ripencc,ipv4,46.151.136.0,21
ripencc,ipv4,46.151.184.0,21
ripencc,ipv4,46.151.216.0,21
ripencc,ipv4,46.174.0.0,21
ripencc,ipv4,46.174.24.0,21
ripencc,ipv4,46.174.72.0,21
ripencc,ipv4,46.174.168.0,21
ripencc,ipv4,46.174.176.0,21
ripencc,ipv4,46.174.208.0,23
ripencc,ipv4,46.174.210.0,24
ripencc,ipv4,46.174.211.0,22
ripencc,ipv4,46.174.224.0,21
ripencc,ipv4,46.174.232.0,21
ripencc,ipv4,46.175.14.0,23
ripencc,ipv4,46.175.40.0,21
ripencc,ipv4,46.175.104.0,21
ripencc,ipv4,46.175.224.0,20
ripencc,ipv4,62.122.112.0,21
ripencc,ipv4,62.122.120.0,21
ripencc,ipv4,62.122.232.0,21
ripencc,ipv4,62.182.104.0,21
ripencc,ipv4,62.182.144.0,21
ripencc,ipv4,62.182.208.0,21
ripencc,ipv4,62.182.224.0,21
ripencc,ipv4,77.87.0.0,21
ripencc,ipv4,77.87.72.0,21
ripencc,ipv4,77.87.216.0,21
ripencc,ipv4,78.31.88.0,21
ripencc,ipv4,78.31.120.0,21
ripencc,ipv4,78.31.136.0,21
ripencc,ipv4,78.31.144.0,21
ripencc,ipv4,78.31.152.0,21
ripencc,ipv4,78.31.162.0,23
ripencc,ipv4,78.31.166.0,23
ripencc,ipv4,78.31.209.0,24
ripencc,ipv4,78.31.214.0,24
ripencc,ipv4,78.31.215.0,24
ripencc,ipv4,79.110.192.0,20
ripencc,ipv4,80.68.232.0,21
ripencc,ipv4,80.238.96.0,19
ripencc,ipv4,81.161.62.0,24
ripencc,ipv4,81.161.100.0,22
ripencc,ipv4,81.161.104.0,21
ripencc,ipv4,81.161.112.0,23
ripencc,ipv4,81.162.208.0,21
ripencc,ipv4,81.163.8.0,21
ripencc,ipv4,81.163.200.0,21
ripencc,ipv4,81.186.224.0,20
ripencc,ipv4,83.142.40.0,21
ripencc,ipv4,83.142.112.0,21
ripencc,ipv4,83.142.120.0,21
ripencc,ipv4,83.142.136.0,21
ripencc,ipv4,83.142.152.0,21
ripencc,ipv4,83.142.176.0,21
ripencc,ipv4,83.142.184.0,21
ripencc,ipv4,83.142.192.0,21
ripencc,ipv4,83.142.216.0,21
ripencc,ipv4,83.143.40.0,21
ripencc,ipv4,83.143.96.0,21
ripencc,ipv4,83.143.128.0,21
ripencc,ipv4,83.143.136.0,21
ripencc,ipv4,83.143.160.0,21
ripencc,ipv4,83.151.32.0,20
ripencc,ipv4,83.175.128.0,20
ripencc,ipv4,83.175.144.0,20
ripencc,ipv4,83.175.160.0,22
ripencc,ipv4,83.175.164.0,24
ripencc,ipv4,83.175.165.0,22
ripencc,ipv4,83.175.168.0,22
ripencc,ipv4,83.175.172.0,22
ripencc,ipv4,83.175.176.0,20
ripencc,ipv4,83.242.64.0,19
ripencc,ipv4,83.242.112.0,20
ripencc,ipv4,83.243.32.0,21
ripencc,ipv4,83.243.104.0,21
ripencc,ipv4,84.38.16.0,20
ripencc,ipv4,84.38.80.0,20
ripencc,ipv4,84.38.160.0,20
ripencc,ipv4,84.38.208.0,20
ripencc,ipv4,84.205.0.0,19
ripencc,ipv4,84.205.160.0,24
ripencc,ipv4,84.205.162.0,24
ripencc,ipv4,84.205.163.0,24
ripencc,ipv4,84.205.164.0,23
ripencc,ipv4,84.205.166.0,24
ripencc,ipv4,84.205.167.0,24
ripencc,ipv4,84.205.168.0,23
ripencc,ipv4,84.205.170.0,24
ripencc,ipv4,84.205.171.0,24
ripencc,ipv4,84.205.172.0,22
ripencc,ipv4,84.205.176.0,22
ripencc,ipv4,84.205.180.0,23
ripencc,ipv4,84.205.182.0,24
ripencc,ipv4,84.205.183.0,24
ripencc,ipv4,84.205.184.0,22
ripencc,ipv4,84.205.187.0,24
ripencc,ipv4,84.205.188.0,22
ripencc,ipv4,84.234.112.0,22
ripencc,ipv4,84.234.116.0,24
ripencc,ipv4,84.234.117.0,24
ripencc,ipv4,84.234.118.0,23
ripencc,ipv4,84.234.120.0,21
ripencc,ipv4,85.31.224.0,20
ripencc,ipv4,85.202.32.0,20
ripencc,ipv4,85.202.96.0,20
ripencc,ipv4,85.255.0.0,20
ripencc,ipv4,85.255.240.0,20
ripencc,ipv4,86.111.96.0,19
ripencc,ipv4,86.111.200.0,21
ripencc,ipv4,86.111.224.0,22
ripencc,ipv4,86.111.228.0,23
ripencc,ipv4,86.111.240.0,21
ripencc,ipv4,87.99.96.0,19
ripencc,ipv4,87.101.16.0,20
ripencc,ipv4,87.101.32.0,20
ripencc,ipv4,87.101.64.0,20
ripencc,ipv4,87.239.40.0,21
ripencc,ipv4,87.239.88.0,21
ripencc,ipv4,87.239.168.0,21
ripencc,ipv4,87.239.176.0,21
ripencc,ipv4,87.239.192.0,21
ripencc,ipv4,87.239.216.0,21
ripencc,ipv4,87.239.240.0,21
ripencc,ipv4,88.135.160.0,20
ripencc,ipv4,88.135.176.0,22
ripencc,ipv4,88.135.180.0,22
ripencc,ipv4,88.135.184.0,24
ripencc,ipv4,88.135.185.0,24
ripencc,ipv4,88.135.186.0,23
ripencc,ipv4,88.135.188.0,22
ripencc,ipv4,89.22.0.0,21
ripencc,ipv4,89.22.32.0,21
ripencc,ipv4,89.22.208.0,21
ripencc,ipv4,89.200.144.0,21
ripencc,ipv4,89.200.160.0,21
ripencc,ipv4,89.200.208.0,21
ripencc,ipv4,89.200.224.0,21
ripencc,ipv4,89.206.0.0,18
ripencc,ipv4,91.90.56.0,21
ripencc,ipv4,91.90.72.0,21
ripencc,ipv4,91.90.88.0,21
ripencc,ipv4,91.90.112.0,21
ripencc,ipv4,91.90.160.0,24
ripencc,ipv4,91.90.162.0,21
ripencc,ipv4,91.90.172.0,22
ripencc,ipv4,91.90.176.0,20
ripencc,ipv4,91.123.160.0,20
ripencc,ipv4,91.123.176.0,20
ripencc,ipv4,91.123.208.0,20
ripencc,ipv4,91.142.137.0,24
ripencc,ipv4,91.150.192.0,19
ripencc,ipv4,91.189.0.0,21
ripencc,ipv4,91.189.16.0,21
ripencc,ipv4,91.189.24.0,21
ripencc,ipv4,91.189.32.0,21
ripencc,ipv4,91.189.56.0,21
ripencc,ipv4,91.189.72.0,21
ripencc,ipv4,91.189.136.0,21
ripencc,ipv4,91.189.248.0,21
ripencc,ipv4,91.192.0.0,22
ripencc,ipv4,91.192.56.0,22
ripencc,ipv4,91.192.76.0,22
