region,ip,prefixlength,org
ripencc,1.178.112.0,20,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,1.178.128.0,20,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,1.179.40.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,1.179.72.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,1.179.88.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,2.58.132.0,22,ps.together-communication;Together Communication LTD
ripencc,5.11.40.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,5.34.160.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,5.43.192.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,5.44.254.0,24,n/a
ripencc,5.102.96.0,19,ps.superlink;Super Link Communications Co. Ltd
ripencc,5.133.24.0,21,ps.jetnet;JetNet for Information Technology and Telecommunications Limited Liability Company
ripencc,5.182.106.0,24,n/a
ripencc,5.253.68.0,22,ps.jetnet;JetNet for Information Technology and Telecommunications Limited Liability Company
ripencc,24.42.64.0,18,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,31.13.160.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,31.25.72.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,31.186.176.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,31.220.148.0,23,ps.mada-alarab;Mada ALArab LTD
ripencc,31.223.176.0,21,"ps.citynet-gaza;City Net Informatics, Internet and Communication Technologies and General Trade Ltd."
ripencc,37.8.0.0,17,n/a
ripencc,37.34.80.0,20,ps.superlink;Super Link Communications Co. Ltd
ripencc,37.60.144.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,37.75.208.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,37.76.192.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,37.122.158.0,23,n/a
ripencc,37.218.208.0,20,ps.superlink;Super Link Communications Co. Ltd
ripencc,43.241.156.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.243.24.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.243.32.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.243.92.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.245.156.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.245.208.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,43.255.108.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.90.84.0,22,ps.netzone;NetZone Technology Co. PSC
ripencc,45.113.108.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.116.248.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.117.4.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.117.40.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.121.104.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.127.176.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.130.96.0,22,n/a
ripencc,45.134.200.0,23,n/a
ripencc,45.134.202.0,23,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,45.146.12.0,22,ps.jetnet;JetNet for Information Technology and Telecommunications Limited Liability Company
ripencc,45.147.64.0,22,n/a
ripencc,45.158.156.0,22,n/a
ripencc,45.159.160.0,22,ps.injazat;Injazat Technologies LTD
ripencc,46.18.16.0,21,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,46.20.208.0,20,ps.superlink;Super Link Communications Co. Ltd
ripencc,46.28.136.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,46.32.192.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,46.43.64.0,18,ps.mada-alarab;Mada ALArab LTD
ripencc,46.60.0.0,18,ps.zaytona;AL Zaytona Company For Communication Ltd.
ripencc,46.60.64.0,18,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,46.244.64.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,46.253.80.0,20,n/a
ripencc,59.152.88.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,62.16.64.0,20,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,77.91.128.0,19,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,77.91.160.0,19,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,78.143.224.0,20,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.102.192.0,18,n/a
ripencc,82.163.52.0,22,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.163.56.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.163.64.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.163.96.0,20,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.163.168.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.163.224.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,82.205.0.0,17,n/a
ripencc,82.213.0.0,18,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,83.244.0.0,17,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,84.242.48.0,20,ps.mada-alarab;Mada ALArab LTD
ripencc,85.113.96.0,19,n/a
ripencc,85.114.96.0,19,ps.fusion;Fusion Internet Services Company LLC
ripencc,85.184.32.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,85.184.240.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,86.104.160.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,86.104.188.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,86.107.16.0,22,n/a
ripencc,87.252.108.0,22,n/a
ripencc,89.46.176.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,89.239.32.0,20,n/a
ripencc,91.229.247.0,24,ps.together-communication;Together Communication LTD
ripencc,92.114.40.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,93.184.0.0,20,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,94.26.112.0,20,n/a
ripencc,94.73.0.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,95.130.88.0,21,n/a
ripencc,95.215.128.0,22,ps.mada-alarab;Mada ALArab LTD
ripencc,103.27.144.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.37.84.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.53.4.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.57.108.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.102.252.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.193.132.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.196.120.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.199.176.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.206.36.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.206.108.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.209.204.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.215.4.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.216.184.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.231.104.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.239.96.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.242.60.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.248.36.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,103.248.244.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,109.73.240.0,20,ps.globalcom;GlobalCom Telecommunications PLC
ripencc,109.232.162.0,23,n/a
ripencc,113.212.64.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,115.166.128.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,118.107.180.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,130.255.64.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,139.190.128.0,18,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,141.98.244.0,22,n/a
ripencc,144.48.236.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,147.189.176.0,20,n/a
ripencc,149.126.88.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,151.252.96.0,21,ps.globalcom;GlobalCom Telecommunications PLC
ripencc,152.89.40.0,22,n/a
ripencc,152.89.156.0,22,n/a
ripencc,158.140.16.0,20,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,158.140.64.0,18,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,176.58.64.0,20,n/a
ripencc,176.65.0.0,21,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,176.65.8.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,176.65.12.0,22,n/a
ripencc,176.65.16.0,20,ps.mada-alarab;Mada ALArab LTD
ripencc,176.67.56.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,176.67.96.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,178.130.144.0,20,ps.mada-alarab;Mada ALArab LTD
ripencc,178.130.160.0,19,ps.mada-alarab;Mada ALArab LTD
ripencc,182.161.60.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,185.5.220.0,22,n/a
ripencc,185.6.16.0,22,n/a
ripencc,185.6.56.0,22,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,185.7.120.0,22,ps.mada-alarab;Mada ALArab LTD
ripencc,185.17.232.0,22,ps.mada-alarab;Mada ALArab LTD
ripencc,185.19.220.0,22,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,185.21.120.0,22,n/a
ripencc,185.33.168.0,22,ps.dcc-mnt;Digital Communication Company for Telecommunications and Information Technology LTD
ripencc,185.37.12.0,22,ps.aauj;Arab American University
ripencc,185.40.192.0,22,n/a
ripencc,185.61.20.0,22,ps.together-communication;Together Communication LTD
ripencc,185.61.200.0,22,n/a
ripencc,185.71.140.0,22,n/a
ripencc,185.86.140.0,22,ps.superlink;Super Link Communications Co. Ltd
ripencc,185.88.80.0,22,n/a
ripencc,185.88.88.0,22,ps.alaqsa;Al-Aqsa University
ripencc,185.90.124.0,22,ps.pix;Palestine Internet Exchange Point
ripencc,185.90.242.0,24,n/a
ripencc,185.97.64.0,22,ps.fusion;Fusion Internet Services Company LLC
ripencc,185.97.132.0,22,ps.dcc-mnt;Digital Communication Company for Telecommunications and Information Technology LTD
ripencc,185.99.44.0,22,ps.together-communication;Together Communication LTD
ripencc,185.106.192.0,22,ps.superlink;Super Link Communications Co. Ltd
ripencc,185.108.24.0,22,n/a
ripencc,185.132.248.0,22,ps.jetnet;JetNet for Information Technology and Telecommunications Limited Liability Company
ripencc,185.138.132.0,22,n/a
ripencc,185.140.180.0,22,n/a
ripencc,185.142.56.0,22,n/a
ripencc,185.153.160.0,22,ps.mtit;Ministry of Telecom and Information Technology
ripencc,185.171.132.0,22,n/a
ripencc,185.186.176.0,22,ps.globalcom;GlobalCom Telecommunications PLC
ripencc,185.203.66.0,24,ps.astra;Astra for Telecommunication and IT Services
ripencc,185.209.108.0,22,ps.together-communication;Together Communication LTD
ripencc,185.225.116.0,22,n/a
ripencc,188.0.96.0,19,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,188.161.0.0,16,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,188.209.208.0,22,n/a
ripencc,188.215.33.0,24,n/a
ripencc,188.215.35.0,24,n/a
ripencc,188.215.100.0,22,n/a
ripencc,188.215.120.0,21,ps.superlink;Super Link Communications Co. Ltd
ripencc,188.225.128.0,17,n/a
ripencc,188.227.232.0,21,ps.mada-alarab;Mada ALArab LTD
ripencc,192.145.120.0,22,n/a
ripencc,193.7.220.0,22,ps.jetnet;JetNet for Information Technology and Telecommunications Limited Liability Company
ripencc,193.19.72.0,23,ps.dcc-mnt;Digital Communication Company for Telecommunications and Information Technology LTD
ripencc,193.19.96.0,23,ps.dcc-mnt;Digital Communication Company for Telecommunications and Information Technology LTD
ripencc,193.35.20.0,22,n/a
ripencc,193.58.150.0,23,n/a
ripencc,193.58.152.0,23,n/a
ripencc,193.124.248.0,22,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,193.223.252.0,23,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,193.227.236.0,23,ps.paltel;Palestine Telecommunications Company (PALTEL)
ripencc,194.58.72.0,22,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.76.0,23,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.152.0,23,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.220.0,23,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.240.0,24,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.242.0,23,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.244.0,23,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.58.247.0,24,ps.bnet;BCI Telecommunication & Advanced Technology Company
ripencc,194.147.156.0,22,n/a
ripencc,194.169.121.0,24,n/a
ripencc,194.169.122.0,23,n/a
