region,version,ip,prefixlength
ripencc,ipv4,91.209.248.0,24
ripencc,ipv4,91.212.102.0,24
ripencc,ipv4,91.218.152.0,23
ripencc,ipv4,91.237.50.0,24
ripencc,ipv4,91.240.148.0,24
ripencc,ipv4,176.106.40.0,21
ripencc,ipv4,176.119.248.0,21
ripencc,ipv4,178.214.64.0,19
ripencc,ipv4,178.215.208.0,20
ripencc,ipv4,185.1.1.0,24
ripencc,ipv4,185.1.241.0,24
ripencc,ipv4,194.6.225.0,24
ripencc,ipv4,194.187.80.0,22
ripencc,ipv4,195.3.188.0,22
ripencc,ipv4,195.68.208.0,23
ripencc,ipv4,195.88.64.0,23
ripencc,ipv4,195.189.210.0,23
ripencc,ipv6,2001:7f8:72::,48
ripencc,ipv6,2001:678:5f4::,48
ripencc,ipv6,2001:7f8:12b::,48
