region,version,ip,prefixlength,org
ripencc,ipv4,5.180.36.0,22,n/a
ripencc,ipv4,31.11.48.0,21,n/a
ripencc,ipv4,37.186.32.0,19,n/a
ripencc,ipv4,37.208.128.0,17,n/a
ripencc,ipv4,37.210.0.0,15,n/a
ripencc,ipv4,78.100.0.0,15,n/a
ripencc,ipv4,80.76.160.0,20,n/a
ripencc,ipv4,81.29.160.0,20,qa.aic;Advanced Internet Center (AIC)
ripencc,ipv4,82.148.96.0,19,n/a
ripencc,ipv4,86.36.0.0,18,n/a
ripencc,ipv4,86.36.64.0,19,qa.qu-qatar-net;Qatar University
ripencc,ipv4,86.36.96.0,19,n/a
ripencc,ipv4,86.36.128.0,17,n/a
ripencc,ipv4,86.37.0.0,16,n/a
ripencc,ipv4,86.62.192.0,18,n/a
ripencc,ipv4,89.211.0.0,16,n/a
ripencc,ipv4,91.228.176.0,24,qa.mannai;Mannai Trading Company LLC
ripencc,ipv4,94.125.224.0,21,n/a
ripencc,ipv4,103.14.208.0,22,n/a
ripencc,ipv4,103.17.0.0,22,n/a
ripencc,ipv4,103.23.124.0,22,n/a
ripencc,ipv4,103.199.88.0,22,n/a
ripencc,ipv4,103.225.72.0,22,n/a
ripencc,ipv4,176.202.0.0,15,n/a
ripencc,ipv4,178.23.16.0,21,qa.cra;Communications Regulatory Authority
ripencc,ipv4,178.152.0.0,15,n/a
ripencc,ipv4,185.2.244.0,22,qa.qp;QatarEnergy
ripencc,ipv4,185.25.12.0,22,qa.thegate;Salam Bounian Development Company Q. P. S. C.
ripencc,ipv4,185.37.96.0,22,qa.qu-qatar-net;Qatar University
ripencc,ipv4,185.37.108.0,22,qa.qu-qatar-net;Qatar University
ripencc,ipv4,185.96.224.0,22,n/a
ripencc,ipv4,185.104.56.0,22,n/a
ripencc,ipv4,185.107.76.0,22,qa.qatarpetroleum;QatarEnergy
ripencc,ipv4,185.154.168.0,22,qa.cra;Communications Regulatory Authority
ripencc,ipv4,185.161.121.0,24,qa.supreme;The Supreme Committee for Delivery and Legacy
ripencc,ipv4,185.239.92.0,22,n/a
ripencc,ipv4,185.247.88.0,22,n/a
ripencc,ipv4,212.70.96.0,19,n/a
ripencc,ipv4,212.77.192.0,19,n/a
ripencc,ipv4,213.130.96.0,19,n/a
ripencc,ipv4,213.178.136.0,22,n/a
ripencc,ipv6,2a0d:bc0::,29,n/a
ripencc,ipv6,2001:1a10::,29,n/a
ripencc,ipv6,2a00:7be0::,32,qa.thegate;Salam Bounian Development Company Q. P. S. C.
ripencc,ipv6,2a00:f0e0::,32,qa.qu-qatar-net;Qatar University
ripencc,ipv6,2a02:4440::,32,qa.qp;QatarEnergy
ripencc,ipv6,2a04:6f80::,30,qa.qu-qatar-net;Qatar University
ripencc,ipv6,2a04:7f80::,29,n/a
ripencc,ipv6,2a06:2f00::,29,n/a
ripencc,ipv6,2a06:4240::,29,qa.qatarpetroleum;QatarEnergy
ripencc,ipv6,2a09:3740::,29,n/a
ripencc,ipv6,2a0c:5180::,29,n/a
ripencc,ipv6,2a0c:a640::,29,qa.cra;Communications Regulatory Authority
ripencc,ipv6,2a11:9600::,29,qa.supreme;The Supreme Committee for Delivery and Legacy
