region,version,ip,prefixlength,org
ripencc,ipv4,5.22.160.0,19,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,5.57.72.0,21,rs.jotel;Jotel d.o.o.
ripencc,ipv4,5.134.104.0,21,n/a
ripencc,ipv4,5.154.225.0,24,n/a
ripencc,ipv4,5.172.32.0,21,n/a
ripencc,ipv4,5.183.24.0,22,n/a
ripencc,ipv4,5.252.236.0,22,rs.msatinzenjering;MSAT Inzenjering DOO
ripencc,ipv4,24.135.0.0,16,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,31.14.33.0,24,n/a
ripencc,ipv4,37.18.184.0,21,n/a
ripencc,ipv4,37.19.104.0,21,rs.noviop;A1 Srbija d.o.o
ripencc,ipv4,37.35.8.0,21,rs.astratelekom;ASTRA TELEKOM DOO BEOGRAD
ripencc,ipv4,37.77.168.0,21,rs.stepanovicisipka;Privredno drustvo za trgovinu i usluge STEPANOVIC & SIPKA
ripencc,ipv4,37.153.174.0,23,n/a
ripencc,ipv4,37.220.64.0,20,n/a
ripencc,ipv4,37.221.176.0,21,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,45.10.48.0,22,n/a
ripencc,ipv4,45.80.132.0,22,n/a
ripencc,ipv4,45.86.56.0,22,n/a
ripencc,ipv4,45.158.16.0,22,n/a
ripencc,ipv4,46.16.104.0,21,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,46.17.120.0,21,n/a
ripencc,ipv4,46.17.144.0,21,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,46.17.218.0,23,rs.exeplay;Exeplay d.o.o.
ripencc,ipv4,46.17.220.0,22,rs.exeplay;Exeplay d.o.o.
ripencc,ipv4,46.22.144.0,22,n/a
ripencc,ipv4,46.40.0.0,18,n/a
ripencc,ipv4,46.235.96.0,21,n/a
ripencc,ipv4,46.240.128.0,17,n/a
ripencc,ipv4,46.251.8.0,22,n/a
ripencc,ipv4,62.77.132.0,22,rs.itoii;IT011 d.o.o
ripencc,ipv4,62.101.128.0,20,n/a
ripencc,ipv4,62.108.96.0,19,n/a
ripencc,ipv4,62.182.152.0,22,rs.baunetworks;BAU NETWORKS DOO TORNJOS
ripencc,ipv4,62.193.128.0,19,n/a
ripencc,ipv4,62.240.0.0,20,rs.astratelekom;ASTRA TELEKOM DOO BEOGRAD
ripencc,ipv4,62.240.16.0,21,rs.astratelekom;ASTRA TELEKOM DOO BEOGRAD
ripencc,ipv4,62.240.24.0,21,n/a
ripencc,ipv4,77.46.128.0,17,n/a
ripencc,ipv4,77.105.0.0,18,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,77.243.16.0,20,rs.noviop;A1 Srbija d.o.o
ripencc,ipv4,77.247.100.0,22,n/a
ripencc,ipv4,77.247.200.0,21,rs.stepanovicisipka;Privredno drustvo za trgovinu i usluge STEPANOVIC & SIPKA
ripencc,ipv4,78.24.104.0,21,rs.itoii;IT011 d.o.o
ripencc,ipv4,78.30.128.0,18,n/a
ripencc,ipv4,78.109.96.0,20,n/a
ripencc,ipv4,79.101.0.0,16,n/a
ripencc,ipv4,79.170.112.0,21,rs.providus;Providus d.o.o.
ripencc,ipv4,79.175.64.0,18,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,80.70.240.0,20,n/a
ripencc,ipv4,80.74.160.0,20,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,80.93.224.0,20,n/a
ripencc,ipv4,80.93.240.0,20,n/a
ripencc,ipv4,80.240.144.0,20,n/a
ripencc,ipv4,80.243.232.0,22,rs.ibs;BOBAN CAKIC trading as INTERNET SERVIS IBS
ripencc,ipv4,80.245.96.0,22,n/a
ripencc,ipv4,81.18.48.0,20,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,81.24.240.0,21,n/a
ripencc,ipv4,82.117.192.0,19,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,82.208.192.0,18,n/a
ripencc,ipv4,83.229.16.0,24,rs.exeplay;Exeplay d.o.o.
ripencc,ipv4,85.222.160.0,22,n/a
ripencc,ipv4,85.222.168.0,21,n/a
ripencc,ipv4,85.222.176.0,20,n/a
ripencc,ipv4,87.116.128.0,18,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,87.237.200.0,21,rs.cri;Mainstream doo Beograd
ripencc,ipv4,87.250.32.0,19,n/a
ripencc,ipv4,88.218.136.0,22,n/a
ripencc,ipv4,89.23.64.0,19,n/a
ripencc,ipv4,89.34.2.0,24,n/a
ripencc,ipv4,89.35.239.0,24,rs.exeplay;Exeplay d.o.o.
ripencc,ipv4,89.39.144.0,23,n/a
ripencc,ipv4,89.42.12.0,24,n/a
ripencc,ipv4,89.46.126.0,23,n/a
ripencc,ipv4,89.47.40.0,23,n/a
ripencc,ipv4,89.110.192.0,18,n/a
ripencc,ipv4,89.147.80.0,20,n/a
ripencc,ipv4,89.216.0.0,16,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,91.102.168.0,21,n/a
ripencc,ipv4,91.102.224.0,21,n/a
ripencc,ipv4,91.143.208.0,20,n/a
ripencc,ipv4,91.147.240.0,22,n/a
ripencc,ipv4,91.147.244.0,22,n/a
ripencc,ipv4,91.148.64.0,18,n/a
ripencc,ipv4,91.150.64.0,18,n/a
ripencc,ipv4,91.185.96.0,19,n/a
ripencc,ipv4,91.187.128.0,19,rs.rcub;Akademska mreza Republike Srbije - AMRES
ripencc,ipv4,91.204.52.0,22,n/a
ripencc,ipv4,92.42.248.0,21,n/a
ripencc,ipv4,92.60.224.0,20,n/a
ripencc,ipv4,92.244.128.0,19,n/a
ripencc,ipv4,92.249.52.0,22,rs.dhh;mCloud doo
ripencc,ipv4,93.86.0.0,15,n/a
ripencc,ipv4,93.92.248.0,21,rs.astratelekom;ASTRA TELEKOM DOO BEOGRAD
ripencc,ipv4,93.93.192.0,21,n/a
ripencc,ipv4,93.113.250.0,23,n/a
ripencc,ipv4,93.184.80.0,20,rs.jotel;Jotel d.o.o.
ripencc,ipv4,93.186.64.0,20,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
ripencc,ipv4,93.187.240.0,21,n/a
ripencc,ipv4,93.190.160.0,21,rs.grandprom;Atlantic Grand
ripencc,ipv4,94.100.48.0,20,rs.telcommunications;TEL COMMUNICATIONS L.L.C.
ripencc,ipv4,94.127.0.0,21,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,94.189.128.0,17,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,94.228.224.0,20,n/a
ripencc,ipv4,94.229.112.0,20,rs.bluenet;Internet BlueNET doo Cacak
ripencc,ipv4,94.230.176.0,20,n/a
ripencc,ipv4,94.247.200.0,21,n/a
ripencc,ipv4,94.248.184.0,21,n/a
ripencc,ipv4,94.248.232.0,21,n/a
ripencc,ipv4,95.85.128.0,18,n/a
ripencc,ipv4,95.86.48.0,21,rs.noviop;A1 Srbija d.o.o
ripencc,ipv4,95.140.112.0,20,n/a
ripencc,ipv4,95.180.0.0,17,rs.sbb-net;Serbia BroadBand-Srpske Kablovske mreze d.o.o.
ripencc,ipv4,95.214.204.0,22,rs.baunetworks;BAU NETWORKS DOO TORNJOS
ripencc,ipv4,109.72.48.0,20,n/a
ripencc,ipv4,109.92.0.0,15,n/a
ripencc,ipv4,109.106.224.0,20,n/a
ripencc,ipv4,109.111.224.0,19,n/a
ripencc,ipv4,109.121.0.0,18,rs.oriontelekomtim;Orion Telekom Tim d.o.o.Beograd
