region,version,ip,prefixlength,org
apnic,ipv4,103.147.170.0,23,n/a
apnic,ipv4,103.152.16.0,23,n/a
apnic,ipv4,103.152.174.0,23,n/a
apnic,ipv4,103.155.126.0,23,n/a
ripencc,ipv4,2.56.24.0,23,ru.k-telekom;K-telekom LLC
ripencc,ipv4,2.56.26.0,23,ru.igkh;Inna Grigorevna Khoruzhaya
ripencc,ipv4,2.56.88.0,22,ru.mchost1;McHost LLC
ripencc,ipv4,2.56.112.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.56.136.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.56.180.0,22,ru.skynetwork1;Skynetwork LLC
ripencc,ipv4,2.56.240.0,22,n/a
ripencc,ipv4,2.57.36.0,22,n/a
ripencc,ipv4,2.57.52.0,22,ru.activedomains;Active.domains LLC
ripencc,ipv4,2.57.80.0,22,n/a
ripencc,ipv4,2.57.112.0,22,"ru.timer;Timer, LLC"
ripencc,ipv4,2.57.148.0,22,ru.mc;Mastercom LLC
ripencc,ipv4,2.57.184.0,22,ru.cloudlite;CloudLite LLC
ripencc,ipv4,2.58.68.0,22,"ru.selectel;OOO ""Network of data-centers ""Selectel"""
ripencc,ipv4,2.58.96.0,22,ru.tnet;Telenet LLC
ripencc,ipv4,2.58.124.0,22,n/a
ripencc,ipv4,2.59.40.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.59.48.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.59.76.0,22,ru.igkh;Inna Grigorevna Khoruzhaya
ripencc,ipv4,2.59.80.0,22,n/a
ripencc,ipv4,2.59.160.0,22,n/a
ripencc,ipv4,2.59.176.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.59.212.0,22,ru.lir;LIR LLC
ripencc,ipv4,2.59.216.0,22,n/a
ripencc,ipv4,2.59.240.0,22,"ru.a-siti;""A-Siti"" Limited Liability Company"
ripencc,ipv4,2.60.0.0,14,ru.rtk;PJSC Rostelecom
