region,ip,prefixlength,org
ripencc,2a0b:c0::,29,n/a
ripencc,2a02:888::,29,n/a
ripencc,2a02:9b0::,32,"sa.ettihadetisalat;Etihad Etisalat, a joint stock company"
ripencc,2a02:ce0::,32,"sa.ettihadetisalat;Etihad Etisalat, a joint stock company"
ripencc,2a02:d70::,32,sa.sahara;Sahara Network
ripencc,2a02:df0::,29,n/a
ripencc,2a02:fc0::,29,n/a
ripencc,2a0b:6c0::,29,sa.fastdata;FAST DATA COMPANY FOR TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY LIMITED LIABILITY
ripencc,2a0c:a40::,29,n/a
ripencc,2a10:800::,29,n/a
ripencc,2001:1490::,29,sa.kacst;King Abdul Aziz City for Science and Technology
ripencc,2001:16a0::,29,n/a
ripencc,2a00:1560::,32,sa.nournet;Company Nur For communications LLC
ripencc,2a00:1698::,32,sa.shabakah;Shabakah Net
ripencc,2a00:18f8::,32,sa.apptec;Applied Technologies Co.
ripencc,2a00:1918::,29,sa.ogertel;Middle East Internet Company Limited
ripencc,2a00:1ef8::,29,sa.atheer;Jeraisy Electronic services Ltd.
ripencc,2a00:1f20::,32,n/a
ripencc,2a00:50a0::,32,n/a
ripencc,2a00:5400::,32,n/a
ripencc,2a00:7680::,32,n/a
ripencc,2a00:7780::,32,n/a
ripencc,2a00:8820::,32,sa.sl-smartlink;AL KHALEEJ TRAINING AND EDUCATION Joint-Stock company
ripencc,2a00:b2e0::,32,sa.aljomaihauto-com;Al Jomaih Automotive Company Limited
ripencc,2a00:d7c0::,32,n/a
ripencc,2a00:f580::,32,sa.gulfnet;GulfNet KSA
ripencc,2a01:46a0::,32,sa.riymaaden;Saudi Arabian Mining Company (Ma'aden) JSC
ripencc,2a01:b4e0::,32,n/a
ripencc,2a02:24c8::,32,sa.inet;Integrated Networks Co.
ripencc,2a02:55a0::,32,n/a
ripencc,2a02:6d60::,32,sa.schem;Saudi Chevron Phillips LLC
ripencc,2a02:cb80::,29,sa.mtc;Mobile Telecommunication Company Saudi Arabia Joint-Stock company
ripencc,2a02:ea00::,29,n/a
ripencc,2a02:edc0::,29,sa.scmc;SAUDI STOCK EXCHANGE (TADAWUL)
ripencc,2a02:fa00::,29,sa.mda;Authority of Developing Al-Madinah Al-Munawarah
ripencc,2a03:11e0::,32,sa.detasad;Detecon Al Saudia Co. Ltd.
ripencc,2a03:4a60::,32,sa.advancedpetrochem;Advanced Petrochemical Company JSC
ripencc,2a03:77c0::,32,sa.sp;Saudi Post Corporation
ripencc,2a03:90e0::,32,n/a
ripencc,2a03:c080::,32,sa.gama;Global Arabian For Modern Applications LTD.
ripencc,2a03:e7c0::,32,sa.king-saud-university;King Saud University
ripencc,2a04:1680::,29,n/a
ripencc,2a04:9940::,29,sa.at;SEVEN EYES FOR MARKETING LTD
ripencc,2a04:aa80::,29,sa.srca;Saudi Red Crescent Authority
ripencc,2a04:cf80::,29,n/a
ripencc,2a04:d580::,29,sa.bralwafa;Her Highness Princess Wafaa Bint Bandar Bin Khaled Al Saud Foundation for Auto Spare Parts
ripencc,2a04:f1c0::,29,n/a
ripencc,2a05:3280::,29,n/a
ripencc,2a05:5100::,32,n/a
ripencc,2a05:78c0::,29,n/a
ripencc,2a05:9000::,29,n/a
ripencc,2a05:a2c0::,29,sa.saudipaper;Saudi Paper Manufacturing Company
ripencc,2a05:d7c0::,29,n/a
ripencc,2a06:3180::,29,n/a
ripencc,2a06:4d40::,29,sa.rpit;Mazen Abdul Wahab Ahmed Al-Dari trading as Establishment for Business Solutions and Information Technology
ripencc,2a06:59c0::,29,n/a
ripencc,2a06:8480::,29,sa.dzit;General Authority of ZAKAT & TAX
ripencc,2a07:1f80::,29,sa.nic-sdaia;NIC (National Information Center)- SDAIA ( Saudi Data and Artificial Intelligence Authority )
ripencc,2a07:4540::,29,sa.nesmaholding;NESMA HOLDING CO LLC
ripencc,2a07:7080::,29,sa.saudi;Saudi Electricity Company
ripencc,2a09:2640::,32,n/a
ripencc,2a0a:1700::,29,sa.amex;American Express Company (Saudi Arabia) PJS
ripencc,2a0a:18c0::,29,sa.almuhaidibandsons;Abdul Kadir Al-Muhaidib & Sons Company CJS
ripencc,2a0a:2800::,29,sa.al-rajhi;Al-Rajhi Banking and Investment Corporation
ripencc,2a0a:8c00::,29,n/a
ripencc,2a0a:9400::,29,n/a
ripencc,2a0a:9c00::,29,n/a
ripencc,2a0a:c480::,29,n/a
ripencc,2a0b:1940::,32,sa.taqniaspace;TAQNIA SPACE CO.
ripencc,2a0b:1f40::,29,n/a
ripencc,2a0c:9100::,29,n/a
ripencc,2a0c:cfc0::,29,n/a
ripencc,2a0d:e880::,29,n/a
ripencc,2a0f:6ec0::,29,n/a
ripencc,2a10:1600::,29,n/a
ripencc,2a10:1700::,29,n/a
ripencc,2a12:7dc0::,29,n/a
ripencc,2a12:8ec0::,29,n/a
ripencc,2a12:f940::,29,sa.circlys;Information technology savings circles closed joint stock
ripencc,2a13:2400::,29,sa.sitco;Saudi Information Technology Company Ltd
