region,version,ip,prefixlength
apnic,ipv4,103.78.107.0,24
apnic,ipv6,2001:df3:3500::,48
ripencc,ipv4,62.182.0.0,21
ripencc,ipv4,62.182.216.0,21
ripencc,ipv4,77.80.128.0,17
ripencc,ipv4,81.88.0.0,20
ripencc,ipv4,81.186.240.0,20
ripencc,ipv4,82.115.192.0,20
ripencc,ipv4,83.142.0.0,21
ripencc,ipv4,83.243.24.0,21
ripencc,ipv4,85.188.64.0,18
ripencc,ipv4,85.188.128.0,18
ripencc,ipv4,91.90.24.0,21
ripencc,ipv4,91.189.40.0,21
ripencc,ipv4,91.192.28.0,22
ripencc,ipv4,91.192.112.0,22
ripencc,ipv4,91.192.252.0,22
ripencc,ipv4,91.194.22.0,23
ripencc,ipv4,91.194.26.0,24
ripencc,ipv4,91.194.38.0,23
ripencc,ipv4,91.194.66.0,23
ripencc,ipv4,91.194.186.0,23
ripencc,ipv4,91.195.32.0,23
ripencc,ipv4,91.195.76.0,23
ripencc,ipv4,91.195.154.0,23
ripencc,ipv4,91.195.224.0,23
ripencc,ipv4,91.196.240.0,22
ripencc,ipv4,91.198.22.0,24
ripencc,ipv4,91.198.92.0,24
ripencc,ipv4,91.198.95.0,24
ripencc,ipv4,91.198.135.0,24
ripencc,ipv4,91.198.164.0,24
ripencc,ipv4,91.198.193.0,24
ripencc,ipv4,91.198.202.0,24
ripencc,ipv4,91.198.223.0,24
ripencc,ipv4,91.199.64.0,24
ripencc,ipv4,91.199.68.0,24
ripencc,ipv4,91.199.238.0,24
ripencc,ipv4,91.200.152.0,22
ripencc,ipv4,91.201.60.0,22
ripencc,ipv4,91.201.92.0,22
ripencc,ipv4,91.202.156.0,22
ripencc,ipv4,91.203.40.0,22
ripencc,ipv4,91.203.160.0,22
ripencc,ipv4,91.204.0.0,22
ripencc,ipv4,91.205.60.0,22
ripencc,ipv4,91.206.174.0,23
ripencc,ipv4,91.207.80.0,23
ripencc,ipv4,91.207.112.0,23
ripencc,ipv4,91.208.2.0,24
ripencc,ipv4,91.208.81.0,24
ripencc,ipv4,91.208.103.0,24
ripencc,ipv4,91.208.174.0,24
ripencc,ipv4,91.208.188.0,24
ripencc,ipv4,91.208.221.0,24
ripencc,ipv4,91.209.0.0,24
ripencc,ipv4,91.209.232.0,24
ripencc,ipv4,91.209.240.0,24
ripencc,ipv4,91.210.60.0,22
ripencc,ipv4,91.211.168.0,22
ripencc,ipv4,91.212.188.0,24
ripencc,ipv4,91.212.207.0,24
ripencc,ipv4,91.212.209.0,24
ripencc,ipv4,91.212.228.0,24
ripencc,ipv4,91.213.0.0,24
ripencc,ipv4,91.213.179.0,24
ripencc,ipv4,91.213.246.0,24
ripencc,ipv4,91.213.250.0,24
ripencc,ipv4,91.216.0.0,24
ripencc,ipv4,91.216.7.0,24
ripencc,ipv4,91.216.24.0,24
ripencc,ipv4,91.216.32.0,24
ripencc,ipv4,91.216.62.0,24
ripencc,ipv4,91.216.65.0,24
ripencc,ipv4,91.216.111.0,24
ripencc,ipv4,91.217.181.0,24
ripencc,ipv4,91.217.186.0,24
ripencc,ipv4,91.217.189.0,24
ripencc,ipv4,91.217.209.0,24
ripencc,ipv4,91.219.216.0,22
ripencc,ipv4,91.220.19.0,24
ripencc,ipv4,91.220.47.0,24
ripencc,ipv4,91.220.58.0,24
ripencc,ipv4,91.220.98.0,24
ripencc,ipv4,91.220.117.0,24
ripencc,ipv4,91.220.150.0,24
ripencc,ipv4,91.220.192.0,24
ripencc,ipv4,91.220.227.0,24
ripencc,ipv4,91.220.254.0,24
ripencc,ipv4,91.223.47.0,24
ripencc,ipv4,91.223.51.0,24
ripencc,ipv4,91.223.92.0,24
ripencc,ipv4,91.223.219.0,24
ripencc,ipv4,91.223.231.0,24
ripencc,ipv4,91.223.232.0,24
ripencc,ipv4,91.224.36.0,23
ripencc,ipv4,91.224.244.0,23
ripencc,ipv4,91.226.36.0,23
ripencc,ipv4,91.226.118.0,24
ripencc,ipv4,91.226.119.0,24
ripencc,ipv4,91.226.144.0,23
ripencc,ipv4,91.226.180.0,24
ripencc,ipv4,91.227.49.0,24
ripencc,ipv4,91.227.186.0,24
ripencc,ipv4,91.227.208.0,24
ripencc,ipv4,91.228.90.0,24
ripencc,ipv4,91.228.193.0,24
ripencc,ipv4,91.228.194.0,23
ripencc,ipv4,91.229.141.0,24
ripencc,ipv4,91.230.78.0,24
ripencc,ipv4,91.230.108.0,23
ripencc,ipv4,91.230.126.0,23
ripencc,ipv4,91.230.128.0,22
ripencc,ipv4,91.230.132.0,24
ripencc,ipv4,91.231.63.0,24
ripencc,ipv4,91.231.153.0,24
ripencc,ipv4,91.232.59.0,24
ripencc,ipv4,91.232.60.0,23
ripencc,ipv4,91.233.50.0,24
ripencc,ipv4,91.234.240.0,24
ripencc,ipv4,91.236.29.0,24
ripencc,ipv4,91.236.207.0,24
ripencc,ipv4,91.236.208.0,23
ripencc,ipv4,91.236.212.0,24
ripencc,ipv4,91.237.66.0,23
ripencc,ipv4,91.237.90.0,24
ripencc,ipv4,91.237.95.0,24
ripencc,ipv4,91.237.106.0,24
ripencc,ipv4,91.237.191.0,24
ripencc,ipv4,91.238.51.0,24
ripencc,ipv4,91.239.188.0,23
ripencc,ipv4,91.239.216.0,23
ripencc,ipv4,91.239.255.0,24
ripencc,ipv4,91.240.194.0,24
ripencc,ipv4,91.240.252.0,23
ripencc,ipv4,109.197.0.0,21
ripencc,ipv4,109.197.160.0,23
ripencc,ipv4,129.16.0.0,16
ripencc,ipv4,129.178.0.0,16
ripencc,ipv4,130.28.0.0,16
ripencc,ipv4,130.100.0.0,16
ripencc,ipv4,130.229.0.0,16
ripencc,ipv4,130.235.0.0,16
ripencc,ipv4,130.236.0.0,16
ripencc,ipv4,130.237.0.0,16
ripencc,ipv4,130.238.0.0,16
ripencc,ipv4,130.239.0.0,16
ripencc,ipv4,130.240.0.0,16
ripencc,ipv4,130.241.0.0,16
ripencc,ipv4,130.242.0.0,15
ripencc,ipv4,130.244.0.0,16
ripencc,ipv4,131.97.0.0,16
ripencc,ipv4,131.205.0.0,16
ripencc,ipv4,132.196.0.0,16
ripencc,ipv4,134.25.0.0,16
ripencc,ipv4,134.138.0.0,16
ripencc,ipv4,136.155.0.0,16
ripencc,ipv4,136.163.0.0,16
ripencc,ipv4,137.58.0.0,16
ripencc,ipv4,137.60.0.0,16
ripencc,ipv4,137.61.0.0,16
ripencc,ipv4,138.3.0.0,16
ripencc,ipv4,138.6.0.0,16
ripencc,ipv4,138.14.0.0,16
ripencc,ipv4,138.103.0.0,16
