region,version,ip,prefixlength
apnic,ipv4,43.228.212.0,22
apnic,ipv4,43.242.184.0,22
apnic,ipv4,45.112.76.0,22
apnic,ipv4,45.116.88.0,22
apnic,ipv4,45.125.196.0,22
apnic,ipv4,45.126.60.0,22
apnic,ipv4,45.126.164.0,22
apnic,ipv4,45.127.32.0,22
apnic,ipv4,45.127.168.0,22
apnic,ipv4,103.4.114.0,23
apnic,ipv4,103.4.232.0,24
apnic,ipv4,103.5.151.0,24
apnic,ipv4,103.5.199.0,24
apnic,ipv4,103.6.106.0,23
apnic,ipv4,103.7.124.0,22
apnic,ipv4,103.8.30.0,23
apnic,ipv4,103.8.120.0,24
apnic,ipv4,103.8.212.0,23
apnic,ipv4,103.10.220.0,23
apnic,ipv4,103.11.143.0,24
apnic,ipv4,103.11.150.0,23
apnic,ipv4,103.11.188.0,22
apnic,ipv4,103.11.200.0,22
apnic,ipv4,103.12.2.0,24
apnic,ipv4,103.12.210.0,24
apnic,ipv4,103.14.185.0,24
apnic,ipv4,103.15.227.0,24
apnic,ipv4,103.16.16.0,22
apnic,ipv4,103.16.102.0,23
apnic,ipv4,103.19.20.0,22
apnic,ipv4,103.19.82.0,23
apnic,ipv4,103.20.59.0,24
apnic,ipv4,103.20.217.0,24
apnic,ipv4,103.21.80.0,24
apnic,ipv4,103.21.81.0,24
apnic,ipv4,103.24.44.0,23
apnic,ipv4,103.24.77.0,24
apnic,ipv4,103.24.156.0,22
apnic,ipv4,103.25.52.0,24
apnic,ipv4,103.28.54.0,23
apnic,ipv4,103.30.121.0,24
apnic,ipv4,103.30.215.0,24
apnic,ipv4,103.31.24.0,23
apnic,ipv4,103.35.91.0,24
apnic,ipv4,103.37.196.0,22
apnic,ipv4,103.38.72.0,22
apnic,ipv4,103.39.7.0,24
apnic,ipv4,103.39.42.0,23
apnic,ipv4,103.41.12.0,22
apnic,ipv4,103.44.68.0,22
apnic,ipv4,103.44.220.0,24
apnic,ipv4,103.47.224.0,22
apnic,ipv4,103.47.232.0,24
apnic,ipv4,103.47.244.0,24
apnic,ipv4,103.51.160.0,22
