region,ip,prefixlength,org
apnic,2400:52e0::,32,n/a
ripencc,2a02:e8::,29,n/a
ripencc,2a00:ee0::,29,n/a
ripencc,2a00:fc0::,32,si.mmtc;Telemach d.o.o.
ripencc,2a01:260::,29,"si.t-2;T-2, d.o.o."
ripencc,2a01:658::,32,si.nml;Persolvo d.o.o.
ripencc,2a02:7a8::,32,n/a
ripencc,2a02:800::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a02:840::,32,si.mmtc;Telemach d.o.o.
ripencc,2a02:d68::,29,si.sgn;SGN d.o.o.
ripencc,2a02:d80::,29,n/a
ripencc,2a02:d90::,29,n/a
ripencc,2a02:e20::,29,n/a
ripencc,2a0d:b80::,32,si.ixtlanteam;Ixtlan Team d.o.o.
ripencc,2001:1470::,29,si.arnes;ARNES
ripencc,2001:1590::,32,si.monotek;Monotek d.o.o.
ripencc,2001:15c0::,29,n/a
ripencc,2001:1688::,29,si.bone;Telemach UG d.o.o.
ripencc,2a00:1368::,32,"si.lt-fe;University of Ljubljana, Faculty of Electrical Engineering"
ripencc,2a00:13d8::,29,si.mmtc;Telemach d.o.o.
ripencc,2a00:1420::,32,n/a
ripencc,2a00:1600::,29,si.uni-mb;Univerza v Mariboru
ripencc,2a00:1a20::,29,n/a
ripencc,2a00:1c80::,29,si.mmtc;Telemach d.o.o.
ripencc,2a00:1da8::,32,n/a
ripencc,2a00:7360::,32,n/a
ripencc,2a00:a360::,29,n/a
ripencc,2a00:b2a0::,32,si.mmtc;Telemach d.o.o.
ripencc,2a00:d440::,29,n/a
ripencc,2a00:d840::,32,n/a
ripencc,2a00:f000::,32,"si.akson;AKSON, poslovno in informacijsko svetovanje, d.o.o."
ripencc,2a01:9040::,32,si.itars;ITARS informacijske tehnologije d.o.o.
ripencc,2a01:9ce0::,32,si.posita;Posta Slovenije d.o.o.
ripencc,2a01:b4a0::,32,n/a
ripencc,2a02:2230::,32,n/a
ripencc,2a02:23d0::,32,n/a
ripencc,2a02:2590::,32,si.kateng;Zavod Kabelska televizija Nova gorica
ripencc,2a02:28b0::,29,"si.siel;SIEL, INFORMACIJSKE RESITVE, D.O.O."
ripencc,2a02:64a0::,32,si.elta;ELTA TELEKOMUNIKACIJE d.o.o.
ripencc,2a02:7000::,29,si.abak;RETIP Informacijske Storitve d.o.o.
ripencc,2a02:71e0::,32,si.dspot;Dspot d.o.o.
ripencc,2a03:8d60::,32,n/a
ripencc,2a03:a100::,32,"si.xenya;XENYA inzeniring, proizvodnja in trgovina, d.o.o. Ljubljana"
ripencc,2a03:c800::,32,n/a
ripencc,2a03:e180::,32,si.freenet;FREENET internet d.o.o.
ripencc,2a03:f800::,32,"si.t-2;T-2, d.o.o."
ripencc,2a04:59c0::,29,n/a
ripencc,2a04:8a80::,29,n/a
ripencc,2a04:9400::,29,si.nfstelecom;PHAETON PLUS d.o.o
ripencc,2a04:db40::,29,si.cres;Comtrade nepremicnine d.o.o.
ripencc,2a04:dd40::,29,"si.siel;SIEL, INFORMACIJSKE RESITVE, D.O.O."
ripencc,2a05:2280::,29,si.hitrost;Hitrost.com Internet Storitve d.o.o.
ripencc,2a05:33c0::,29,n/a
ripencc,2a05:4940::,29,si.innova;Innova Media d.o.o.
ripencc,2a05:7740::,29,si.ktvravne;Kabelska televizija Ravne d.o.o.
ripencc,2a05:acc0::,29,si.mmtc;Telemach d.o.o.
ripencc,2a06:ab40::,29,n/a
ripencc,2a06:c180::,29,n/a
ripencc,2a06:f940::,29,n/a
ripencc,2a07:8b80::,30,n/a
ripencc,2a09:29c0::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a09:37c0::,29,n/a
ripencc,2a09:8940::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a09:c080::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a09:e140::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0b:15c0::,29,n/a
ripencc,2a0b:4e80::,29,si.stork;STORK R d.o.o.
ripencc,2a0b:c300::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0d:cec0::,29,n/a
ripencc,2a0e:1e80::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0e:2e00::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0e:ce40::,29,n/a
ripencc,2a0f:2180::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0f:4fc0::,29,n/a
ripencc,2a0f:7840::,29,n/a
ripencc,2a0f:a6c0::,29,si.softnet;SOFTNET d.o.o.
ripencc,2a0f:c0c0::,29,n/a
ripencc,2a10:8100::,29,"si.triksera;Triksera, druzba za nove tehnologije, d.o.o."
ripencc,2a11:d580::,29,n/a
ripencc,2a12:ae80::,29,n/a
ripencc,2a13:6b40::,29,"si.bass;BASS d.o.o., Celje"
ripencc,2a13:f400::,29,"si.rs-resitve;ROK TAJZEL trading as RS-RESITVE, INFORMACIJSKE STORITVE"
