region,ip,prefixlength,org
afrinic,41.78.72.0,22,n/a
afrinic,41.79.196.0,22,n/a
afrinic,41.223.108.0,22,n/a
afrinic,102.38.48.0,22,n/a
afrinic,102.68.16.0,22,n/a
afrinic,102.128.128.0,21,n/a
afrinic,102.141.196.0,22,n/a
afrinic,102.214.168.0,22,n/a
afrinic,102.218.10.0,23,n/a
afrinic,102.218.56.0,22,n/a
afrinic,102.218.98.0,24,n/a
afrinic,102.220.40.0,22,n/a
afrinic,102.223.188.0,22,n/a
afrinic,154.72.24.0,22,n/a
afrinic,154.72.48.0,22,n/a
afrinic,154.73.24.0,22,n/a
afrinic,154.73.44.0,22,n/a
afrinic,154.73.124.0,22,n/a
afrinic,154.115.192.0,18,n/a
afrinic,154.118.240.0,22,n/a
afrinic,192.145.168.0,21,n/a
afrinic,197.157.244.0,22,n/a
afrinic,197.220.64.0,19,n/a
afrinic,197.231.200.0,22,n/a
