region,version,ip,prefixlength
lacnic,ipv4,45.5.12.0,24
lacnic,ipv4,45.173.56.0,22
lacnic,ipv4,168.232.48.0,22
lacnic,ipv4,168.243.0.0,16
lacnic,ipv4,179.0.12.0,23
lacnic,ipv4,200.0.180.0,24
lacnic,ipv4,200.11.31.0,24
lacnic,ipv4,200.12.172.0,23
lacnic,ipv4,200.12.174.0,24
lacnic,ipv4,200.33.51.0,24
lacnic,ipv4,201.131.42.0,24
lacnic,ipv4,201.131.110.0,23
lacnic,ipv4,201.131.122.0,23
lacnic,ipv4,201.182.24.0,22
lacnic,ipv6,2800:90::,32
lacnic,ipv6,2801:17:800::,48
lacnic,ipv6,2801:10:b000::,48
lacnic,ipv6,2801:12:6000::,48
lacnic,ipv6,2801:13:8000::,48
lacnic,ipv6,2801:15:1000::,48
lacnic,ipv6,2801:15:6000::,48
lacnic,ipv6,2801:1c:3000::,44
lacnic,ipv6,2801:1e:9000::,48
lacnic,ipv6,2801:1e:e000::,48
