region,ip,prefixlength,org
ripencc,2a01:5d60::,29,n/a
ripencc,2a09:3980::,32,"tj.amonatbonk;State Saving Bank of the Republic of Tajikistan ""Amonatbonk"""
ripencc,2a0a:2980::,29,"tj.tojiktelecom;Opened Joint Stock Company ""Tojiktelecom"""
ripencc,2a0a:7500::,32,n/a
ripencc,2a0b:3340::,29,n/a
ripencc,2a0b:6bc0::,29,n/a
ripencc,2a0b:ae80::,32,tj.tarena;Tajik Academician Research and Educational Network Association
ripencc,2a0c:d5c0::,29,tj.oshnogroup;Oshno group LLC
ripencc,2a0f:ad80::,29,tj.ojscmicrocredit;OJSC Alif Bank
ripencc,2a12:cec0::,29,tj.babilon;LLC Babilon-T
ripencc,2a13:1b00::,29,n/a
