region,version,ip,prefixlength
afrinic,ipv4,41.62.0.0,16
afrinic,ipv4,41.224.0.0,13
afrinic,ipv4,102.24.0.0,13
afrinic,ipv4,102.104.0.0,13
afrinic,ipv4,102.128.0.0,18
afrinic,ipv4,102.152.0.0,14
afrinic,ipv4,102.156.0.0,14
afrinic,ipv4,102.168.0.0,13
afrinic,ipv4,102.215.218.0,23
afrinic,ipv4,102.217.168.0,22
afrinic,ipv4,102.217.210.0,24
afrinic,ipv4,102.219.112.0,22
afrinic,ipv4,102.219.164.0,22
afrinic,ipv4,102.219.176.0,22
afrinic,ipv4,102.221.128.0,22
afrinic,ipv4,102.240.0.0,14
afrinic,ipv4,154.72.224.0,20
afrinic,ipv4,154.104.0.0,13
afrinic,ipv4,160.156.0.0,14
afrinic,ipv4,164.160.0.0,22
afrinic,ipv4,165.50.0.0,15
afrinic,ipv4,169.255.68.0,22
afrinic,ipv4,193.95.0.0,17
afrinic,ipv4,196.176.0.0,14
afrinic,ipv4,196.184.0.0,14
afrinic,ipv4,196.203.0.0,16
afrinic,ipv4,196.224.0.0,12
afrinic,ipv4,197.0.0.0,11
afrinic,ipv4,197.238.0.0,16
afrinic,ipv4,197.240.0.0,16
afrinic,ipv4,197.244.0.0,16
afrinic,ipv4,213.150.160.0,19
afrinic,ipv6,2001:4350::,32
afrinic,ipv6,2c0f:4280::,32
afrinic,ipv6,2c0f:ec90::,32
afrinic,ipv6,2c0f:f290::,32
afrinic,ipv6,2c0f:f3a0::,32
afrinic,ipv6,2c0f:f5f8::,32
afrinic,ipv6,2c0f:f698::,32
afrinic,ipv6,2c0f:f7c8::,32
afrinic,ipv6,2c0f:fab0::,28
ripencc,ipv4,91.198.207.0,24
ripencc,ipv4,193.39.113.0,24
ripencc,ipv4,193.105.15.0,24
ripencc,ipv4,193.218.123.0,24
