region,ip,prefixlength
apnic,2001:dc1::,32
apnic,2001:de4::,48
apnic,2001:7fa:1::,48
apnic,2001:dd8:18::,48
apnic,2001:df1:940::,48
apnic,2001:df0:4e00::,48
apnic,2001:df0:bf40::,48
apnic,2001:df2:5480::,48
apnic,2001:df2:7580::,48
apnic,2001:df3:6e00::,48
apnic,2001:df4:8a00::,48
apnic,2001:df4:9d00::,48
apnic,2001:df5:8f00::,48
apnic,2001:df6:3f80::,48
apnic,2001:df6:4780::,48
apnic,2001:df6:c480::,48
ripencc,2001:678:988::,48
ripencc,2001:678:fb8::,48
ripencc,2001:67c:2800::,48
ripencc,2001:67c:2be8::,48
