region,ip,prefixlength
afrinic,2001:43f8::,48
afrinic,2001:43f8:1::,48
afrinic,2001:43f8:2::,48
afrinic,2001:43f8:3::,48
afrinic,2001:43f8:4::,48
afrinic,2001:43f8:5::,48
afrinic,2001:43f8:6::,48
afrinic,2001:43f8:e0::,48
afrinic,2001:43f8:330::,48
afrinic,2001:43f8:610::,48
afrinic,2001:43f8:611::,48
afrinic,2001:43f8:680::,48
afrinic,2001:43f8:b80::,48
afrinic,2001:43f8:ce0::,48
afrinic,2001:43f8:1080::,48
afrinic,2001:43f8:1390::,48
afrinic,2001:43f8:14d0::,48
afrinic,2001:43fc:2000::,48
afrinic,2001:43fd:e000::,48
afrinic,2001:43ff:2000::,48
