region,version,ip,prefixlength,org
afrinic,ipv4,41.75.160.0,20,n/a
afrinic,ipv4,41.75.176.0,20,n/a
afrinic,ipv4,41.77.72.0,21,n/a
afrinic,ipv4,41.84.192.0,19,n/a
afrinic,ipv4,41.138.208.0,20,n/a
afrinic,ipv4,41.191.76.0,22,n/a
afrinic,ipv4,41.202.224.0,19,n/a
afrinic,ipv4,41.210.128.0,18,n/a
afrinic,ipv4,41.217.232.0,21,n/a
afrinic,ipv4,41.220.0.0,20,n/a
afrinic,ipv4,41.220.208.0,20,n/a
afrinic,ipv4,41.221.80.0,20,n/a
afrinic,ipv4,41.223.84.0,22,n/a
afrinic,ipv4,45.221.8.0,22,n/a
afrinic,ipv4,45.221.72.0,21,n/a
afrinic,ipv4,102.34.0.0,16,n/a
afrinic,ipv4,102.36.216.0,21,n/a
afrinic,ipv4,102.68.172.0,22,n/a
afrinic,ipv4,102.80.0.0,13,n/a
afrinic,ipv4,102.134.140.0,22,n/a
afrinic,ipv4,102.214.148.0,22,n/a
afrinic,ipv4,102.215.44.0,22,n/a
afrinic,ipv4,102.215.108.0,22,n/a
afrinic,ipv4,102.215.164.0,22,n/a
afrinic,ipv4,102.216.144.0,22,n/a
afrinic,ipv4,102.216.148.0,22,n/a
afrinic,ipv4,102.217.52.0,23,n/a
afrinic,ipv4,102.217.56.0,22,n/a
afrinic,ipv4,102.218.36.0,22,n/a
afrinic,ipv4,102.218.88.0,22,n/a
afrinic,ipv4,102.218.108.0,22,n/a
afrinic,ipv4,102.219.72.0,23,n/a
afrinic,ipv4,102.219.100.0,22,n/a
afrinic,ipv4,102.220.92.0,22,n/a
afrinic,ipv4,102.220.156.0,23,n/a
afrinic,ipv4,102.222.68.0,22,n/a
afrinic,ipv4,102.222.152.0,22,n/a
afrinic,ipv4,102.222.232.0,22,n/a
afrinic,ipv4,102.223.88.0,22,n/a
afrinic,ipv4,102.223.136.0,22,n/a
afrinic,ipv4,102.223.216.0,22,n/a
afrinic,ipv4,129.205.0.0,19,n/a
afrinic,ipv4,137.63.128.0,17,n/a
afrinic,ipv4,154.0.128.0,20,n/a
afrinic,ipv4,154.66.216.0,22,n/a
afrinic,ipv4,154.72.16.0,22,n/a
afrinic,ipv4,154.72.192.0,19,n/a
afrinic,ipv4,154.224.0.0,13,n/a
afrinic,ipv4,160.119.148.0,22,n/a
afrinic,ipv4,160.242.128.0,18,n/a
afrinic,ipv4,164.160.4.0,22,n/a
afrinic,ipv4,196.0.0.0,16,n/a
afrinic,ipv4,196.43.128.0,18,n/a
afrinic,ipv4,197.157.0.0,18,n/a
afrinic,ipv4,197.221.128.0,19,n/a
afrinic,ipv4,197.239.0.0,18,n/a
afrinic,ipv4,212.88.96.0,19,n/a
afrinic,ipv6,2c0f:3d00::,32,n/a
afrinic,ipv6,2c0f:4b00::,32,n/a
afrinic,ipv6,2c0f:7a80::,32,n/a
afrinic,ipv6,2c0f:e910::,32,n/a
afrinic,ipv6,2c0f:e950::,32,n/a
afrinic,ipv6,2c0f:ebe0::,32,n/a
afrinic,ipv6,2c0f:efb8::,32,n/a
afrinic,ipv6,2c0f:f200::,32,n/a
afrinic,ipv6,2c0f:f658::,32,n/a
afrinic,ipv6,2c0f:f6d0::,32,n/a
afrinic,ipv6,2c0f:f750::,32,n/a
afrinic,ipv6,2c0f:fb00::,32,n/a
afrinic,ipv6,2c0f:fbc8::,32,n/a
afrinic,ipv6,2c0f:fd60::,32,n/a
afrinic,ipv6,2c0f:fdb8::,32,n/a
afrinic,ipv6,2c0f:fe10::,32,n/a
afrinic,ipv6,2c0f:fec0::,32,n/a
afrinic,ipv6,2c0f:ff98::,32,n/a
afrinic,ipv6,2c0f:ffa0::,32,n/a
arin,ipv4,216.104.192.0,20,n/a
