region,version,ip,prefixlength
afrinic,ipv4,80.88.2.0,24
afrinic,ipv4,102.68.124.0,24
afrinic,ipv4,102.134.144.0,21
afrinic,ipv4,102.164.120.0,24
afrinic,ipv4,102.214.190.0,24
afrinic,ipv4,102.215.94.0,24
afrinic,ipv4,102.217.209.0,24
afrinic,ipv4,102.220.21.0,24
afrinic,ipv4,102.220.200.0,22
afrinic,ipv4,102.222.74.0,23
afrinic,ipv4,102.223.248.0,24
afrinic,ipv4,193.108.214.0,24
afrinic,ipv4,193.108.252.0,22
afrinic,ipv4,196.10.119.0,24
afrinic,ipv4,196.10.138.0,23
afrinic,ipv4,196.10.228.0,24
afrinic,ipv4,196.13.122.0,24
afrinic,ipv4,196.43.226.0,24
afrinic,ipv4,196.49.15.0,24
afrinic,ipv4,196.49.82.0,24
afrinic,ipv4,196.60.82.0,24
afrinic,ipv4,196.216.176.0,22
afrinic,ipv4,196.223.25.0,24
afrinic,ipv6,2001:43ff::,48
afrinic,ipv6,2001:43f8:130::,48
afrinic,ipv6,2001:43f8:a30::,48
afrinic,ipv6,2001:43f8:ad0::,48
afrinic,ipv6,2001:43f8:d40::,48
afrinic,ipv6,2001:43f8:1320::,48
afrinic,ipv6,2001:43f8:1370::,48
