region,ip,prefixlength
apnic,2001:df1:ec0::,48
apnic,2001:df3:800::,44
apnic,2001:df3:810::,44
apnic,2001:df0:2e40::,48
apnic,2001:df0:34c0::,48
apnic,2001:df0:6f40::,48
apnic,2001:df0:7840::,48
apnic,2001:df0:a540::,48
apnic,2001:df1:6e80::,48
apnic,2001:df1:7780::,48
apnic,2001:df1:7f40::,48
apnic,2001:df1:81c0::,48
apnic,2001:df1:b2c0::,48
apnic,2001:df1:e300::,48
apnic,2001:df1:e301::,48
apnic,2001:df1:e302::,47
apnic,2001:df1:e304::,46
apnic,2001:df2:a300::,48
apnic,2001:df2:e500::,48
apnic,2001:df2:fc80::,48
apnic,2001:df3:4b00::,48
apnic,2001:df3:8880::,48
apnic,2001:df3:b580::,48
apnic,2001:df3:da00::,48
apnic,2001:df5:4100::,48
apnic,2001:df5:a980::,48
ripencc,2001:7f8:2::,48
ripencc,2001:7f8:fd::,48
ripencc,2001:678:284::,48
ripencc,2001:678:34c::,48
ripencc,2001:678:5e4::,48
ripencc,2001:678:be8::,48
ripencc,2001:678:c18::,48
ripencc,2001:678:cdc::,48
ripencc,2001:678:f3c::,48
ripencc,2001:678:f68::,48
ripencc,2001:67c:3a0::,48
ripencc,2001:67c:81c::,48
ripencc,2001:67c:930::,48
ripencc,2001:67c:a0c::,48
ripencc,2001:67c:b38::,48
ripencc,2001:67c:b3c::,48
ripencc,2001:67c:b88::,48
ripencc,2001:67c:b8c::,48
ripencc,2001:67c:b90::,48
ripencc,2001:7f8:132::,48
ripencc,2001:67c:114c::,48
ripencc,2001:67c:25f8::,48
ripencc,2001:67c:272c::,48
ripencc,2001:67c:2778::,48
