region,version,ip,prefixlength,org
ripencc,ipv4,5.133.120.0,22,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,37.110.208.0,21,uz.unitel;UNITEL LLC
ripencc,ipv4,45.9.228.0,22,uz.citynet;CityNet LTD
ripencc,ipv4,45.91.220.0,22,uz.turonmedia;Turon Media XK
ripencc,ipv4,45.150.24.0,22,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,46.227.120.0,21,n/a
ripencc,ipv4,46.255.64.0,21,uz.sharq-telekom;Sharq Telekom CJSC
ripencc,ipv4,62.209.128.0,19,n/a
ripencc,ipv4,80.80.208.0,20,n/a
ripencc,ipv4,81.95.224.0,20,n/a
ripencc,ipv4,82.215.66.0,23,n/a
ripencc,ipv4,82.215.68.0,23,n/a
ripencc,ipv4,82.215.72.0,22,n/a
ripencc,ipv4,82.215.77.0,24,n/a
ripencc,ipv4,82.215.78.0,23,n/a
ripencc,ipv4,82.215.80.0,22,n/a
ripencc,ipv4,82.215.85.0,24,n/a
ripencc,ipv4,82.215.86.0,23,n/a
ripencc,ipv4,82.215.88.0,21,n/a
ripencc,ipv4,82.215.96.0,20,uz.turonmedia;Turon Media XK
ripencc,ipv4,82.215.112.0,20,n/a
ripencc,ipv4,83.69.128.0,19,n/a
ripencc,ipv4,83.221.160.0,19,uz.sharq-telekom;Sharq Telekom CJSC
ripencc,ipv4,83.222.6.0,23,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,84.54.64.0,18,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,86.62.0.0,22,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,87.237.232.0,21,n/a
ripencc,ipv4,89.104.102.0,24,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,89.146.64.0,18,n/a
ripencc,ipv4,89.223.3.0,24,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,89.236.192.0,18,n/a
ripencc,ipv4,89.249.60.0,22,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,90.156.160.0,21,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,90.156.192.0,21,"uz.uztelecom;""Uzbektelekom"" Joint Stock Company"
ripencc,ipv4,91.188.128.0,19,"uz.ars-inform;ISP ""Ars-Inform"""
