region,ip,prefixlength
ripencc,2a02:a98::,32
ripencc,2a02:f10::,32
ripencc,2a03:540::,32
ripencc,2a00:8840::,29
ripencc,2a02:c8c0::,29
ripencc,2a02:f7c0::,29
ripencc,2a03:1020::,32
ripencc,2a03:3240::,32
ripencc,2a03:46e0::,32
ripencc,2a03:8ee0::,32
ripencc,2a04:1b80::,32
ripencc,2a05:45c0::,29
ripencc,2a07:edc0::,29
ripencc,2a09:5c00::,29
ripencc,2a09:6700::,29
ripencc,2a09:adc0::,29
ripencc,2a09:c040::,29
ripencc,2a09:f380::,29
ripencc,2a0b:1c80::,29
ripencc,2a0b:4f80::,29
ripencc,2a0b:9540::,29
ripencc,2a0c:5d80::,29
ripencc,2a0c:fd40::,29
ripencc,2a0d:d140::,29
ripencc,2a0e:17c0::,29
ripencc,2a0e:9f00::,29
ripencc,2a0f:7f40::,29
ripencc,2a0f:f440::,32
ripencc,2a10:8ec0::,32
ripencc,2a12:5080::,29
ripencc,2a12:6b40::,29
ripencc,2a13:f100::,29
