region,version,ip,prefixlength
ripencc,ipv4,31.40.24.0,22
ripencc,ipv4,31.40.28.0,22
ripencc,ipv4,31.135.208.0,21
ripencc,ipv4,91.90.216.0,22
ripencc,ipv4,91.196.76.0,23
ripencc,ipv4,91.196.78.0,23
ripencc,ipv4,91.203.172.0,22
ripencc,ipv4,91.204.236.0,22
ripencc,ipv4,91.212.89.0,24
ripencc,ipv4,91.212.124.0,24
ripencc,ipv4,91.212.180.0,24
ripencc,ipv4,91.213.31.0,24
ripencc,ipv4,91.227.14.0,23
ripencc,ipv4,91.229.160.0,22
ripencc,ipv4,91.229.164.0,23
ripencc,ipv4,91.231.56.0,22
ripencc,ipv4,91.234.218.0,23
ripencc,ipv4,91.240.12.0,22
ripencc,ipv4,93.157.58.0,24
ripencc,ipv4,94.158.48.0,20
ripencc,ipv4,94.232.24.0,22
ripencc,ipv4,109.207.240.0,20
ripencc,ipv4,178.216.128.0,21
ripencc,ipv4,178.218.200.0,21
ripencc,ipv4,185.0.23.0,24
ripencc,ipv4,185.1.250.0,24
ripencc,ipv4,193.27.206.0,23
ripencc,ipv4,193.107.16.0,22
ripencc,ipv4,195.69.188.0,22
ripencc,ipv4,195.88.214.0,23
ripencc,ipv4,195.211.180.0,22
ripencc,ipv6,2001:678:188::,48
ripencc,ipv6,2001:678:c3c::,48
ripencc,ipv6,2001:7f8:110::,48
ripencc,ipv6,2001:7f8:131::,48
