region,ip,prefixlength,org
apnic,45.253.248.0,21,n/a
apnic,103.144.140.0,23,n/a
arin,23.130.224.0,24,n/a
arin,23.136.96.0,24,n/a
arin,23.137.112.0,24,n/a
arin,23.189.176.0,24,n/a
arin,66.81.192.0,20,n/a
arin,68.65.216.0,23,n/a
arin,72.46.24.0,22,n/a
arin,74.113.104.0,22,n/a
arin,98.158.96.0,20,n/a
arin,104.219.72.0,22,n/a
arin,104.245.88.0,22,n/a
arin,104.254.96.0,23,n/a
arin,104.254.124.0,22,n/a
arin,142.54.20.0,22,n/a
arin,161.199.207.0,24,n/a
arin,161.199.208.0,24,n/a
arin,162.210.68.0,23,n/a
arin,162.218.24.0,22,n/a
arin,162.222.224.0,24,n/a
arin,162.251.87.0,24,n/a
arin,162.255.144.0,22,n/a
arin,170.39.24.0,22,n/a
arin,172.102.0.0,22,n/a
arin,199.79.60.0,23,n/a
arin,199.91.96.0,21,n/a
arin,199.191.50.0,23,n/a
arin,199.204.232.0,21,n/a
arin,204.11.56.0,23,n/a
arin,206.71.15.0,24,n/a
arin,206.81.110.0,24,n/a
arin,208.64.44.0,22,n/a
arin,208.73.208.0,22,n/a
arin,208.91.196.0,23,n/a
ripencc,2.56.144.0,22,vg.fusion;Fusion Media Limited
ripencc,5.35.168.0,21,n/a
ripencc,31.14.25.0,24,n/a
ripencc,31.14.27.0,24,n/a
ripencc,45.8.176.0,22,vg.itweb;IT WEB LTD
ripencc,45.12.32.0,22,vg.itweb;IT WEB LTD
ripencc,45.83.120.0,22,vg.itweb;IT WEB LTD
ripencc,45.88.0.0,22,vg.itweb;IT WEB LTD
ripencc,45.133.200.0,22,vg.itweb;IT WEB LTD
ripencc,45.142.0.0,22,vg.itweb;IT WEB LTD
ripencc,45.143.12.0,22,n/a
ripencc,45.148.144.0,22,vg.itweb;IT WEB LTD
ripencc,45.159.92.0,22,vg.itweb;IT WEB LTD
ripencc,46.17.72.0,21,vg.tww;Teltac WorldWide INC
ripencc,46.243.0.0,21,n/a
ripencc,89.36.173.0,24,n/a
ripencc,89.36.174.0,24,n/a
ripencc,89.38.152.0,23,n/a
ripencc,89.38.154.0,24,n/a
ripencc,89.38.232.0,23,n/a
ripencc,89.39.161.0,24,n/a
ripencc,89.40.96.0,22,n/a
ripencc,89.42.160.0,22,n/a
ripencc,89.44.80.0,23,n/a
ripencc,89.44.83.0,24,n/a
ripencc,89.44.84.0,22,n/a
ripencc,89.46.33.0,24,n/a
ripencc,89.46.38.0,24,n/a
ripencc,89.46.240.0,23,n/a
ripencc,89.46.243.0,24,n/a
ripencc,89.46.244.0,23,n/a
ripencc,89.46.246.0,24,n/a
ripencc,89.47.171.0,24,n/a
ripencc,91.105.192.0,23,n/a
ripencc,92.249.36.0,22,vg.surfshark;Surfshark Ltd.
ripencc,94.177.129.0,24,n/a
ripencc,94.177.131.0,24,n/a
ripencc,94.177.132.0,24,n/a
ripencc,109.69.56.0,21,n/a
ripencc,109.206.224.0,22,n/a
ripencc,141.8.224.0,21,vg.wqrmholdings;WQRM Holdings Inc
ripencc,185.23.152.0,22,n/a
ripencc,185.34.200.0,22,n/a
ripencc,185.36.100.0,22,vg.diskgroup;Disk Group Ltd.
ripencc,185.63.76.0,22,n/a
ripencc,185.76.151.0,24,n/a
ripencc,185.94.84.0,22,vg.fmedia;Fusion Media Limited
ripencc,185.100.208.0,22,vg.gulfbridge;Gulf Bridge International Inc.
ripencc,185.142.132.0,22,n/a
ripencc,185.145.235.0,24,n/a
ripencc,185.147.124.0,22,vg.mnt;Montos Consulting Limited
ripencc,185.168.112.0,22,vg.fmedia;Fusion Media Limited
ripencc,185.212.128.0,22,vg.itweb;IT WEB LTD
ripencc,185.213.180.0,22,vg.antwork;Antwork LTD
ripencc,185.217.136.0,22,vg.itweb;IT WEB LTD
ripencc,185.224.216.0,22,vg.itweb;IT WEB LTD
ripencc,185.232.52.0,22,vg.itweb;IT WEB LTD
ripencc,185.238.0.0,22,vg.itweb;IT WEB LTD
ripencc,188.241.24.0,23,n/a
ripencc,188.241.28.0,22,n/a
ripencc,193.37.232.0,22,n/a
ripencc,193.160.254.0,24,vg.itweb;IT WEB LTD
ripencc,193.161.1.0,24,vg.itweb;IT WEB LTD
ripencc,193.161.26.0,24,vg.itweb;IT WEB LTD
ripencc,193.161.147.0,24,vg.itweb;IT WEB LTD
ripencc,194.40.240.0,22,vg.itweb;IT WEB LTD
ripencc,195.39.238.0,24,vg.itweb;IT WEB LTD
ripencc,195.42.248.0,24,vg.itweb;IT WEB LTD
ripencc,195.43.128.0,24,vg.itweb;IT WEB LTD
ripencc,195.43.147.0,24,vg.itweb;IT WEB LTD
ripencc,195.226.211.0,24,vg.interprems;INTERNATIONAL PREMIUMS (Offshore) S.A.
ripencc,195.242.110.0,23,vg.itweb;IT WEB LTD
ripencc,195.242.118.0,23,vg.itweb;IT WEB LTD
