region,ip,prefixlength
apnic,2405:6e40::,32
arin,2602:fd2f::,36
arin,2602:fdc7::,36
arin,2604:10c0::,32
arin,2605:7f40::,32
arin,2001:504:93::,48
arin,2620:1e:a000::,48
arin,2620:48:a000::,48
arin,2620:4e:2000::,48
arin,2620:e1:c000::,48
ripencc,2a03:b20::,32
ripencc,2a00:6e20::,32
ripencc,2a00:eb60::,32
ripencc,2a04:2d00::,29
ripencc,2a04:5ec0::,29
ripencc,2a06:9ac0::,32
ripencc,2a07:4340::,29
ripencc,2a07:ca00::,29
ripencc,2a09:a700::,29
ripencc,2a0a:f280::,29
ripencc,2a0b:f600::,29
ripencc,2a0d:1640::,29
ripencc,2a0d:63c0::,29
ripencc,2a0e:2900::,29
ripencc,2a0e:dec0::,29
ripencc,2a10:ebc0::,29
ripencc,2a11:2880::,29
