region,ip,prefixlength
apnic,2407:c0::,32
apnic,2001:ee0::,32
apnic,2001:ee1::,32
apnic,2001:ee2::,31
apnic,2402:800::,32
apnic,2402:b40::,32
apnic,2406:e40::,32
apnic,2407:100::,32
apnic,2407:140::,32
apnic,2407:1c0::,32
apnic,2407:240::,32
apnic,2407:2c0::,32
apnic,2407:540::,32
apnic,2407:5c0::,32
apnic,2407:640::,32
apnic,2407:dc0::,32
apnic,2407:e40::,32
apnic,2407:ec0::,32
apnic,2400:1060::,32
apnic,2400:15a0::,32
apnic,2400:1660::,32
apnic,2400:16a0::,32
apnic,2400:1aa0::,32
apnic,2400:1da0::,32
apnic,2400:3020::,32
apnic,2400:3060::,32
apnic,2400:31e0::,32
apnic,2400:3220::,32
apnic,2400:32e0::,32
apnic,2400:3320::,32
apnic,2400:3360::,32
apnic,2400:3960::,32
apnic,2400:39a0::,32
apnic,2400:4da0::,32
apnic,2400:4de0::,32
apnic,2400:5360::,32
apnic,2400:5ba0::,32
apnic,2400:6540::,32
apnic,2400:6720::,32
apnic,2400:6760::,32
apnic,2400:69e0::,32
apnic,2400:6ca0::,32
apnic,2400:6ea0::,32
apnic,2400:6f60::,32
apnic,2400:7260::,32
apnic,2400:72a0::,32
apnic,2400:77a0::,32
apnic,2400:77e0::,32
apnic,2400:7ea0::,32
apnic,2400:8020::,32
apnic,2400:8160::,32
apnic,2400:82a0::,32
apnic,2400:8360::,32
apnic,2400:83a0::,32
apnic,2400:8c60::,32
apnic,2400:9100::,32
apnic,2400:9b20::,32
apnic,2400:9b40::,32
apnic,2400:9bc0::,32
apnic,2400:9ea0::,32
apnic,2400:a0e0::,32
apnic,2400:a8e0::,32
apnic,2400:a920::,32
apnic,2400:ab60::,32
apnic,2400:ac60::,32
apnic,2400:afe0::,32
apnic,2400:b0e0::,32
apnic,2400:b260::,32
apnic,2400:b520::,32
apnic,2400:b8e0::,32
apnic,2400:bc60::,32
apnic,2400:bc80::,32
apnic,2400:be20::,32
apnic,2400:c0e0::,32
apnic,2400:c120::,32
apnic,2400:c140::,32
apnic,2400:c160::,32
apnic,2400:c1a0::,32
apnic,2400:c1e0::,32
apnic,2400:c4a0::,32
apnic,2400:ca60::,32
apnic,2400:cee0::,32
apnic,2400:cfe0::,32
apnic,2400:d520::,32
apnic,2400:d560::,32
apnic,2400:d5a0::,32
apnic,2400:d5e0::,32
apnic,2400:d620::,32
apnic,2400:d760::,32
apnic,2400:d7e0::,32
apnic,2400:d8e0::,32
apnic,2400:da20::,32
apnic,2400:e240::,32
apnic,2400:e2c0::,32
apnic,2400:ed40::,32
apnic,2401:1c40::,32
apnic,2401:1cc0::,32
apnic,2401:5ec0::,32
apnic,2401:5f80::,32
apnic,2401:78c0::,32
apnic,2401:9c40::,32
apnic,2401:b5c0::,32
apnic,2401:b800::,32
apnic,2401:c440::,32
apnic,2401:d800::,32
apnic,2401:e800::,32
apnic,2401:f2c0::,32
apnic,2402:5300::,32
apnic,2402:6440::,32
apnic,2402:9d80::,32
apnic,2402:c700::,32
apnic,2402:dd40::,32
apnic,2402:f800::,32
apnic,2403:6000::,32
apnic,2403:6a40::,32
apnic,2403:b3c0::,32
apnic,2403:bf40::,32
apnic,2403:bfc0::,32
apnic,2403:e200::,32
apnic,2404:26c0::,32
apnic,2404:3a00::,32
apnic,2404:91c0::,32
apnic,2404:a040::,32
apnic,2404:b6c0::,32
apnic,2404:b740::,32
apnic,2404:b7c0::,32
apnic,2404:c6c0::,32
apnic,2404:c840::,32
apnic,2404:c8c0::,32
apnic,2404:dac0::,32
apnic,2404:e1c0::,32
apnic,2404:ebc0::,32
apnic,2404:ee80::,32
apnic,2404:ef80::,32
apnic,2404:f080::,32
apnic,2404:f740::,32
apnic,2404:fb40::,32
apnic,2404:fbc0::,32
apnic,2405:1040::,32
apnic,2405:10c0::,32
apnic,2405:19c0::,32
apnic,2405:1a40::,32
apnic,2405:1ac0::,32
apnic,2405:2840::,32
apnic,2405:28c0::,32
apnic,2405:38c0::,32
apnic,2405:4340::,32
apnic,2405:4800::,32
apnic,2405:4801::,32
apnic,2405:4802::,31
apnic,2405:53c0::,32
apnic,2405:5440::,32
