region,ip,prefixlength
afrinic,2001:42d0::,40
afrinic,2001:43fe::,48
afrinic,2c0f:edf0::,36
afrinic,2001:43f8:30::,48
afrinic,2001:43f8:70::,45
afrinic,2001:43f8:a0::,48
afrinic,2001:43f8:100::,48
afrinic,2001:43f8:110::,48
afrinic,2001:43f8:120::,48
afrinic,2001:43f8:1b0::,48
afrinic,2001:43f8:1f0::,47
afrinic,2001:43f8:1f2::,48
afrinic,2001:43f8:1f3::,48
afrinic,2001:43f8:1f4::,48
afrinic,2001:43f8:1f5::,48
afrinic,2001:43f8:2c0::,48
afrinic,2001:43f8:360::,48
afrinic,2001:43f8:3e0::,44
afrinic,2001:43f8:620::,48
afrinic,2001:43f8:6b0::,46
afrinic,2001:43f8:6d0::,46
afrinic,2001:43f8:700::,44
afrinic,2001:43f8:750::,44
afrinic,2001:43f8:770::,46
afrinic,2001:43f8:790::,48
afrinic,2001:43f8:7e0::,48
afrinic,2001:43f8:900::,48
afrinic,2001:43f8:920::,48
afrinic,2001:43f8:950::,48
afrinic,2001:43f8:960::,48
afrinic,2001:43f8:bc0::,48
afrinic,2001:43f8:bf0::,48
afrinic,2001:43f8:c70::,48
afrinic,2001:43f8:c90::,48
afrinic,2001:43f8:d20::,44
afrinic,2001:43f8:d50::,48
afrinic,2001:43f8:db0::,48
afrinic,2001:43f8:1030::,48
afrinic,2001:43f8:1040::,48
afrinic,2001:43f8:1070::,48
afrinic,2001:43f8:1090::,48
afrinic,2001:43f8:1140::,48
afrinic,2001:43f8:1141::,48
afrinic,2001:43f8:1180::,48
afrinic,2001:43f8:11b0::,48
afrinic,2001:43f8:1300::,48
afrinic,2001:43f8:1330::,48
afrinic,2001:43f8:13b0::,48
afrinic,2001:43f8:1430::,48
afrinic,2001:43f8:1450::,48
afrinic,2001:43f8:14b0::,48
afrinic,2001:43f8:14c0::,48
afrinic,2001:43f8:14e0::,48
afrinic,2001:43f8:1500::,44
afrinic,2001:43f8:1620::,48
afrinic,2001:43f8:1700::,46
afrinic,2001:43f8:1800::,40
afrinic,2001:43f8:1ac0::,44
afrinic,2001:43fc:8000::,40
afrinic,2001:43fe:2000::,48
afrinic,2001:43fe:9000::,48
afrinic,2001:43fe:a000::,40
afrinic,2001:43fe:e000::,48
afrinic,2001:43ff:4000::,48
afrinic,2001:43ff:e000::,48
ripencc,2001:67c:2738::,48
