region,ip,prefixlength
afrinic,41.60.0.0,16
afrinic,41.63.0.0,18
afrinic,41.72.96.0,19
afrinic,41.77.0.0,21
afrinic,41.191.116.0,22
afrinic,41.215.176.0,20
afrinic,41.216.64.0,19
afrinic,41.222.16.0,21
afrinic,41.223.116.0,22
afrinic,45.212.0.0,14
afrinic,102.23.120.0,22
afrinic,102.67.160.0,22
afrinic,102.68.136.0,22
afrinic,102.144.0.0,13
afrinic,102.220.158.0,23
afrinic,102.221.240.0,22
afrinic,154.73.232.0,22
afrinic,155.0.0.0,16
afrinic,165.56.0.0,13
afrinic,196.12.12.0,22
afrinic,196.46.124.0,22
afrinic,196.46.192.0,19
afrinic,197.212.0.0,15
afrinic,197.220.0.0,19
afrinic,197.231.244.0,22
