region,version,ip,prefixlength
apnic,ipv4,203.0.114.0,23
apnic,ipv6,2001:200::,23
apnic,ipv6,2001:c00::,23
apnic,ipv6,2001:e00::,23
apnic,ipv6,2001:4400::,23
apnic,ipv6,2001:8000::,19
apnic,ipv6,2001:a000::,20
apnic,ipv6,2001:b000::,20
apnic,ipv6,2400:0000::,12
apnic,ipv6,2410:0000::,12
arin,ipv4,100.128.0.0,9
arin,ipv4,169.255.0.0,16
arin,ipv4,172.32.0.0,11
arin,ipv4,172.64.0.0,10
arin,ipv4,192.0.1.0,24
arin,ipv4,192.0.3.0,24
arin,ipv4,192.31.197.0,24
arin,ipv4,192.31.198.0,23
arin,ipv4,192.52.194.0,23
arin,ipv4,192.52.196.0,22
arin,ipv4,192.169.0.0,16
arin,ipv4,192.170.0.0,15
arin,ipv4,198.20.0.0,14
arin,ipv4,198.24.0.0,13
arin,ipv4,198.51.101.0,24
arin,ipv4,198.51.102.0,23
arin,ipv6,2001:400::,23
arin,ipv6,2001:1800::,23
arin,ipv6,2001:4800::,23
arin,ipv6,2600:0000::,12
arin,ipv6,2610:0000::,23
arin,ipv6,2620:0000::,23
arin,ipv6,2630:0000::,12
iana,ipv6,2001:0000::,23
ietf,ipv6,fc00:0000::,7
ietf,ipv6,fe80:0000::,10
ietf,ipv6,ff00:0000::,8
ietf,ipv6,2002:0000::,16
lacnic,ipv6,2001:1200::,23
lacnic,ipv6,2800:0000::,12
ripencc,ipv6,2001:600::,23
ripencc,ipv6,2001:800::,22
ripencc,ipv6,2001:1400::,22
ripencc,ipv6,2001:1a00::,23
ripencc,ipv6,2001:1c00::,22
ripencc,ipv6,2001:2000::,19
ripencc,ipv6,2001:4000::,23
ripencc,ipv6,2001:4200::,23
ripencc,ipv6,2001:4600::,23
ripencc,ipv6,2001:4a00::,23
ripencc,ipv6,2001:4c00::,23
ripencc,ipv6,2001:5000::,20
ripencc,ipv6,2003:0000::,18
ripencc,ipv6,2a00:0000::,12
ripencc,ipv6,2a10:0000::,12
ripencc,ipv6,2c00:0000::,12
