version,ip,prefixlength
ipv4,0.0.0.0,8
ipv4,0.0.0.0,8
ipv4,10.0.0.0,8
ipv4,100.64.0.0,10
ipv4,169.254.0.0,16
ipv4,172.16.0.0,12
ipv4,192.88.99.0,24
ipv4,203.0.113.0,24
ipv4,255.0.0.0,8
ipv6,8000:0000::,3
ipv6,a000:0000::,3
ipv6,c000:0000::,3
ipv6,e000:0000::,4
ipv6,f000:0000::,5
ipv6,f800:0000::,6
ipv6,fe00:0000::,9
ipv6,fec0:0000::,10
ipv6,0000:0000::,8
ipv6,0100:0000::,8
ipv6,0200:0000::,7
ipv6,0400:0000::,6
ipv6,0800:0000::,5
ipv6,1000:0000::,4
ipv6,2d00:0000::,8
ipv6,2e00:0000::,7
ipv6,3000:0000::,5
ipv6,3800:0000::,6
ipv6,3c00:0000::,7
ipv6,3e00:0000::,8
ipv6,3f00:0000::,9
ipv6,3f80:0000::,10
ipv6,3fc0:0000::,11
ipv6,3fe0:0000::,12
ipv6,3ff0:0000::,13
ipv6,3ff8:0000::,14
ipv6,3ffc:0000::,15
ipv6,3ffe:0000::,16
ipv6,3fff:0000::,20
ipv6,4000:0000::,3
ipv6,6000:0000::,3
