region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,43.225.52.0,22,allocated,[56125;IN;PDRSOLUTIONSFZC-AS-AP P.D.R Solutions FZC]
apnic,ipv4,103.21.58.0,23,allocated,[56125;IN;PDRSOLUTIONSFZC-AS-AP P.D.R Solutions FZC]
ripencc,ipv4,2.48.0.0,14,allocated,[59983;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59982;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59981;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8966;AE;Etisalat-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8961;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8960;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8959;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][5384;AE;EMIRATES-INTERNET EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC]
ripencc,ipv4,2.56.16.0,22,allocated,*
ripencc,ipv4,2.56.240.0,22,allocated,[50529;AE;FN-AS FreeNet L.L.C-FZ]
ripencc,ipv4,2.57.16.0,22,allocated,*
ripencc,ipv4,2.57.20.0,22,allocated,*
ripencc,ipv4,2.57.148.0,22,allocated,[61164;AE;LIR-AS LIR Limited]
ripencc,ipv4,2.57.240.0,22,allocated,*
ripencc,ipv4,2.58.28.0,22,allocated,*
ripencc,ipv4,2.58.96.0,22,allocated,[61164;AE;LIR-AS LIR Limited]
ripencc,ipv4,2.58.172.0,22,allocated,*
ripencc,ipv4,2.59.0.0,22,allocated,*
ripencc,ipv4,2.59.40.0,22,allocated,[48456;AE;IPX-AS IPX - FZCO]
ripencc,ipv4,2.59.212.0,22,allocated,[48456;AE;IPX-AS IPX - FZCO]
ripencc,ipv4,5.30.0.0,15,allocated,[57187;AE;DATAMENA-ASN Emirates Integrated Telecommunications Company PJSC][15802;AE;DU-AS1 Emirates Integrated Telecommunications Company PJSC]
ripencc,ipv4,5.32.0.0,17,allocated,[57187;AE;DATAMENA-ASN Emirates Integrated Telecommunications Company PJSC][15802;AE;DU-AS1 Emirates Integrated Telecommunications Company PJSC]
ripencc,ipv4,5.38.0.0,17,allocated,[59983;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59982;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59981;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8966;AE;Etisalat-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8961;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8960;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8959;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][5384;AE;EMIRATES-INTERNET EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC]
ripencc,ipv4,5.45.36.0,22,allocated,*
ripencc,ipv4,5.53.96.0,21,allocated,[61137;AE;AnkabutServices Khalifa University][58283;AE;IAT Institute of Applied Technology][57702;AE;Ankabut Khalifa University][57171;AE;AUS American University of Sharjah][57163;AE;ZayedUniversity Zayed University][57143;AE;AbuDhabiUniversity Abu Dhabi University LLC][52216;AE;AUD The American University in Dubai][50602;AE;Ankabut Khalifa University][47862;AE;ANKABUT Khalifa University][39031;AE;ANKABUT Khalifa University][33847;AE;AE-ANKABUT Khalifa University]
ripencc,ipv4,5.83.112.0,21,allocated,[212741;AE;EGA-JA-AS Emirates Aluminium Company Limited PJSC][58287;AE;EMAL-AS Emirates Aluminium Company Limited PJSC]
ripencc,ipv4,5.107.0.0,16,allocated,[59983;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59982;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59981;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8966;AE;Etisalat-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8961;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8960;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8959;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][5384;AE;EMIRATES-INTERNET EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC]
ripencc,ipv4,5.133.80.0,22,allocated,[60440;AE;DRAE Defaultroute DMCC LLC]
ripencc,ipv4,5.133.108.0,22,allocated,[61164;AE;LIR-AS LIR Limited]
ripencc,ipv4,5.152.248.0,21,allocated,[59695;AE;CCAD-AS Cleveland Clinic AbuDhabi LLC]
ripencc,ipv4,5.180.16.0,22,allocated,[48456;AE;IPX-AS IPX - FZCO]
ripencc,ipv4,5.181.12.0,22,allocated,[50175;AE;SEVEN-AS Seven Digital Network Services LLC]
ripencc,ipv4,5.181.124.0,22,allocated,*
ripencc,ipv4,5.181.128.0,22,allocated,*
ripencc,ipv4,5.181.132.0,22,allocated,*
ripencc,ipv4,5.182.24.0,22,allocated,[61164;AE;LIR-AS LIR Limited]
ripencc,ipv4,5.182.108.0,22,allocated,*
ripencc,ipv4,5.182.124.0,22,allocated,*
ripencc,ipv4,5.183.152.0,22,allocated,[48456;AE;IPX-AS IPX - FZCO]
ripencc,ipv4,5.192.0.0,15,allocated,[59983;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59982;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][59981;AE;ETISALAT-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8966;AE;Etisalat-AS EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8961;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8960;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][8959;AE;EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC][5384;AE;EMIRATES-INTERNET EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC]
