region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,41.63.160.0,19,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,41.70.128.0,17,allocated,[37081;AO;movicel-as]
afrinic,ipv4,41.74.240.0,20,allocated,[37059;AO;SUPERNET-][11259;AO;ANGOLATELECOM]
afrinic,ipv4,41.78.16.0,22,allocated,[37119;AO;unitel-AS]
afrinic,ipv4,41.205.32.0,19,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,41.210.192.0,18,allocated,[37081;AO;movicel-as]
afrinic,ipv4,41.216.236.0,22,allocated,[37264;AO;DNSANGOLA]
afrinic,ipv4,41.221.240.0,20,allocated,[17400;AO;EBONET]
afrinic,ipv4,41.222.200.0,22,allocated,[37593;AO;Infrasat]
afrinic,ipv4,41.222.236.0,22,allocated,[37011;AO;MSTARTEL-AS]
afrinic,ipv4,41.222.248.0,21,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,41.223.40.0,22,allocated,[36917;AO;ACS]
afrinic,ipv4,41.223.100.0,22,allocated,[36917;AO;ACS]
afrinic,ipv4,41.223.156.0,22,allocated,[37059;AO;SUPERNET-][11259;AO;ANGOLATELECOM]
afrinic,ipv4,41.223.164.0,22,allocated,[36976;AO;SONANGOL]
afrinic,ipv4,102.36.224.0,22,allocated,[327932;AO;CONNECTIS-DATA-ANGOLA]
afrinic,ipv4,102.64.60.0,22,allocated,[328509;AO;SpeedNet-Servicos]
afrinic,ipv4,102.130.64.0,21,allocated,[327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,ipv4,102.130.192.0,19,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.131.40.0,21,allocated,[328368;AO;SNIR-AS]
afrinic,ipv4,102.210.228.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.211.128.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.211.152.0,22,allocated,[327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,ipv4,102.211.200.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.211.224.0,22,allocated,[329286;AO;Kwendanet-Tecnologias-e-Servicos]
afrinic,ipv4,102.212.216.0,22,allocated,[329270;AO;EGATE-CLOUD]
afrinic,ipv4,102.213.12.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.213.32.0,22,allocated,[328154;AO;NETSPACE]
afrinic,ipv4,102.213.96.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.213.100.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.213.104.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.213.108.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.213.240.0,24,allocated,[329210;AO;HSTL1-AS]
afrinic,ipv4,102.214.0.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.214.36.0,22,allocated,[328943;AO;AAS1-AS]
afrinic,ipv4,102.214.120.0,22,allocated,[327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,ipv4,102.214.236.0,22,allocated,[329108;AO;LCL3-AS]
afrinic,ipv4,102.215.60.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.215.168.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.215.180.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.215.184.0,22,allocated,[329065;AO;STSL2-AS]
afrinic,ipv4,102.216.26.0,24,allocated,[329059;AO;ENCE1-AS]
afrinic,ipv4,102.216.44.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.216.48.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.216.52.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.216.56.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.216.140.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.216.168.0,22,allocated,[328111;AO;IPWORLD-AS]
afrinic,ipv4,102.216.208.0,22,allocated,[329011;AO;Multipla-AS]
afrinic,ipv4,102.216.252.0,22,allocated,[329007;AO;ELENDE]
afrinic,ipv4,102.217.116.0,22,allocated,[328979;AO;NPDS-AS]
afrinic,ipv4,102.217.192.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.218.84.0,22,allocated,[328943;AO;AAS1-AS]
afrinic,ipv4,102.218.92.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.218.148.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.218.180.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.219.80.0,24,allocated,[328886;AO;LGL-As]
afrinic,ipv4,102.219.124.0,22,allocated,[327788;AO;ANGOLA-IX][37468;AO;ANGOLA-CABLES]
afrinic,ipv4,102.219.184.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.220.192.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.221.52.0,22,allocated,[328792;AO;EEID-AS]
afrinic,ipv4,102.221.108.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.221.172.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,102.222.16.0,22,allocated,[328718;AO;ANYCONNECT]
afrinic,ipv4,102.222.92.0,22,allocated,[328725;AO;Advanlink-AS]
afrinic,ipv4,105.168.0.0,13,allocated,[37119;AO;unitel-AS]
afrinic,ipv4,129.122.128.0,17,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,154.65.128.0,17,allocated,[37081;AO;movicel-as]
afrinic,ipv4,154.66.80.0,22,allocated,[37603;AO;GameZone-AS]
afrinic,ipv4,154.66.104.0,22,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,154.71.128.0,17,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,154.116.128.0,17,allocated,[327806;AO;CNTI-AS]
afrinic,ipv4,154.118.192.0,19,allocated,[37645;AO;ZAP-Angola]
afrinic,ipv4,154.127.128.0,17,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,155.89.0.0,16,allocated,[37081;AO;movicel-as]
afrinic,ipv4,160.119.240.0,22,allocated,[328154;AO;NETSPACE]
afrinic,ipv4,160.224.0.0,15,allocated,[37059;AO;SUPERNET-][11259;AO;ANGOLATELECOM]
afrinic,ipv4,169.239.32.0,22,allocated,[37011;AO;MSTARTEL-AS]
afrinic,ipv4,169.239.76.0,22,allocated,[327932;AO;CONNECTIS-DATA-ANGOLA]
afrinic,ipv4,169.239.108.0,22,allocated,[36881;AO;MULTITEL]
afrinic,ipv4,169.239.132.0,22,allocated,[328111;AO;IPWORLD-AS]
afrinic,ipv4,169.255.88.0,22,allocated,[327833;AO;CENTRAL-8]
afrinic,ipv4,196.29.192.0,20,allocated,[17400;AO;EBONET]
afrinic,ipv4,196.32.192.0,21,allocated,[36881;AO;MULTITEL]
afrinic,ipv4,196.45.160.0,22,allocated,[32717;AO;ASN-SNETANGOLA]
afrinic,ipv4,196.46.72.0,21,allocated,[32717;AO;ASN-SNETANGOLA]
afrinic,ipv4,196.61.76.0,22,allocated,[37272;AO;CMCANGOLA]
afrinic,ipv4,196.202.252.0,22,allocated,[36907;AO;TVCaboAngola]
afrinic,ipv4,196.249.192.0,18,allocated,[17400;AO;EBONET]
