region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,24.152.57.0,24,allocated,[269970;AR;COOP INTEGRAL AGUA OBRAS Y PROVISION DE SERVICIOS PUBLICOS DE CONESA LTDA]
lacnic,ipv4,24.232.0.0,16,allocated,[27871;AR;Telecom Argentina S.A.][26608;AR;Telecom Argentina S.A.][21590;AR;Telecom Argentina S.A.][12264;AR;Telecom Argentina S.A.][11356;AR;Telecom Argentina S.A.][10983;AR;Telecom Argentina S.A.][10895;AR;Telecom Argentina S.A.][10481;AR;Telecom Argentina S.A.][10318;AR;Telecom Argentina S.A.][7934;AR;Telecom Argentina S.A.][7303;AR;Telecom Argentina S.A.]
lacnic,ipv4,45.4.100.0,22,allocated,[265673;AR;LISANDRO POZZO ARDIZZI]
lacnic,ipv4,45.4.160.0,22,allocated,[265683;AR;GENOVESIO HUGO ALBERTO RAMON]
lacnic,ipv4,45.4.164.0,22,allocated,[266749;AR;RED WOLF SRL]
lacnic,ipv4,45.4.216.0,22,allocated,[265679;AR;COOPERATIVA DE PROVISION DE SERVICIOS EVOLUCION LTDA.]
lacnic,ipv4,45.4.252.0,22,allocated,[265661;AR;Fernando German Fischer FIBERNET TELECOM]
lacnic,ipv4,45.5.0.0,22,allocated,[265687;AR;ALTEC S.E. ALTA TECNOLOGIA SOCIEDAD DEL ESTADO]
lacnic,ipv4,45.5.20.0,22,allocated,[265685;AR;USINA POPULAR Y MUNICIPAL DE TANDIL SEM]
lacnic,ipv4,45.5.148.0,22,allocated,[265702;AR;AZUL NETWORKS S.R.L]
lacnic,ipv4,45.5.152.0,22,allocated,[265676;AR;INTERSAT S.A.]
lacnic,ipv4,45.6.4.0,22,allocated,[265686;AR;PROVIDERS S.A.]
lacnic,ipv4,45.6.8.0,22,allocated,[265819;AR;Ricardo Julio Goncalves]
lacnic,ipv4,45.6.104.0,22,allocated,[265701;AR;BARILOCHE WIRELESS SRL]
lacnic,ipv4,45.6.132.0,22,allocated,[265697;AR;COOP LTADA DE CONSUMO POPULAR DE ELECTRICIDAD Y SERVICIOS ANEXOS DE ESCOBAR NORTE]
lacnic,ipv4,45.6.212.0,23,allocated,[265709;AR;CHIARAVIGLIO RAUL FABIO WINTER]
lacnic,ipv4,45.6.214.0,24,allocated,[265709;AR;CHIARAVIGLIO RAUL FABIO WINTER]
lacnic,ipv4,45.6.215.0,24,allocated,[270101;AR;BAIGORRIA ALBERTO DANIEL IGLOBALNET]
lacnic,ipv4,45.7.84.0,22,allocated,[265722;AR;LA RED WIFI SOCIEDAD DE HECHO]
lacnic,ipv4,45.7.88.0,22,allocated,[265723;AR;Coop. Telef. de San Vicente Ltda.]
lacnic,ipv4,45.7.96.0,22,allocated,*
lacnic,ipv4,45.7.124.0,22,allocated,[265692;AR;FIBRAS OPTICAS DEL OESTE S.A.]
lacnic,ipv4,45.7.208.0,22,allocated,[265729;AR;Cooperativa de Servicios Publicos de Portena LTDA]
lacnic,ipv4,45.7.240.0,22,allocated,[273129;AR;CABLE TV SRL]
lacnic,ipv4,45.7.244.0,22,allocated,[265736;AR;SCDPLANET S.A.]
lacnic,ipv4,45.7.248.0,22,allocated,[265738;AR;AGRUPACION DE PROVEEDORES DE SERVICIOS]
lacnic,ipv4,45.7.252.0,22,allocated,[265739;AR;MORENO PABLO DANIEL SOLNET ISP]
lacnic,ipv4,45.65.148.0,22,allocated,[265715;AR;LLAMADAIP S.R.L.]
lacnic,ipv4,45.65.224.0,22,allocated,[266725;AR;SOLUTION LAN S.A]
lacnic,ipv4,45.70.8.0,22,allocated,[265817;AR;Ruben Oscar MossoINTERZONA WIFI]
lacnic,ipv4,45.70.88.0,22,allocated,[265837;AR;SCHEUER FACUNDO AGUSTIN INTERFAS ]
lacnic,ipv4,45.70.116.0,22,allocated,[265824;AR;POZO BUSTOS MARIA CARINA]
lacnic,ipv4,45.70.152.0,22,allocated,[265809;AR;CONEXIS S.R.L.]
lacnic,ipv4,45.70.184.0,22,allocated,*
lacnic,ipv4,45.70.220.0,22,allocated,[265816;AR;DELCO IMAGEN S.A.]
lacnic,ipv4,45.71.56.0,22,allocated,[265821;AR;FORTIN MULITAS CANAL CIRCUITO CERRADO 3 TV S.A.]
lacnic,ipv4,45.71.106.0,24,allocated,[265860;AR;VIATEC SRL]
lacnic,ipv4,45.71.152.0,22,allocated,[265836;AR;NODOSOFT S.A.]
lacnic,ipv4,45.71.196.0,22,allocated,[265828;AR;Infomaster S.R.L.]
lacnic,ipv4,45.71.204.0,22,allocated,[265829;AR;Cooperativa de Electricidad de Las Junturas Ltda.]
lacnic,ipv4,45.160.28.0,22,allocated,[266872;AR;LOTTICI BRANDENBURG JOSEANE]
lacnic,ipv4,45.160.156.0,22,allocated,[266890;AR;HERNANDEZ RUBEN GOLDERNET]
lacnic,ipv4,45.160.196.0,22,allocated,[266888;AR;MARIA TERESA VISION COLOR SRL]
lacnic,ipv4,45.160.200.0,22,allocated,[266884;AR;ROSERO MARCELO JORGE MAXIMILIANO]
lacnic,ipv4,45.161.8.0,22,allocated,[266883;AR;HI-LINK SAS]
lacnic,ipv4,45.161.116.0,22,allocated,[266885;AR;VIZION GROUP S.R.L.]
lacnic,ipv4,45.161.132.0,22,allocated,[266889;AR;ERCOM SRL]
lacnic,ipv4,45.161.168.0,22,allocated,*
