region,version,ip,prefixlength,state,orgsflat
arin,ipv4,199.103.104.0,23,allocated,*
ripencc,ipv4,2.56.160.0,22,allocated,[12453;AT;KRAFTCOM-AS KraftCom Service GmbH]
ripencc,ipv4,2.56.208.0,22,allocated,[39560;AT;KT-NET KT-NET Communications GmbH]
ripencc,ipv4,2.57.48.0,22,allocated,[50782;AT;COSYS COSYS DATA GmbH]
ripencc,ipv4,2.57.104.0,22,allocated,[199159;AT;DATASIX ANEXIA Internetdienstleistungs GmbH][51453;AT;EMERION-AS ANEXIA Internetdienstleistungs GmbH][47147;AT;AS-ANX ANEXIA Internetdienstleistungs GmbH][42473;AT;AS-ANEXIA ANEXIA Internetdienstleistungs GmbH][42388;AT;ANX-CLOUDDNS ANEXIA Internetdienstleistungs GmbH][42360;AT;SSP-EUROPE ANEXIA Internetdienstleistungs GmbH][42354;AT;ANX-CUSTOMER ANEXIA Internetdienstleistungs GmbH][40980;AT;TELEMATICA ANEXIA Internetdienstleistungs GmbH][40979;AT;ANEXIA-FIREWALL-AS ANEXIA Internetdienstleistungs GmbH]
ripencc,ipv4,2.57.156.0,22,allocated,[205584;AT;CASHPOINT-AS CASHPOINT Solutions GmbH]
ripencc,ipv4,2.57.180.0,22,allocated,*
ripencc,ipv4,2.57.252.0,22,allocated,[57878;AT;Prager-IT Prager Connect GmbH]
ripencc,ipv4,2.58.144.0,23,allocated,[211099;AT;MDRI-AS Raiffeisen Informatik GmbH & Co KG][24864;AT;R-IT-AS Raiffeisen Informatik GmbH & Co KG]
ripencc,ipv4,2.58.146.0,23,allocated,*
ripencc,ipv4,2.59.116.0,24,allocated,*
ripencc,ipv4,2.59.172.0,22,allocated,[57878;AT;Prager-IT Prager Connect GmbH]
ripencc,ipv4,5.11.0.0,21,allocated,[3190;AT;DREI-S-AS 3-S-IT Dienstleistungen GmbH]
ripencc,ipv4,5.44.208.0,21,allocated,[41491;AT;STAKA-AS Stadtwerke Kapfenberg GmbH]
ripencc,ipv4,5.45.144.0,22,allocated,[211582;AT;ecomDATA-AS ecomDATA GmbH]
ripencc,ipv4,5.104.216.0,21,allocated,[204897;AT;WNET-AS Infotech EDV-Systeme GmbH][28760;AT;INFOTECH-AT-AS Infotech EDV-Systeme GmbH]
ripencc,ipv4,5.132.128.0,18,allocated,[44453;AT;internex-as interneX GmbH]
ripencc,ipv4,5.159.0.0,21,allocated,[56672;AT;ENERGIEAG-AT-AS Energie AG Oberoesterreich Services und Digital Solutions GmbH][49808;AT;POWERSPEED-AS Energie AG Oberoesterreich Services und Digital Solutions GmbH][39372;AT;PPTV-AS Josef Edtbauer e.u.]
ripencc,ipv4,5.180.12.0,22,allocated,[209126;AT;COMS-AT-AS COM-sulting Dienstleistungs - und Handels GmbH]
ripencc,ipv4,5.180.114.0,24,allocated,[57169;AT;EDIS-AS-EU EDIS GmbH]
ripencc,ipv4,5.181.148.0,22,allocated,[57878;AT;Prager-IT Prager Connect GmbH]
ripencc,ipv4,5.181.228.0,22,allocated,[210237;AT;WienerLinien WIENER LINIEN GmbH & Co KG]
ripencc,ipv4,5.182.232.0,22,allocated,*
ripencc,ipv4,5.183.172.0,24,allocated,*
ripencc,ipv4,5.183.173.0,24,allocated,[211864;AT;NESSUS-CUSTOMER Nessus GmbH][47692;AT;NESSUS Nessus GmbH]
ripencc,ipv4,5.183.174.0,23,allocated,[211864;AT;NESSUS-CUSTOMER Nessus GmbH][47692;AT;NESSUS Nessus GmbH]
ripencc,ipv4,5.183.204.0,22,allocated,[57878;AT;Prager-IT Prager Connect GmbH]
ripencc,ipv4,5.183.216.0,22,allocated,[209050;AT;DIGIMAGICAL Digimagical GmbH]
ripencc,ipv4,5.183.244.0,22,allocated,*
ripencc,ipv4,5.198.144.0,20,allocated,[44453;AT;internex-as interneX GmbH]
ripencc,ipv4,5.206.200.0,21,allocated,[60587;AT;XINON-CARRIER-AS XINON GmbH][50719;AT;MYSYS-AS XINON GmbH]
