region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,1.0.4.0,22,allocated,[139001;AU;WPL-AS-AP Wirefreebroadband Pty Ltd][58950;AU;GTELECOM-AUSTRALIA Gtelecom-AUSTRALIA][56220;AU;GTELECOM-AUSTRALIA Gtelecom-AUSTRALIA][56203;AU;GTELECOM-AUSTRALIA Gtelecom-AUSTRALIA][38803;AU;WPL-AS-AP Wirefreebroadband Pty Ltd][38659;AU;WPL-AS-AP Wirefreebroadband Pty Ltd]
apnic,ipv4,1.40.0.0,14,allocated,[9623;AU;ASN-ATHOMEAU-AP # AS-ATHOMEAU-AP CONVERTED TO ASN-ATHOMEAU-AP FOR RPSL COMPLIANCE @Home Network Australia Routing Domain.]
apnic,ipv4,1.44.0.0,16,allocated,[56104;AU;MEDICARE_AUSTRALIA Optus Customer Network][56084;AU;MEDICARE-AUSTRALIA-AP Optus Customer Network][45623;AU;MEDICARE_AUSTRALIA Optus Customer Network][45228;AU;WESTPAC-BANKING-CORPORATION-AP Optus Customer Network][45206;AU;ANGLO-COAL-AUSTRALIA-PTY-LTD Optus Customer Network][38214;AU;SYD_CATCHMENT_AUTHORITY Optus Customer Network][37931;AU;IBS-SIG Optus Customer Network][24510;AU;HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network][24340;AU;LOGAN-CITY-COUNCIL-AS-AP Optus Customer Network][23968;AU;AMALGAMATED-HOLDINGS-LIMITED-AP Optus Customer Network][23909;AU;IDS-AS-AP Information Dialing Services Pty Ltd][23895;AU;WESTPAC-BANKING-CORPORATION-AS-AP Optus Customer Network][18430;AU;BLUE-TONGUE-ENTERTAINMENT-AP Optus Customer Network][18213;AU;ZENTO-AS-AP Optus Customer Network][18208;AU;ABNAMRO-AP CWO Customer Network][18191;AU;AIRSERVICESAUS-AP OPTUS CUSTOMER NETWORK][18102;AU;HIC-AP Avantra House][17757;AU;HPAUS-AP HP Australia][17738;AU;AGENBIOMEDICAL Agen Biomedical Ltd][17722;AU;BUTTERWORTHS-AP Butterworths Australia][17719;AU;OPTUSCOM-AS02-AU-AP SingTel Optus Pty Ltd][17662;AU;NETSTAR-AP NetStar Networks Systems Integrator Sydney Head Office][17461;AU;DPWSAU-AP NSW Department of Commerce][10237;AU;DUN-AND-BRADSTREET-AP Dun & Bradstreet Australia Provider of Business][10221;AU;HEWLETT-PACKARD Multi-homed connections to multiple ISPs providing][10218;AU;MINCOM-LIMITED-AS-AP Optus Customer Network][10150;AU;TENNET-AU-AP Optus Customer Network][10142;AU;WELL-COM-PTY-LTD Well.Com Pre-Press Services][10134;AU;WEBCOM-AP We are an ASPISP][10128;AU;IAG-AS-AP Optus Customer Network][10119;AU;INFORMATION-SOLUTION-WORKS-AP ISW Head Office in Hobart][10115;AU;ATOAS-AP Australian Taxation OAffice][9985;AU;NIAUSAS-AP News Interactive NI australian AS number][9983;AU;ABS-AS-AP Australian Bureau of Statistics.][9933;AU;AHCL-AP AHCL Health Network][9932;AU;HIC-AP Health Insurance Commission][9746;AU;IGOLD-AS-AP Online Interactive gaming solution][9682;AU;MBF-AP Medical Benefit Funds of Australia][9672;AU;WEST-AUSTRALIAN-NEWSPAPERS-AP Optus Customer Network][9668;AU;AMLINK-AP AMLINK Technologies][9626;AU;SEVEN-NETWORK-AP Optus Customer Network][9624;AU;BNP-AUSTRALIA-AP Banque Nationale de Paris][9564;AU;ANZ-BANK-AP Australia and New Zealand Banking Group Limited][9553;AU;GLOBALWEB-AS-AP Global Web Pty Ltd][9550;AU;VIVANET-AU-AP Vivanet Pty Ltd][9480;AU;SHOALI-OPTUS-AP SHOALHAVEN INTERNET][9477;AU;IRG-AS-AP Internet Reach Group][9473;AU;BOURSEDATA-AS-AP Bourse Data Australia][9447;AU;FORD-AS-AP Ford Motor Company of Australia][9438;AU;NETRO-AS-AP Netro][9426;AU;WESTPAC-AS-AP Westpac Bank][9279;AU;EDS-AU-AS EDS Australia Pty Ltd][9261;AU;COMMBANK-AS-AP Commonwealth Bank of Australia][9257;AU;QLD-CEMENT-BRISBANE-AP QLD Cement Internet Connection][9252;AU;COLONIAL-AS-AP Colonial is a major all-finance institution.][9250;AU;FLEETONLINE-AP Network Access via Frame Relay using unbundled BGP4][9243;AU;CCHAUSTLTD-AP CCH Australia Limited][7474;AU;OPTUSCOM-AS01-AU SingTel Optus Pty Ltd][4804;AU;MPX-AS Microplex PTY LTD][4794;AU;OV-NSW-QLD-AP Optus Vision][4778;AU;BORAL-LIMITED-AP Optus Customer Network][4643;AU;TXU-AS-AP Optus Customer Network]
apnic,ipv4,1.120.0.0,13,allocated,[150689;AU;TELSTRA-AS-MOBILE-INTERCONNECT-AP Telstra Corporation Limited][149288;AU;TELSTRA-AS-AP Telstra Corporation Limited][141886;AU;TELSTRA-MAPS-AP Telstra UC MAPS Network Telstra Corporation][135887;AU;TELSTRA-BELONG-AP Belong Telstra Corporation][135599;AU;TELSTRA-GLOBALCDC-AP Telstra Corporation][135313;AU;TELSTRA-AS-AP Telstra Corporation Limited][135083;AU;TELSTRA-AS-AP Telstra Corporation Limited][135052;AU;TELSTRA-AS-AP Telstra Corporation Limited][133931;AU;TELSTRA-AS-AP Telstra Pty Ltd][133859;AU;TELSTRA-AS-AP Telstra Corporation Limited][132292;AU;ASN-TELSTRA-03 Telstra Pty Ltd.][132029;AU;ASN-TELSTRA-02 Telstra Pty Ltd.][37978;AU;NETTAS-AS-AP Networking Tasmania][9514;AU;APIC-AP Asia-Pacific Inter-Carrier services][4632;AU;TMNS-AS Telstra Managed Network Services][1221;AU;ASN-TELSTRA Telstra Corporation Ltd]
apnic,ipv4,1.128.0.0,11,allocated,[150689;AU;TELSTRA-AS-MOBILE-INTERCONNECT-AP Telstra Corporation Limited][149288;AU;TELSTRA-AS-AP Telstra Corporation Limited][141886;AU;TELSTRA-MAPS-AP Telstra UC MAPS Network Telstra Corporation][135887;AU;TELSTRA-BELONG-AP Belong Telstra Corporation][135599;AU;TELSTRA-GLOBALCDC-AP Telstra Corporation][135313;AU;TELSTRA-AS-AP Telstra Corporation Limited][135083;AU;TELSTRA-AS-AP Telstra Corporation Limited][135052;AU;TELSTRA-AS-AP Telstra Corporation Limited][133931;AU;TELSTRA-AS-AP Telstra Pty Ltd][133859;AU;TELSTRA-AS-AP Telstra Corporation Limited][132292;AU;ASN-TELSTRA-03 Telstra Pty Ltd.][132029;AU;ASN-TELSTRA-02 Telstra Pty Ltd.][37978;AU;NETTAS-AS-AP Networking Tasmania][9514;AU;APIC-AP Asia-Pacific Inter-Carrier services][4632;AU;TMNS-AS Telstra Managed Network Services][1221;AU;ASN-TELSTRA Telstra Corporation Ltd]
apnic,ipv4,1.178.0.0,19,allocated,[38484;AU;VIRGIN-BROADBAND-AS-AP Virgin Broadband Australian][38309;AU;ISEEK-AS-38309 iseek Communications Pty Ltd][38085;AU;ISEEK-AS-38085-WS iseek Communications Pty Ltd][24473;AU;ISEEK-AS-24473 iseek Communications Pty Ltd][18388;AU;ISEEK-GOWIRELESS iseek Communications Pty Ltd][17899;AU;ASN-ACN ACN Pacific Pty Ltd][17667;AU;ISEEK-AS-17667 iseek Communications Pty Ltd][9723;AU;ISEEK-AS-AP iseek Communications Pty Ltd]
apnic,ipv4,1.178.64.0,19,allocated,[38484;AU;VIRGIN-BROADBAND-AS-AP Virgin Broadband Australian][38309;AU;ISEEK-AS-38309 iseek Communications Pty Ltd][38085;AU;ISEEK-AS-38085-WS iseek Communications Pty Ltd][24473;AU;ISEEK-AS-24473 iseek Communications Pty Ltd][18388;AU;ISEEK-GOWIRELESS iseek Communications Pty Ltd][17899;AU;ASN-ACN ACN Pacific Pty Ltd][17667;AU;ISEEK-AS-17667 iseek Communications Pty Ltd][9723;AU;ISEEK-AS-AP iseek Communications Pty Ltd]
apnic,ipv4,1.178.96.0,20,allocated,[38484;AU;VIRGIN-BROADBAND-AS-AP Virgin Broadband Australian][38309;AU;ISEEK-AS-38309 iseek Communications Pty Ltd][38085;AU;ISEEK-AS-38085-WS iseek Communications Pty Ltd][24473;AU;ISEEK-AS-24473 iseek Communications Pty Ltd][18388;AU;ISEEK-GOWIRELESS iseek Communications Pty Ltd][17899;AU;ASN-ACN ACN Pacific Pty Ltd][17667;AU;ISEEK-AS-17667 iseek Communications Pty Ltd][9723;AU;ISEEK-AS-AP iseek Communications Pty Ltd]
apnic,ipv4,1.178.144.0,20,allocated,[38484;AU;VIRGIN-BROADBAND-AS-AP Virgin Broadband Australian][38309;AU;ISEEK-AS-38309 iseek Communications Pty Ltd][38085;AU;ISEEK-AS-38085-WS iseek Communications Pty Ltd][24473;AU;ISEEK-AS-24473 iseek Communications Pty Ltd][18388;AU;ISEEK-GOWIRELESS iseek Communications Pty Ltd][17899;AU;ASN-ACN ACN Pacific Pty Ltd][17667;AU;ISEEK-AS-17667 iseek Communications Pty Ltd][9723;AU;ISEEK-AS-AP iseek Communications Pty Ltd]
apnic,ipv4,1.178.160.0,19,allocated,[38484;AU;VIRGIN-BROADBAND-AS-AP Virgin Broadband Australian][38309;AU;ISEEK-AS-38309 iseek Communications Pty Ltd][38085;AU;ISEEK-AS-38085-WS iseek Communications Pty Ltd][24473;AU;ISEEK-AS-24473 iseek Communications Pty Ltd][18388;AU;ISEEK-GOWIRELESS iseek Communications Pty Ltd][17899;AU;ASN-ACN ACN Pacific Pty Ltd][17667;AU;ISEEK-AS-17667 iseek Communications Pty Ltd][9723;AU;ISEEK-AS-AP iseek Communications Pty Ltd]
